time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055954
0.040,1957.680,0.014354
0.050,1957.675,0.014320
0.060,554.272,0.261659
0.070,1572.075,0.039598
0.080,595.004,0.053386
0.090,599.175,0.072637
0.100,656.278,0.083963
0.110,661.624,0.083577
0.120,590.068,0.034466
0.130,1056.244,0.024530
0.140,32.561,0.046398
0.150,1034.456,0.026579
0.160,277.053,0.113252
0.170,124.246,0.139092
0.180,119.210,0.130925
0.190,247.372,0.669665
0.200,248.397,0.697664
0.210,249.308,0.810016
0.220,250.863,0.820944
0.230,250.030,0.801475
0.240,250.555,0.826035
0.250,250.412,0.805457
0.260,250.501,0.729267
0.270,250.890,0.685067
0.280,504.540,0.612127
0.290,505.384,0.749374
0.300,506.791,0.826683
0.310,505.837,0.821049
0.320,505.023,0.800326
0.330,502.620,0.707967
0.340,501.258,0.699106
0.350,500.961,0.724215
0.360,501.255,0.727852
0.370,501.133,0.772926
0.380,501.040,0.791836
0.390,500.634,0.849002
0.400,500.605,0.840830
0.410,500.398,0.823607
0.420,500.865,0.881025
0.430,501.239,0.868053
0.440,501.961,0.886046
0.450,502.295,0.867228
0.460,503.396,0.869262
0.470,503.976,0.849238
0.480,505.461,0.858228
0.490,505.493,0.850122
0.500,503.399,0.790187
0.510,502.656,0.773601
0.520,503.109,0.661500
0.530,503.082,0.394344
0.540,502.728,0.391773
0.550,251.203,0.401763
0.560,251.512,0.360156
0.570,62.724,0.684698
0.580,62.519,0.504190
0.590,252.931,0.485866
0.600,308.495,0.288386
0.610,310.381,0.359434
0.620,313.147,0.606766
0.630,314.063,0.686724
0.640,316.111,0.489766
0.650,317.452,0.420080
0.660,315.244,0.644157
0.670,315.297,0.620803
0.680,314.971,0.555467
0.690,316.026,0.343962
0.700,633.490,0.490550
0.710,633.115,0.525802
0.720,632.251,0.538353
0.730,631.039,0.399990
0.740,629.899,0.348782
0.750,125.502,0.267282
0.760,125.274,0.546941
0.770,627.929,0.301807
0.780,626.950,0.334231
0.790,124.570,0.787453
0.800,124.864,0.829257
0.810,124.642,0.827102
0.820,124.541,0.804600
0.830,124.191,0.745263
0.840,123.968,0.676700
0.850,123.762,0.552598
0.860,123.659,0.435383
0.870,123.804,0.480101
0.880,124.554,0.270845
0.890,632.239,0.356222
0.900,629.245,0.369816
0.910,583.217,0.194754
0.920,569.153,0.312319
0.930,568.511,0.341979
0.940,568.879,0.315681
0.950,567.803,0.319777
0.960,570.089,0.231171
0.970,570.051,0.208427
0.980,573.347,0.158320
0.990,571.770,0.091800
1.000,572.406,0.090329
1.010,571.561,0.166962
1.020,573.046,0.114976
1.030,94.336,0.203181
1.040,94.552,0.626112
1.050,94.689,0.635904
1.060,94.676,0.581899
1.070,95.397,0.346248
1.080,96.113,0.194775
1.090,572.002,0.143912
1.100,571.851,0.207294
1.110,122.988,0.190214
1.120,123.220,0.115558
1.130,565.480,0.165105
1.140,62.617,0.414048
1.150,62.602,0.383686
1.160,62.597,0.728455
1.170,62.665,0.354044
1.180,62.980,0.158103
1.190,126.404,0.126668
1.200,48.640,0.217924
1.210,249.497,0.246892
1.220,502.488,0.232819
1.230,501.851,0.374515
1.240,503.111,0.469474
1.250,502.581,0.375299
1.260,501.544,0.345046
1.270,250.521,0.389851
1.280,251.046,0.433307
1.290,249.930,0.448021
1.300,62.672,0.443052
1.310,62.702,0.499467
1.320,62.527,0.462486
1.330,251.881,0.324744
1.340,254.249,0.149526
1.350,278.999,0.575596
1.360,278.963,0.764983
1.370,280.329,0.705827
1.380,281.588,0.841214
1.390,281.833,0.825561
1.400,282.310,0.711204
1.410,282.294,0.748137
1.420,70.702,0.369866
1.430,282.434,0.428118
1.440,281.502,0.755054
1.450,280.425,0.692934
1.460,280.372,0.774231
1.470,279.698,0.807802
1.480,280.076,0.552340
1.490,70.185,0.657052
1.500,140.638,0.447506
1.510,140.702,0.473058
1.520,140.726,0.493520
1.530,70.246,0.604375
1.540,70.398,0.546089
1.550,70.263,0.779220
1.560,70.282,0.862915
1.570,70.201,0.873038
1.580,70.391,0.796165
1.590,141.598,0.538211
1.600,70.858,0.826126
1.610,70.766,0.838542
1.620,70.739,0.840418
1.630,70.576,0.711266
1.640,70.344,0.603547
1.650,70.131,0.710996
1.660,70.037,0.882666
1.670,70.169,0.912444
1.680,70.109,0.898582
1.690,70.188,0.877890
1.700,70.297,0.764856
1.710,70.486,0.492157
1.720,70.816,0.440722
1.730,71.030,0.461143
1.740,142.672,0.492417
1.750,71.399,0.576208
1.760,71.442,0.732094
1.770,71.644,0.710782
1.780,143.556,0.292009
1.790,146.459,0.425514
1.800,144.498,0.243025
1.810,32.684,0.031732
1.820,35.453,0.578509
1.830,35.488,0.224164
1.840,317.988,0.582444
1.850,314.777,0.619810
1.860,319.034,0.796069
1.870,315.301,0.637215
1.880,315.156,0.693312
1.890,317.212,0.625209
1.900,315.910,0.594598
1.910,313.986,0.449361
1.920,313.556,0.401748
1.930,310.672,0.297149
1.940,290.276,0.328508
1.950,316.114,0.165445
1.960,40.487,0.054278
1.970,40.006,0.197090
1.980,40.175,0.083611
1.990,39.862,0.127480
2.000,162.953,0.032499
2.010,160.579,0.158894
2.020,160.861,0.177450
2.030,545.002,0.075452
2.040,70.845,0.268593
2.050,70.586,0.541750
2.060,139.662,0.570284
2.070,139.887,0.286024
2.080,54.486,0.015315
2.090,35.528,0.040234
2.100,34.390,0.049574
2.110,44.148,0.121515
2.120,45.692,0.065724
2.130,139.742,0.226133
2.140,141.137,0.123602
2.150,129.320,0.050008
2.160,75.339,0.018407
2.170,38.044,0.035189
2.180,45.546,0.037029
2.190,35.754,0.158024
2.200,35.439,0.263682
2.210,35.537,0.462837
2.220,35.963,0.043982
2.230,49.403,0.066663
2.240,141.659,0.058065
2.250,71.332,0.661889
2.260,70.828,0.681676
2.270,70.489,0.706950
2.280,70.547,0.681861
2.290,70.485,0.601236
2.300,71.002,0.832134
2.310,71.005,0.753826
2.320,71.103,0.601245
2.330,71.475,0.535262
2.340,71.659,0.512600
2.350,71.574,0.173900
2.360,70.593,0.029183
2.370,48.928,0.071047
2.380,48.664,0.104632
2.390,47.840,0.248814
2.400,139.450,0.082946
2.410,36.148,0.031562
2.420,71.421,0.083802
2.430,70.997,0.338758
2.440,70.533,0.778425
2.450,70.479,0.858598
2.460,70.354,0.855422
2.470,70.362,0.858237
2.480,69.995,0.123959
2.490,138.506,0.112813
2.500,279.779,0.097022
2.510,277.903,0.193250
2.520,31.972,0.016416
2.530,95.402,0.036202
2.540,96.021,0.430550
2.550,95.434,0.238164
2.560,93.843,0.233878
2.570,92.160,0.320284
2.580,92.876,0.066654
2.590,94.071,0.357248
2.600,93.845,0.112204
2.610,46.396,0.394077
2.620,46.383,0.531035
2.630,46.694,0.654530
2.640,46.711,0.441846
2.650,46.164,0.198200
2.660,34.877,0.440811
2.670,34.823,0.561702
2.680,33.511,0.151753
2.690,46.497,0.196244
2.700,46.571,0.317721
2.710,46.712,0.448844
2.720,46.694,0.195653
2.730,46.817,0.225953
2.740,46.983,0.718703
2.750,47.158,0.681655
2.760,47.165,0.643242
2.770,46.678,0.809357
2.780,46.393,0.916014
2.790,46.461,0.828021
2.800,46.474,0.369845
2.810,46.613,0.298803
2.820,32.185,0.120813
2.830,94.585,0.187486
2.840,46.975,0.252501
2.850,94.537,0.467874
2.860,94.816,0.402889
2.870,188.206,0.707093
2.880,188.126,0.775787
2.890,186.940,0.712101
2.900,186.885,0.382284
2.910,46.493,0.603938
2.920,46.093,0.773314
2.930,46.169,0.424593
2.940,160.851,0.056670
2.950,32.861,0.012652
2.960,32.951,0.131638
2.970,32.143,0.024752
2.980,95.160,0.008491
2.990,94.288,0.358130
3.000,93.880,0.805570
3.010,93.591,0.766521
3.020,93.147,0.519731
3.030,93.540,0.283010
3.040,93.803,0.236881
3.050,93.958,0.392199
3.060,93.743,0.430438
3.070,93.311,0.373396
3.080,93.209,0.431352
3.090,470.234,0.288963
3.100,470.742,0.264196
3.110,94.729,0.126856
3.120,93.925,0.128667
3.130,469.436,0.145166
3.140,35.267,0.079888
3.150,94.701,0.204810
3.160,94.747,0.383453
3.170,94.876,0.556265
3.180,94.481,0.595647
3.190,94.277,0.757802
3.200,94.312,0.756321
3.210,94.020,0.609942
3.220,94.111,0.809443
3.230,94.258,0.311367
3.240,94.622,0.104526
3.250,260.022,0.267745
3.260,41.709,0.090849
3.270,36.490,0.303278
3.280,36.875,0.184828
3.290,39.160,0.068157
3.300,39.145,0.413253
3.310,39.229,0.222505
3.320,162.951,0.106109
3.330,162.658,0.266924
3.340,162.353,0.338005
3.350,162.092,0.316824
3.360,320.534,0.205559
3.370,320.425,0.283380
3.380,319.278,0.447058
3.390,320.558,0.387431
3.400,35.959,0.124078
3.410,33.160,0.172736
3.420,32.739,0.059449
3.430,32.293,0.050987
3.440,46.470,0.091909
3.450,46.231,0.196388
3.460,93.888,0.156948
3.470,93.818,0.330456
3.480,94.111,0.409397
3.490,46.354,0.281755
3.500,46.540,0.324839
3.510,95.138,0.429269
3.520,95.712,0.337756
3.530,95.961,0.063284
3.540,428.729,0.021149
3.550,1742.658,0.079389
3.560,1731.378,0.026090
3.570,1026.173,0.014429
3.580,46.879,0.137839
3.590,61.500,0.387197
3.600,187.348,0.475823
3.610,187.128,0.559234
3.620,187.512,0.681204
3.630,46.409,0.282785
3.640,186.861,0.479911
3.650,186.441,0.366768
3.660,186.982,0.376737
3.670,187.796,0.307980
3.680,187.642,0.226037
3.690,46.541,0.675196
3.700,46.668,0.428289
3.710,46.695,0.738757
3.720,47.001,0.340356
3.730,47.060,0.430602
3.740,46.876,0.499846
3.750,46.931,0.491062
3.760,46.910,0.626960
3.770,46.995,0.703659
3.780,46.587,0.617339
3.790,46.640,0.208177
3.800,46.954,0.097523
3.810,34.319,0.165383
3.820,240.011,0.134894
3.830,48.675,0.111226
3.840,33.078,0.047299
3.850,1969.256,0.079655
3.860,94.064,0.227968
3.870,93.560,0.351173
3.880,46.800,0.546639
3.890,46.848,0.541095
3.900,93.569,0.529523
3.910,46.843,0.374797
3.920,94.138,0.632779
3.930,93.975,0.390015
3.940,46.677,0.485941
3.950,93.946,0.529763
3.960,93.730,0.522404
3.970,46.694,0.566227
3.980,93.549,0.823548
3.990,93.571,0.790750
4.000,94.143,0.660755
4.010,94.541,0.482887
4.020,94.279,0.465679
4.030,94.392,0.754376
4.040,94.303,0.875316
4.050,94.405,0.863063
4.060,93.982,0.766575
4.070,284.481,0.439294
4.080,93.859,0.488459
4.090,93.937,0.735492
4.100,94.452,0.786247
4.110,321.921,0.112447
4.120,32.898,0.182332
4.130,33.223,0.330770
4.140,32.463,0.052919
4.150,44.431,0.033506
4.160,97.947,0.026678
4.170,95.896,0.060876
