time,frequency,confidence
0.000,603.617,0.063682
0.010,656.508,0.084544
0.020,662.825,0.128366
0.030,42.439,0.188267
0.040,43.147,0.757206
0.050,43.084,0.769941
0.060,43.804,0.041129
0.070,638.042,0.058273
0.080,661.166,0.125274
0.090,653.445,0.133508
0.100,648.924,0.124001
0.110,659.289,0.068112
0.120,774.537,0.041688
0.130,0.000,nan
0.140,0.000,nan
0.150,545.995,0.100433
0.160,576.688,0.185344
0.170,270.290,0.049804
0.180,32.523,0.038570
0.190,32.600,0.021478
0.200,1239.325,0.006018
0.210,1228.672,0.004020
0.220,241.278,0.043339
0.230,1196.967,0.013389
0.240,32.227,0.008891
0.250,32.630,0.044981
0.260,1976.022,0.013403
0.270,1198.245,0.019806
0.280,238.835,0.240732
0.290,659.108,0.052194
0.300,632.280,0.141518
0.310,632.945,0.106045
0.320,575.677,0.185989
0.330,578.710,0.214153
0.340,241.104,0.035841
0.350,32.497,0.027655
0.360,44.587,0.026054
0.370,1212.809,0.013898
0.380,211.553,0.139851
0.390,203.753,0.121780
0.400,716.260,0.079853
0.410,196.713,0.079675
0.420,190.853,0.130336
0.430,196.876,0.096257
0.440,195.114,0.077209
0.450,579.658,0.241443
0.460,32.865,0.014046
0.470,33.244,0.043525
0.480,32.798,0.014644
0.490,1216.666,0.005928
0.500,210.704,0.022832
0.510,202.326,0.039685
0.520,980.488,0.044783
0.530,651.637,0.088507
0.540,649.199,0.091559
0.550,647.952,0.054136
0.560,1017.679,0.027298
0.570,1021.417,0.039930
0.580,635.371,0.018292
0.590,204.121,0.013455
0.600,576.496,0.218098
0.610,32.650,0.129687
0.620,32.617,0.038845
0.630,32.801,0.120858
0.640,44.897,0.201823
0.650,126.822,0.086894
0.660,124.632,0.043559
0.670,106.430,0.188438
0.680,104.247,0.390943
0.690,102.913,0.519605
0.700,102.405,0.546538
0.710,101.469,0.595901
0.720,100.998,0.716478
0.730,100.477,0.785409
0.740,100.920,0.730957
0.750,100.387,0.742039
0.760,99.584,0.448541
0.770,98.814,0.200042
0.780,32.781,0.068276
0.790,32.683,0.207468
0.800,32.800,0.064914
0.810,32.674,0.056182
0.820,114.380,0.032965
0.830,105.934,0.225080
0.840,104.059,0.676768
0.850,102.758,0.621600
0.860,102.668,0.710060
0.870,101.995,0.564773
0.880,101.794,0.598632
0.890,101.496,0.532982
0.900,101.408,0.622999
0.910,99.859,0.085628
0.920,32.753,0.039750
0.930,33.094,0.113508
0.940,32.969,0.042935
0.950,992.664,0.008824
0.960,106.117,0.004973
0.970,101.114,0.129834
0.980,101.046,0.549210
0.990,100.094,0.398683
1.000,99.008,0.312193
1.010,98.070,0.214660
1.020,96.903,0.258495
1.030,95.349,0.258733
1.040,95.595,0.191082
1.050,282.439,0.217541
1.060,280.583,0.541027
1.070,283.462,0.356453
1.080,35.649,0.051783
1.090,46.144,0.115125
1.100,138.011,0.035898
1.110,32.535,0.014635
1.120,32.327,0.019689
1.130,32.521,0.073739
1.140,587.772,0.144714
1.150,597.873,0.026449
1.160,32.693,0.029558
1.170,660.280,0.017288
1.180,975.738,0.025940
1.190,984.324,0.085290
1.200,985.297,0.179280
1.210,1003.592,0.179665
1.220,1010.896,0.252999
1.230,1004.061,0.246044
1.240,1002.302,0.217177
1.250,125.954,0.214497
1.260,42.959,0.228046
1.270,1149.190,0.065967
1.280,589.002,0.103224
1.290,633.060,0.023281
1.300,32.359,0.016608
1.310,941.854,0.034859
1.320,994.607,0.064641
1.330,1005.311,0.217497
1.340,1013.118,0.257970
1.350,1012.676,0.283273
1.360,1015.606,0.436933
1.370,1015.110,0.328427
1.380,1014.684,0.194028
1.390,1014.553,0.250607
1.400,1013.776,0.347235
1.410,579.738,0.085188
1.420,1166.311,0.040267
1.430,1962.595,0.030015
1.440,1851.068,0.047766
1.450,1964.316,0.035009
1.460,1965.153,0.036379
1.470,1324.544,0.068058
1.480,1312.498,0.270618
1.490,1330.880,0.522438
1.500,1335.622,0.660668
1.510,1346.522,0.806084
1.520,1347.412,0.688976
1.530,1338.506,0.603575
1.540,1336.032,0.554946
1.550,1329.993,0.117343
1.560,394.621,0.094736
1.570,395.215,0.026550
1.580,657.601,0.026947
1.590,967.951,0.028599
1.600,978.488,0.060788
1.610,982.418,0.203146
1.620,984.087,0.300879
1.630,991.702,0.262809
1.640,994.443,0.094477
1.650,1334.670,0.094807
1.660,1002.150,0.100036
1.670,336.132,0.089213
1.680,335.661,0.099974
1.690,338.189,0.309575
1.700,336.309,0.509517
1.710,338.499,0.744222
1.720,338.737,0.815242
1.730,338.727,0.810586
1.740,338.028,0.726211
1.750,337.048,0.755348
1.760,337.350,0.704245
1.770,337.307,0.659175
1.780,339.807,0.334517
1.790,341.497,0.229786
1.800,115.987,0.073271
1.810,116.010,0.047169
1.820,338.549,0.070162
1.830,337.179,0.501263
1.840,1010.412,0.051627
1.850,286.985,0.114730
1.860,293.792,0.289591
1.870,1381.217,0.029482
1.880,44.777,0.032987
1.890,44.612,0.026254
1.900,1971.772,0.011177
1.910,967.449,0.019337
1.920,223.110,0.018223
1.930,32.173,0.016877
1.940,32.412,0.160131
1.950,32.960,0.007840
1.960,991.314,0.004768
1.970,205.578,0.072583
1.980,969.893,0.037734
1.990,1019.134,0.016125
2.000,32.333,0.003100
2.010,32.099,0.011366
2.020,191.988,0.090043
2.030,32.577,0.070239
2.040,189.199,0.053574
2.050,32.653,0.007505
2.060,32.740,0.036809
2.070,103.801,0.009858
2.080,103.580,0.057130
2.090,205.079,0.135194
2.100,203.254,0.124861
2.110,202.019,0.109090
2.120,192.986,0.268475
2.130,191.877,0.456622
2.140,559.915,0.228255
2.150,576.227,0.122528
2.160,32.202,0.019727
2.170,32.386,0.018340
2.180,986.335,0.005010
2.190,206.344,0.015445
2.200,205.780,0.319764
2.210,201.538,0.144079
2.220,202.447,0.141703
2.230,646.639,0.048139
2.240,191.187,0.245547
2.250,193.128,0.615771
2.260,193.749,0.668168
2.270,191.393,0.627680
2.280,189.375,0.756156
2.290,189.292,0.254954
2.300,145.201,0.097245
2.310,136.001,0.072694
2.320,32.859,0.626046
2.330,132.382,0.156522
2.340,127.325,0.304821
2.350,123.154,0.036385
2.360,105.244,0.242215
2.370,104.003,0.700149
2.380,103.250,0.830801
2.390,102.971,0.858792
2.400,102.125,0.812746
2.410,101.354,0.791292
2.420,100.222,0.751662
2.430,100.420,0.771032
2.440,100.607,0.798932
2.450,100.228,0.645241
2.460,97.342,0.540726
2.470,96.253,0.216412
2.480,32.261,0.012532
2.490,33.185,0.009751
2.500,32.710,0.718612
2.510,32.629,0.134913
2.520,123.246,0.120937
2.530,114.626,0.125024
2.540,105.107,0.174819
2.550,103.876,0.704127
2.560,103.058,0.825816
2.570,102.132,0.845448
2.580,101.385,0.847342
2.590,100.321,0.797169
2.600,99.944,0.716540
2.610,100.535,0.758581
2.620,100.442,0.713847
2.630,98.059,0.266926
2.640,32.363,0.063844
2.650,32.506,0.138722
2.660,32.665,0.028045
2.670,50.764,0.063529
2.680,51.361,0.046114
2.690,100.614,0.014814
2.700,99.568,0.150219
2.710,98.233,0.046029
2.720,192.884,0.086963
2.730,193.461,0.086736
2.740,96.306,0.071305
2.750,95.325,0.192225
2.760,94.712,0.390239
2.770,95.309,0.469336
2.780,96.214,0.506644
2.790,96.651,0.323740
2.800,95.227,0.244903
2.810,213.452,0.094954
2.820,91.280,0.098589
2.830,1018.409,0.156749
2.840,95.639,0.099071
2.850,1010.371,0.069370
2.860,206.168,0.047733
