time,frequency,confidence
0.000,646.845,0.068876
0.010,647.727,0.097000
0.020,288.137,0.038087
0.030,547.358,0.054265
0.040,42.951,0.761575
0.050,42.843,0.596099
0.060,43.066,0.743055
0.070,43.041,0.667949
0.080,42.901,0.609325
0.090,42.616,0.662828
0.100,42.836,0.597042
0.110,43.017,0.745763
0.120,43.085,0.478334
0.130,43.295,0.511490
0.140,684.272,0.220266
0.150,39.304,0.238842
0.160,39.266,0.266209
0.170,41.319,0.127183
0.180,687.857,0.140478
0.190,685.809,0.174264
0.200,666.457,0.138405
0.210,659.487,0.159970
0.220,660.763,0.118577
0.230,598.570,0.098717
0.240,657.225,0.124587
0.250,658.580,0.087978
0.260,645.567,0.070145
0.270,645.713,0.109573
0.280,589.954,0.079057
0.290,581.757,0.156491
0.300,588.083,0.045123
0.310,584.406,0.032910
0.320,32.387,0.038016
0.330,32.940,0.067576
0.340,1166.563,0.072325
0.350,135.162,0.099183
0.360,45.418,0.132303
0.370,32.447,0.049799
0.380,360.107,0.159479
0.390,359.289,0.267764
0.400,71.437,0.339503
0.410,70.989,0.786228
0.420,356.665,0.485604
0.430,356.558,0.617118
0.440,358.203,0.671726
0.450,356.689,0.648908
0.460,357.613,0.453861
0.470,358.856,0.409223
0.480,357.369,0.435147
0.490,355.845,0.364259
0.500,355.538,0.399282
0.510,354.236,0.462035
0.520,355.464,0.621679
0.530,355.797,0.356608
0.540,357.644,0.476006
0.550,356.529,0.636788
0.560,356.297,0.680561
0.570,356.831,0.641856
0.580,356.118,0.669896
0.590,356.960,0.479667
0.600,357.320,0.577016
0.610,358.436,0.414869
0.620,71.455,0.400229
0.630,71.466,0.625153
0.640,71.499,0.610225
0.650,71.480,0.483830
0.660,357.255,0.226381
0.670,356.634,0.354822
0.680,355.522,0.242896
0.690,356.195,0.374672
0.700,355.257,0.484628
0.710,355.541,0.546676
0.720,357.805,0.192261
0.730,358.399,0.550835
0.740,71.241,0.444473
0.750,357.570,0.762350
0.760,358.606,0.641802
0.770,356.417,0.565236
0.780,71.261,0.583230
0.790,71.316,0.512220
0.800,357.939,0.664808
0.810,357.716,0.621491
0.820,71.361,0.416102
0.830,71.239,0.392184
0.840,356.955,0.398544
0.850,356.774,0.391763
0.860,356.396,0.506237
0.870,357.739,0.425081
0.880,354.981,0.348812
0.890,349.406,0.175941
0.900,119.117,0.094054
0.910,33.943,0.052806
0.920,34.948,0.101169
0.930,32.954,0.063399
0.940,119.584,0.053185
0.950,118.850,0.104527
0.960,119.173,0.204184
0.970,354.516,0.544114
0.980,354.803,0.771003
0.990,357.934,0.450705
1.000,359.748,0.276748
1.010,357.575,0.522124
1.020,356.472,0.472524
1.030,358.828,0.748092
1.040,357.445,0.863786
1.050,359.200,0.732933
1.060,359.161,0.681533
1.070,356.868,0.838014
1.080,356.510,0.847931
1.090,356.574,0.797776
1.100,356.054,0.770747
1.110,356.524,0.795039
1.120,355.913,0.816735
1.130,354.682,0.677216
1.140,355.790,0.808206
1.150,356.646,0.860560
1.160,355.466,0.855301
1.170,355.514,0.826786
1.180,356.302,0.831804
1.190,355.720,0.858454
1.200,355.341,0.838867
1.210,355.198,0.812559
1.220,355.913,0.835505
1.230,356.567,0.855817
1.240,357.340,0.828607
1.250,358.166,0.812358
1.260,356.723,0.825446
1.270,356.734,0.824243
1.280,355.052,0.825588
1.290,355.143,0.787364
1.300,355.675,0.686910
1.310,355.573,0.674746
1.320,355.877,0.464622
1.330,355.527,0.312995
1.340,356.879,0.318036
1.350,356.749,0.433879
1.360,356.428,0.141529
1.370,1313.422,0.166317
1.380,1314.215,0.361403
1.390,1310.486,0.054504
1.400,33.973,0.073232
1.410,33.878,0.010284
1.420,39.219,0.002985
1.430,1238.057,0.017611
1.440,1263.283,0.091343
1.450,266.745,0.013771
1.460,318.217,0.315084
1.470,322.293,0.497819
1.480,318.889,0.481347
1.490,321.978,0.624981
1.500,320.767,0.518048
1.510,320.668,0.468160
1.520,320.143,0.575779
1.530,53.111,0.577408
1.540,319.031,0.475692
1.550,319.942,0.469709
1.560,319.542,0.654731
1.570,318.978,0.713277
1.580,317.977,0.768616
1.590,319.788,0.886932
1.600,319.265,0.851876
1.610,319.911,0.873120
1.620,319.290,0.878342
1.630,319.738,0.866125
1.640,319.204,0.853592
1.650,319.279,0.700699
1.660,318.249,0.792976
1.670,318.528,0.654883
1.680,53.104,0.482751
1.690,319.595,0.536204
1.700,319.421,0.700392
1.710,319.347,0.708440
1.720,319.413,0.733545
1.730,319.023,0.729930
1.740,318.966,0.695697
1.750,320.770,0.787420
1.760,320.155,0.849840
1.770,320.166,0.858949
1.780,319.455,0.850155
1.790,319.303,0.835127
1.800,318.398,0.836759
1.810,318.330,0.560455
1.820,319.313,0.647953
1.830,319.248,0.698011
1.840,319.745,0.676609
1.850,319.491,0.486103
1.860,318.872,0.524445
1.870,319.799,0.634079
1.880,318.651,0.307012
1.890,53.401,0.569555
1.900,53.419,0.761228
1.910,53.528,0.837901
1.920,53.435,0.771586
1.930,319.020,0.688674
1.940,319.441,0.562058
1.950,318.770,0.600261
1.960,320.255,0.380893
1.970,320.314,0.728723
1.980,319.805,0.797110
1.990,319.042,0.748840
2.000,319.229,0.724928
2.010,318.209,0.635752
2.020,321.165,0.512625
2.030,52.907,0.764015
2.040,52.976,0.673735
2.050,52.933,0.453101
2.060,322.936,0.337485
2.070,324.957,0.187270
2.080,53.878,0.334748
2.090,322.965,0.312559
2.100,327.401,0.087738
2.110,1330.202,0.012211
2.120,1111.586,0.058364
2.130,1098.619,0.052639
2.140,214.078,0.123906
2.150,53.486,0.109865
2.160,267.396,0.623322
2.170,268.964,0.523713
2.180,266.653,0.187786
2.190,53.172,0.175251
2.200,53.032,0.310978
2.210,52.770,0.574285
2.220,53.259,0.766423
2.230,53.292,0.826237
2.240,53.132,0.674012
2.250,52.861,0.399574
2.260,52.361,0.440485
2.270,52.773,0.593127
2.280,53.158,0.460785
2.290,53.534,0.056758
2.300,1077.820,0.079113
2.310,1076.155,0.191516
2.320,1070.191,0.211171
2.330,1074.838,0.115179
2.340,269.327,0.089746
2.350,316.270,0.123353
2.360,106.667,0.317986
2.370,106.249,0.103639
2.380,32.949,0.072606
2.390,1073.175,0.066739
2.400,1170.115,0.046361
2.410,239.744,0.085359
2.420,286.636,0.093853
2.430,39.820,0.078345
2.440,35.033,0.056427
2.450,32.162,0.102519
2.460,283.047,0.179543
2.470,104.810,0.053363
2.480,53.269,0.076316
2.490,53.028,0.208673
2.500,53.171,0.234192
2.510,212.091,0.701959
2.520,211.029,0.693539
2.530,210.712,0.475740
2.540,211.212,0.669619
2.550,212.423,0.802895
2.560,212.755,0.846955
2.570,211.725,0.686967
2.580,213.564,0.198116
2.590,214.206,0.305711
2.600,213.304,0.404030
2.610,213.250,0.205961
2.620,214.389,0.737971
2.630,212.595,0.737521
2.640,211.984,0.824389
2.650,211.912,0.871816
2.660,213.255,0.899817
2.670,213.770,0.901422
2.680,213.486,0.836691
2.690,213.316,0.799046
2.700,214.309,0.531075
2.710,213.635,0.534766
2.720,213.736,0.513439
2.730,215.103,0.646118
2.740,212.303,0.278086
2.750,106.506,0.186772
2.760,52.688,0.138033
2.770,212.261,0.114050
2.780,214.429,0.094734
2.790,214.372,0.067685
2.800,214.501,0.040564
2.810,214.915,0.070732
2.820,1251.745,0.038879
2.830,211.240,0.477969
2.840,211.669,0.617447
2.850,213.305,0.709361
2.860,214.088,0.806198
2.870,213.214,0.820881
2.880,213.166,0.793454
2.890,213.241,0.884126
2.900,213.246,0.816659
2.910,213.122,0.861380
2.920,213.158,0.833043
2.930,213.545,0.849547
2.940,213.387,0.851706
2.950,216.676,0.142044
2.960,32.407,0.015594
2.970,34.529,0.097649
2.980,32.418,0.063763
2.990,49.535,0.033438
3.000,54.462,0.004880
3.010,114.237,0.003520
3.020,32.155,0.013585
3.030,119.466,0.009993
3.040,1084.333,0.049193
3.050,1086.014,0.226458
3.060,1084.538,0.237290
3.070,1085.047,0.036855
3.080,53.654,0.140708
3.090,213.948,0.307098
3.100,53.503,0.133439
3.110,53.840,0.031561
3.120,32.626,0.025503
3.130,32.785,0.012333
3.140,33.186,0.016018
3.150,87.365,0.017015
3.160,85.291,0.032905
3.170,84.956,0.059223
3.180,117.358,0.150086
3.190,238.629,0.621555
3.200,239.145,0.499451
3.210,238.828,0.460212
3.220,237.627,0.406411
3.230,236.457,0.107600
3.240,118.437,0.055491
3.250,32.792,0.043591
3.260,283.579,0.107708
3.270,288.530,0.322537
3.280,35.365,0.076183
3.290,34.531,0.084941
3.300,46.553,0.022116
3.310,243.319,0.189129
3.320,238.635,0.621913
3.330,241.858,0.589852
3.340,241.779,0.504121
3.350,237.574,0.448458
3.360,34.211,0.551337
3.370,34.220,0.755779
3.380,34.308,0.208874
3.390,124.409,0.037949
3.400,236.723,0.050063
3.410,47.469,0.300077
3.420,47.045,0.440864
3.430,46.576,0.499548
3.440,46.759,0.521858
3.450,238.881,0.738145
3.460,236.152,0.413429
3.470,232.718,0.051024
3.480,942.193,0.044653
3.490,937.733,0.041604
3.500,970.409,0.018274
3.510,256.396,0.052083
3.520,242.017,0.030584
3.530,240.971,0.181944
3.540,240.745,0.518775
3.550,241.522,0.626727
3.560,238.819,0.565860
3.570,238.788,0.633560
3.580,237.667,0.604261
3.590,236.882,0.402833
3.600,35.250,0.193124
3.610,47.254,0.142813
3.620,47.147,0.458862
3.630,46.863,0.363090
3.640,46.964,0.354061
3.650,47.538,0.636222
3.660,47.445,0.369531
3.670,47.507,0.438864
3.680,33.484,0.280018
3.690,34.047,0.190942
3.700,944.671,0.009856
3.710,124.308,0.019231
3.720,120.330,0.006470
3.730,119.104,0.007780
3.740,33.135,0.006695
3.750,32.987,0.170333
3.760,57.838,0.007367
3.770,57.658,0.009696
3.780,237.560,0.102166
3.790,238.182,0.155753
3.800,240.167,0.683657
3.810,238.948,0.435016
3.820,239.336,0.678624
3.830,239.755,0.366995
3.840,239.961,0.672475
3.850,237.604,0.559714
3.860,238.041,0.673235
3.870,238.490,0.076192
3.880,34.363,0.086255
3.890,33.575,0.143042
3.900,33.184,0.428869
3.910,33.143,0.018238
3.920,117.670,0.109556
3.930,1147.204,0.135729
3.940,186.824,0.143395
3.950,283.505,0.098331
3.960,1157.954,0.153931
3.970,1161.925,0.071527
3.980,282.479,0.098918
3.990,1157.743,0.165578
4.000,1165.276,0.100632
4.010,1168.597,0.064918
4.020,238.921,0.293003
4.030,190.455,0.288142
4.040,237.397,0.547911
4.050,236.600,0.576611
4.060,237.184,0.571299
4.070,237.075,0.498175
4.080,238.828,0.736331
4.090,237.241,0.520835
4.100,237.720,0.507096
4.110,47.173,0.220432
4.120,47.208,0.142334
4.130,236.813,0.071546
4.140,1074.628,0.155613
4.150,1062.925,0.058992
4.160,35.131,0.177481
4.170,35.448,0.526128
4.180,36.166,0.355661
4.190,42.275,0.052919
4.200,42.179,0.208694
4.210,41.412,0.251136
4.220,32.291,0.030797
4.230,1160.168,0.004557
4.240,140.679,0.014935
4.250,214.787,0.540293
4.260,212.910,0.550129
4.270,216.202,0.473150
4.280,216.099,0.323318
4.290,106.310,0.227234
4.300,213.355,0.285965
4.310,214.056,0.201229
4.320,35.105,0.541461
4.330,35.052,0.318303
4.340,214.200,0.205663
4.350,213.128,0.401428
4.360,214.161,0.496184
4.370,211.965,0.533019
4.380,208.417,0.342677
4.390,213.357,0.507628
4.400,213.786,0.414387
4.410,180.045,0.429032
4.420,211.923,0.352907
4.430,212.188,0.344372
4.440,212.034,0.381251
4.450,213.952,0.204091
4.460,70.448,0.116174
4.470,212.239,0.152195
4.480,213.541,0.127512
4.490,179.939,0.287383
4.500,213.316,0.359934
