time,frequency,confidence
0.000,603.531,0.058639
0.010,656.835,0.087263
0.020,663.362,0.055221
0.030,591.240,0.088624
0.040,1959.627,0.020473
0.050,1959.626,0.020411
0.060,1959.624,0.020396
0.070,1959.624,0.020396
0.080,1959.620,0.020397
0.090,551.531,0.186649
0.100,1573.275,0.040751
0.110,590.982,0.043846
0.120,98.426,0.137754
0.130,32.074,0.029278
0.140,32.270,0.023803
0.150,97.906,0.045213
0.160,1421.380,0.051494
0.170,446.840,0.020981
0.180,350.177,0.020789
0.190,1043.052,0.017407
0.200,34.888,0.037138
0.210,35.311,0.026206
0.220,1175.165,0.032585
0.230,1180.015,0.093094
0.240,1183.259,0.063270
0.250,1182.382,0.056002
0.260,587.722,0.089486
0.270,1765.317,0.016294
0.280,1843.360,0.015433
0.290,1789.253,0.013401
0.300,1194.360,0.028007
0.310,224.074,0.097415
0.320,1034.805,0.016486
0.330,181.228,0.011969
0.340,32.349,0.026461
0.350,32.169,0.058775
0.360,36.106,0.012889
0.370,1785.297,0.026998
0.380,1974.170,0.033627
0.390,1973.561,0.010044
0.400,1970.399,0.013753
0.410,1179.722,0.061496
0.420,1847.855,0.038235
0.430,32.287,0.016202
0.440,552.202,0.126045
0.450,1424.630,0.054492
0.460,674.034,0.026348
0.470,1284.378,0.015118
0.480,32.179,0.015075
0.490,32.241,0.008355
0.500,32.188,0.005906
0.510,396.274,0.010040
0.520,1967.832,0.010860
0.530,1974.295,0.021525
0.540,1971.991,0.006986
0.550,48.928,0.098235
0.560,1458.762,0.109316
0.570,1710.094,0.044034
0.580,1769.373,0.018567
0.590,1853.774,0.063435
0.600,659.690,0.053627
0.610,662.320,0.078533
0.620,153.998,0.038862
0.630,817.245,0.033810
0.640,32.317,0.020824
0.650,32.309,0.074498
0.660,32.647,0.045339
0.670,1202.068,0.029376
0.680,1969.640,0.043090
0.690,1940.807,0.027424
0.700,1961.234,0.016079
0.710,1955.159,0.023717
0.720,1201.018,0.027972
0.730,1178.959,0.100205
0.740,1052.931,0.106729
0.750,1065.951,0.018594
0.760,1036.957,0.017008
0.770,32.401,0.022365
0.780,658.754,0.014127
0.790,1179.271,0.015369
0.800,1954.004,0.045052
0.810,594.331,0.112462
0.820,590.578,0.245690
0.830,1868.139,0.046397
0.840,1750.208,0.042585
0.850,1730.571,0.074341
0.860,1770.258,0.031014
0.870,1821.144,0.121153
0.880,1835.137,0.126396
0.890,223.079,0.019768
0.900,222.924,0.053428
0.910,217.282,0.019953
0.920,640.286,0.035576
0.930,32.146,0.064134
0.940,32.160,0.009333
0.950,662.804,0.018150
0.960,1314.601,0.088373
0.970,38.441,0.037198
0.980,1975.037,0.029267
0.990,1241.297,0.023745
1.000,1790.225,0.030292
1.010,647.540,0.034359
1.020,552.093,0.061755
1.030,544.895,0.057878
1.040,665.105,0.051833
1.050,1304.263,0.016355
1.060,32.536,0.019918
1.070,32.878,0.007474
1.080,1973.957,0.014828
1.090,1967.601,0.019348
1.100,1896.285,0.011075
1.110,34.189,0.026961
1.120,49.359,0.011480
1.130,1463.199,0.026733
1.140,530.981,0.042978
1.150,1669.128,0.019332
1.160,33.771,0.155935
1.170,32.413,0.010240
1.180,661.075,0.098968
1.190,544.274,0.057881
1.200,680.429,0.033167
1.210,32.482,0.014471
1.220,32.461,0.030601
1.230,32.557,0.015499
