time,frequency,confidence
0.000,603.531,0.058639
0.010,656.835,0.087263
0.020,663.362,0.055221
0.030,591.240,0.088624
0.040,1959.627,0.020473
0.050,1959.626,0.020411
0.060,1043.024,0.018255
0.070,1040.961,0.011922
0.080,32.830,0.022094
0.090,32.691,0.031928
0.100,32.781,0.041666
0.110,164.517,0.051119
0.120,594.107,0.044047
0.130,32.294,0.026276
0.140,32.477,0.010900
0.150,577.369,0.116589
0.160,290.681,0.356330
0.170,291.117,0.272237
0.180,263.417,0.090612
0.190,32.463,0.064673
0.200,32.585,0.288236
0.210,54.272,0.027117
0.220,54.191,0.053707
0.230,1962.557,0.023671
0.240,119.228,0.031383
0.250,1315.291,0.081295
0.260,48.878,0.110199
0.270,49.320,0.327412
0.280,49.487,0.304613
0.290,286.812,0.282312
0.300,288.474,0.323049
0.310,287.077,0.425831
0.320,287.781,0.137376
0.330,49.127,0.140857
0.340,48.695,0.127442
0.350,33.843,0.106519
0.360,32.966,0.044153
0.370,49.272,0.058413
0.380,55.148,0.021294
0.390,32.534,0.099489
0.400,32.550,0.019144
0.410,32.558,0.049656
0.420,32.304,0.024476
0.430,32.450,0.032596
0.440,32.885,0.084294
0.450,33.175,0.115170
0.460,40.555,0.372550
0.470,40.671,0.700364
0.480,301.073,0.056296
0.490,32.362,0.148881
0.500,32.255,0.102126
0.510,32.259,0.060830
0.520,48.764,0.070544
0.530,48.486,0.107920
0.540,44.793,0.039891
0.550,49.435,0.059702
0.560,49.568,0.120949
0.570,33.084,0.086987
0.580,33.676,0.035775
0.590,43.829,0.006268
0.600,43.765,0.009723
0.610,32.748,0.064766
0.620,147.297,0.657425
0.630,147.826,0.847100
0.640,147.244,0.832788
0.650,146.865,0.782199
0.660,146.721,0.583443
0.670,146.641,0.375911
0.680,145.479,0.068903
0.690,48.740,0.083872
0.700,117.282,0.077375
0.710,269.521,0.100336
0.720,272.792,0.224614
0.730,35.454,0.039524
0.740,48.430,0.093625
0.750,48.234,0.070087
0.760,49.250,0.089453
0.770,49.340,0.067445
0.780,35.432,0.062599
0.790,34.702,0.016534
0.800,39.550,0.004477
0.810,32.907,0.007978
0.820,33.131,0.013846
0.830,33.130,0.247531
0.840,32.820,0.313168
0.850,33.052,0.437422
0.860,32.971,0.244395
0.870,32.921,0.367608
0.880,33.028,0.356158
0.890,32.909,0.099819
0.900,295.653,0.106361
0.910,169.254,0.137058
0.920,32.792,0.230102
0.930,32.890,0.074331
0.940,36.050,0.366806
0.950,72.328,0.382848
0.960,72.694,0.177915
0.970,39.173,0.107399
0.980,33.779,0.096782
0.990,36.803,0.140289
1.000,37.120,0.171860
1.010,36.843,0.087803
1.020,39.968,0.010944
1.030,32.928,0.102311
1.040,33.078,0.145949
1.050,33.399,0.637607
1.060,34.348,0.095903
1.070,49.344,0.029632
1.080,58.190,0.054728
1.090,43.162,0.051196
1.100,40.281,0.048861
1.110,291.217,0.198696
1.120,294.456,0.092700
1.130,298.299,0.019337
1.140,32.639,0.043626
1.150,32.697,0.023293
1.160,1875.590,0.020594
1.170,1894.408,0.017447
1.180,52.347,0.043947
1.190,33.943,0.013671
1.200,33.849,0.112829
1.210,1303.076,0.014193
1.220,1166.817,0.029170
1.230,32.495,0.027731
1.240,32.708,0.046500
1.250,37.322,0.029346
1.260,49.758,0.094659
1.270,49.794,0.262664
