time,frequency,confidence
0.000,646.854,0.069171
0.010,647.786,0.096646
0.020,288.178,0.037421
0.030,546.804,0.060622
0.040,43.220,0.844267
0.050,42.635,0.813632
0.060,42.938,0.780413
0.070,42.840,0.817072
0.080,42.774,0.743114
0.090,42.863,0.639960
0.100,42.905,0.428028
0.110,42.185,0.030057
0.120,40.766,0.049795
0.130,157.800,0.108426
0.140,51.123,0.092423
0.150,50.324,0.577440
0.160,50.214,0.529169
0.170,49.940,0.488475
0.180,50.219,0.511895
0.190,50.351,0.463241
0.200,50.041,0.650731
0.210,50.000,0.624605
0.220,49.836,0.656804
0.230,49.758,0.728386
0.240,49.896,0.715222
0.250,50.203,0.595584
0.260,51.611,0.059328
0.270,148.112,0.067756
0.280,656.980,0.073195
0.290,657.624,0.103214
0.300,664.041,0.043567
0.310,665.620,0.066582
0.320,1020.782,0.020579
0.330,649.193,0.034716
0.340,35.203,0.044428
0.350,32.934,0.024490
0.360,578.397,0.150149
0.370,586.117,0.143456
0.380,594.203,0.116874
0.390,397.384,0.074941
0.400,407.146,0.057597
0.410,406.681,0.046283
0.420,137.880,0.040282
0.430,133.061,0.047751
0.440,32.392,0.019904
0.450,1273.012,0.007596
0.460,118.971,0.032388
0.470,32.741,0.101602
0.480,32.840,0.022029
0.490,32.866,0.012826
0.500,1310.268,0.027062
0.510,33.326,0.073567
0.520,1324.159,0.023545
0.530,33.439,0.021489
0.540,32.605,0.046700
0.550,32.189,0.031176
0.560,1768.702,0.003241
0.570,1219.122,0.004483
0.580,1219.764,0.015807
0.590,259.155,0.655400
0.600,259.201,0.566468
0.610,264.711,0.236910
0.620,264.780,0.210160
0.630,233.618,0.200169
0.640,32.886,0.164653
0.650,38.581,0.123914
0.660,234.275,0.379589
0.670,258.341,0.327597
0.680,253.158,0.282305
0.690,256.398,0.291891
0.700,32.354,0.111806
0.710,32.438,0.141821
0.720,32.168,0.089728
0.730,51.294,0.020117
0.740,152.326,0.011427
0.750,307.071,0.046263
0.760,38.700,0.149003
0.770,307.690,0.252458
0.780,311.992,0.329341
0.790,310.547,0.738193
0.800,311.323,0.220553
0.810,44.574,0.094704
0.820,45.137,0.165233
0.830,137.960,0.095055
0.840,32.906,0.133430
0.850,32.850,0.154865
0.860,32.871,0.111683
0.870,33.072,0.058141
0.880,32.958,0.067101
0.890,32.909,0.013356
0.900,1310.038,0.006198
0.910,128.007,0.003716
0.920,114.452,0.036862
0.930,33.085,0.097632
0.940,45.703,0.064066
0.950,86.913,0.047575
0.960,44.888,0.094684
0.970,33.071,0.012970
0.980,32.872,0.126708
0.990,32.838,0.184946
1.000,32.776,0.208980
1.010,45.707,0.109638
1.020,45.665,0.035886
1.030,76.061,0.008462
1.040,1404.887,0.012095
1.050,34.663,0.039744
1.060,34.258,0.010188
1.070,940.216,0.009596
1.080,44.618,0.024117
1.090,44.488,0.158648
1.100,44.841,0.026617
1.110,33.692,0.019279
1.120,1257.011,0.014773
1.130,1300.116,0.032717
1.140,1084.882,0.016795
1.150,32.255,0.011122
1.160,32.177,0.010959
1.170,32.345,0.014442
1.180,32.208,0.036182
1.190,1197.545,0.035358
1.200,599.096,0.040999
1.210,658.631,0.042883
1.220,77.763,0.045629
1.230,39.510,0.011371
1.240,286.110,0.122170
1.250,195.729,0.033876
1.260,308.800,0.068496
1.270,311.980,0.277426
1.280,312.085,0.486769
1.290,312.133,0.272372
1.300,315.053,0.336811
1.310,316.442,0.160833
1.320,32.590,0.149968
1.330,32.255,0.144306
1.340,46.462,0.046073
1.350,32.271,0.020577
1.360,32.190,0.008643
1.370,1163.204,0.009826
1.380,1216.279,0.021391
1.390,106.414,0.010497
1.400,48.024,0.024685
1.410,47.421,0.079827
1.420,239.154,0.035082
1.430,33.361,0.040612
1.440,232.973,0.203659
1.450,228.234,0.279877
1.460,228.790,0.137496
1.470,32.632,0.014833
1.480,33.567,0.073317
1.490,33.759,0.196796
