time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055952
0.040,1958.013,0.015093
0.050,1958.014,0.015055
0.060,864.464,0.093131
0.070,32.505,0.030986
0.080,33.371,0.152449
0.090,32.390,0.056377
0.100,32.686,0.088855
0.110,582.889,0.079664
0.120,533.477,0.151608
0.130,32.540,0.108891
0.140,32.414,0.300374
0.150,46.005,0.078634
0.160,235.403,0.234298
0.170,235.019,0.667185
0.180,234.731,0.794614
0.190,234.501,0.827271
0.200,233.793,0.601382
0.210,231.591,0.094210
0.220,47.423,0.099218
0.230,33.439,0.496508
0.240,33.601,0.624375
0.250,33.039,0.172934
0.260,46.481,0.810000
0.270,46.613,0.800282
0.280,46.363,0.210042
0.290,32.766,0.242835
0.300,32.864,0.101877
0.310,466.413,0.342158
0.320,466.169,0.217140
0.330,466.398,0.498875
0.340,467.351,0.610707
0.350,234.101,0.469284
0.360,233.577,0.679003
0.370,235.081,0.735054
0.380,234.807,0.775027
0.390,234.755,0.739895
0.400,235.150,0.548010
0.410,32.914,0.305777
0.420,33.016,0.035816
0.430,69.578,0.122559
0.440,69.419,0.422007
0.450,69.362,0.731895
0.460,69.482,0.832015
0.470,69.457,0.890043
0.480,69.553,0.919912
0.490,69.528,0.899179
0.500,69.472,0.801126
0.510,69.668,0.579961
0.520,69.572,0.423092
0.530,69.468,0.421950
0.540,69.556,0.452803
0.550,69.452,0.625470
0.560,69.347,0.778260
0.570,69.554,0.696471
0.580,69.405,0.753370
0.590,69.200,0.641580
0.600,69.154,0.721365
0.610,69.227,0.681160
0.620,69.239,0.651652
0.630,207.608,0.627660
0.640,208.291,0.785632
0.650,208.433,0.858559
0.660,208.635,0.866973
0.670,209.058,0.821805
0.680,209.040,0.517769
0.690,68.732,0.203401
0.700,52.554,0.211919
0.710,52.395,0.285267
0.720,312.529,0.709347
0.730,310.944,0.767852
0.740,309.912,0.561338
0.750,61.887,0.727754
0.760,310.059,0.563868
0.770,311.044,0.688418
0.780,311.485,0.822061
0.790,310.860,0.842268
0.800,311.199,0.873013
0.810,311.326,0.799428
0.820,311.537,0.571366
0.830,311.467,0.683446
0.840,311.372,0.529399
0.850,62.087,0.801668
0.860,62.196,0.794800
0.870,61.974,0.763010
0.880,62.001,0.634717
0.890,62.319,0.345888
0.900,309.138,0.109241
0.910,124.833,0.078158
0.920,372.081,0.121863
0.930,62.313,0.410779
0.940,62.269,0.316937
0.950,312.319,0.199402
0.960,631.375,0.247361
0.970,581.915,0.314353
0.980,567.484,0.409671
0.990,277.605,0.572672
1.000,276.733,0.783658
1.010,277.508,0.795172
1.020,278.745,0.771882
1.030,278.144,0.755883
1.040,276.682,0.772527
1.050,276.823,0.814568
1.060,276.657,0.830296
1.070,277.429,0.792971
1.080,278.211,0.751414
1.090,277.543,0.811812
1.100,277.031,0.772763
1.110,278.229,0.768305
1.120,278.372,0.829157
1.130,277.497,0.778921
1.140,277.639,0.790022
1.150,277.799,0.801778
1.160,277.118,0.768098
1.170,276.685,0.700487
1.180,277.625,0.638518
1.190,278.342,0.533454
1.200,277.349,0.199413
1.210,278.471,0.202773
1.220,277.733,0.246166
1.230,278.624,0.270891
1.240,557.391,0.402880
1.250,557.607,0.242000
1.260,575.735,0.091948
1.270,260.995,0.095904
1.280,261.567,0.309308
1.290,261.141,0.498409
1.300,261.214,0.552503
1.310,51.803,0.416883
1.320,52.034,0.554525
1.330,52.081,0.794884
1.340,52.065,0.637327
1.350,52.137,0.756353
1.360,261.609,0.424576
1.370,263.024,0.556003
1.380,261.277,0.660575
1.390,261.218,0.600657
1.400,260.831,0.616647
1.410,261.492,0.618266
1.420,260.953,0.627617
1.430,261.708,0.678451
1.440,261.337,0.723211
1.450,261.602,0.528012
1.460,260.334,0.697029
1.470,260.882,0.597386
1.480,260.110,0.637028
1.490,262.299,0.683380
1.500,52.038,0.598515
1.510,262.150,0.612571
1.520,261.483,0.668440
1.530,263.424,0.658727
1.540,260.804,0.356663
1.550,52.075,0.705560
1.560,52.053,0.865435
1.570,52.150,0.937769
1.580,52.049,0.863042
1.590,52.150,0.911848
1.600,52.029,0.728490
1.610,52.031,0.652422
1.620,52.029,0.705132
1.630,52.022,0.712878
1.640,52.102,0.753055
1.650,52.098,0.683758
1.660,52.054,0.300077
1.670,207.986,0.366460
1.680,207.929,0.391020
1.690,207.782,0.456622
1.700,207.498,0.601750
1.710,207.108,0.501280
1.720,207.469,0.540124
1.730,207.305,0.597150
1.740,207.261,0.641941
1.750,207.373,0.741627
1.760,207.581,0.784427
1.770,207.639,0.791753
1.780,208.044,0.799975
1.790,207.794,0.703455
1.800,207.895,0.677442
1.810,207.914,0.722185
1.820,207.741,0.593409
1.830,208.177,0.624265
1.840,416.986,0.312088
1.850,418.092,0.430316
1.860,417.150,0.473939
1.870,208.335,0.477660
1.880,207.898,0.616737
1.890,208.061,0.795587
1.900,207.804,0.866418
1.910,207.601,0.871484
1.920,207.291,0.784194
1.930,207.621,0.343452
1.940,86.220,0.143092
1.950,87.120,0.075650
1.960,33.454,0.128933
1.970,53.691,0.277944
1.980,53.037,0.306363
1.990,263.101,0.334453
2.000,263.302,0.405488
2.010,263.257,0.123793
2.020,261.476,0.269292
2.030,52.061,0.536357
2.040,52.252,0.628728
2.050,52.530,0.242981
2.060,263.619,0.221062
2.070,262.772,0.426444
2.080,264.054,0.677594
2.090,262.444,0.700456
2.100,262.936,0.640334
2.110,261.565,0.678972
2.120,261.580,0.717219
2.130,261.014,0.654826
2.140,261.163,0.633298
2.150,260.887,0.614518
2.160,261.050,0.610472
2.170,260.977,0.648115
2.180,261.041,0.697184
2.190,261.028,0.615520
2.200,261.760,0.566551
2.210,52.111,0.454894
2.220,52.147,0.429676
2.230,261.096,0.492663
2.240,261.375,0.632871
2.250,260.855,0.650315
2.260,260.483,0.762176
2.270,260.526,0.800594
2.280,260.947,0.820532
2.290,261.280,0.788249
2.300,261.866,0.836429
2.310,261.348,0.768324
2.320,261.588,0.801597
2.330,261.056,0.815296
2.340,262.200,0.842109
2.350,263.407,0.874197
2.360,261.642,0.798792
2.370,259.986,0.456710
2.380,209.293,0.284428
2.390,210.097,0.527447
2.400,210.505,0.548787
2.410,104.051,0.565342
2.420,104.198,0.755766
2.430,104.086,0.722294
2.440,104.081,0.771022
2.450,103.818,0.700250
2.460,103.867,0.478249
2.470,208.534,0.306894
2.480,104.605,0.293984
2.490,104.500,0.661330
2.500,104.352,0.711289
2.510,52.165,0.584548
2.520,52.110,0.850260
2.530,51.952,0.596553
2.540,207.207,0.568277
2.550,207.957,0.612626
2.560,207.762,0.543000
2.570,207.775,0.516743
2.580,207.498,0.389771
2.590,103.362,0.452561
2.600,103.471,0.367236
2.610,207.564,0.385904
2.620,207.300,0.454933
2.630,206.844,0.533768
2.640,207.040,0.454939
2.650,207.797,0.343064
2.660,208.127,0.274264
2.670,103.603,0.658315
2.680,103.788,0.806693
2.690,103.657,0.846476
2.700,103.602,0.834861
2.710,103.647,0.711040
2.720,103.767,0.703668
2.730,104.010,0.538998
2.740,104.070,0.512800
2.750,104.012,0.429959
2.760,104.084,0.547701
2.770,104.259,0.568033
2.780,105.024,0.167309
2.790,36.071,0.086875
2.800,32.827,0.073983
2.810,32.706,0.040424
2.820,187.139,0.187184
2.830,186.526,0.506517
2.840,184.771,0.671510
2.850,184.392,0.379412
2.860,184.370,0.166572
2.870,367.644,0.154413
2.880,51.929,0.176213
2.890,370.010,0.344210
2.900,370.962,0.189192
2.910,371.625,0.282508
2.920,370.911,0.299231
2.930,371.039,0.444396
2.940,135.882,0.136273
2.950,135.303,0.241592
2.960,369.623,0.209306
2.970,134.701,0.161360
2.980,184.545,0.237046
2.990,184.737,0.372401
3.000,185.787,0.482694
3.010,185.318,0.360469
3.020,184.433,0.617823
3.030,184.497,0.709392
3.040,185.708,0.393961
3.050,371.456,0.055552
3.060,104.415,0.327851
3.070,104.467,0.601662
3.080,104.178,0.553087
3.090,103.931,0.601166
3.100,208.244,0.671018
3.110,207.248,0.688387
3.120,207.710,0.408516
3.130,52.152,0.365315
3.140,34.532,0.111341
3.150,32.953,0.060132
3.160,33.942,0.051829
3.170,34.280,0.047273
3.180,34.022,0.089608
3.190,32.342,0.090554
3.200,52.189,0.265058
3.210,32.203,0.025647
3.220,33.932,0.119716
3.230,33.841,0.262886
3.240,69.819,0.181674
3.250,69.664,0.583538
3.260,69.625,0.151369
3.270,206.808,0.020097
3.280,207.283,0.425248
3.290,207.690,0.660525
3.300,207.853,0.437107
3.310,207.663,0.595523
3.320,207.333,0.740438
3.330,207.495,0.862845
3.340,207.000,0.834491
3.350,206.824,0.689552
3.360,207.596,0.631689
3.370,69.364,0.680973
3.380,69.417,0.696278
3.390,208.330,0.487670
3.400,69.325,0.511013
3.410,69.181,0.665657
3.420,69.212,0.651376
3.430,69.108,0.787306
3.440,69.093,0.822370
3.450,69.332,0.815621
3.460,69.303,0.802833
3.470,69.049,0.334378
3.480,87.873,0.077216
3.490,351.001,0.099447
3.500,349.490,0.460104
3.510,349.269,0.572455
3.520,349.065,0.545161
3.530,348.186,0.566762
3.540,349.085,0.614126
3.550,349.199,0.704601
3.560,347.892,0.682933
3.570,349.331,0.630229
3.580,349.694,0.561776
3.590,348.307,0.600555
3.600,349.717,0.635865
3.610,350.099,0.737146
3.620,349.179,0.797691
3.630,348.845,0.785104
3.640,347.424,0.725222
3.650,347.598,0.771533
3.660,348.947,0.795424
3.670,348.558,0.749168
3.680,348.465,0.718006
3.690,348.703,0.763827
3.700,348.799,0.609942
3.710,347.696,0.619194
3.720,347.500,0.699850
3.730,347.888,0.654394
3.740,348.236,0.701205
3.750,349.377,0.762984
3.760,349.521,0.664330
3.770,347.579,0.469857
3.780,348.680,0.518650
3.790,349.446,0.445171
3.800,348.180,0.405757
3.810,346.963,0.299095
3.820,348.820,0.240397
3.830,138.558,0.314624
3.840,138.132,0.321004
3.850,351.645,0.498421
3.860,138.364,0.465157
3.870,138.429,0.428893
3.880,138.138,0.282354
3.890,139.247,0.565189
3.900,139.792,0.032594
3.910,33.846,0.053905
3.920,206.388,0.223173
3.930,207.434,0.547034
3.940,207.830,0.653601
3.950,69.412,0.493924
3.960,69.458,0.848762
3.970,69.414,0.819873
3.980,69.304,0.842613
3.990,69.242,0.353472
4.000,208.641,0.636848
4.010,209.496,0.667377
4.020,208.876,0.720059
4.030,207.799,0.759220
4.040,207.750,0.684618
4.050,207.981,0.694921
4.060,207.600,0.482441
4.070,69.188,0.376015
4.080,69.287,0.828679
4.090,69.266,0.881697
4.100,69.106,0.812752
4.110,69.446,0.890605
4.120,69.619,0.788583
4.130,211.141,0.254210
4.140,217.512,0.247329
4.150,243.621,0.418029
4.160,244.852,0.354901
4.170,237.350,0.361026
4.180,119.892,0.060233
