time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055954
0.040,1958.310,0.014800
0.050,1958.322,0.014884
0.060,1958.318,0.014870
0.070,1958.314,0.014871
0.080,1958.314,0.014870
0.090,1958.330,0.014834
0.100,1958.326,0.014804
0.110,1958.308,0.014731
0.120,1958.287,0.014679
0.130,1958.275,0.014590
0.140,1958.279,0.014598
0.150,1958.279,0.014598
0.160,1958.279,0.014598
0.170,1958.278,0.014599
0.180,1958.277,0.014599
0.190,1958.274,0.014606
0.200,1958.274,0.014611
0.210,1958.269,0.014615
0.220,1958.267,0.014615
0.230,1958.266,0.014608
0.240,1958.266,0.014608
0.250,1958.266,0.014608
0.260,1958.269,0.014617
0.270,1958.269,0.014624
0.280,1958.270,0.014630
0.290,1958.270,0.014637
0.300,1958.271,0.014647
0.310,1958.275,0.014647
0.320,1958.275,0.014647
0.330,1958.275,0.014647
0.340,1958.275,0.014647
0.350,1958.274,0.014641
0.360,1958.273,0.014641
0.370,1958.272,0.014648
0.380,1958.276,0.014645
0.390,1958.271,0.014642
0.400,1958.266,0.014622
0.410,1958.266,0.014611
0.420,1958.259,0.014634
0.430,1958.264,0.014663
0.440,1958.284,0.014741
0.450,1958.314,0.014793
0.460,1958.327,0.014878
0.470,1958.322,0.014854
0.480,1958.320,0.014847
0.490,1054.628,0.086680
0.500,1039.075,0.017133
0.510,34.805,0.038638
0.520,1040.452,0.047443
0.530,1039.221,0.077215
0.540,547.527,0.115016
0.550,32.711,0.076307
0.560,32.716,0.020160
0.570,32.360,0.013781
0.580,1839.230,0.004822
0.590,941.632,0.004314
0.600,396.132,0.026173
0.610,1926.669,0.007494
0.620,1964.480,0.013116
0.630,1936.505,0.012930
0.640,32.165,0.012159
0.650,34.357,0.007107
0.660,34.675,0.025324
0.670,960.816,0.023565
0.680,1018.946,0.018032
0.690,1248.498,0.012193
0.700,954.836,0.016068
0.710,1848.941,0.020409
0.720,1845.717,0.030220
0.730,1857.495,0.016740
0.740,33.001,0.009337
0.750,32.370,0.010951
0.760,33.472,0.018603
0.770,32.429,0.002617
0.780,944.543,0.003646
0.790,32.589,0.026593
0.800,32.402,0.139945
0.810,32.169,0.113569
0.820,32.243,0.005427
0.830,1794.099,0.023559
0.840,1796.014,0.012448
0.850,176.144,0.048662
0.860,32.689,0.062519
0.870,32.677,0.072250
0.880,163.796,0.081017
0.890,32.551,0.037330
0.900,84.539,0.016575
0.910,85.454,0.019070
0.920,399.367,0.072007
0.930,54.339,0.006310
0.940,1458.930,0.005466
0.950,1846.303,0.010566
0.960,1397.140,0.006702
0.970,35.084,0.024583
0.980,34.737,0.018460
0.990,34.346,0.074165
1.000,34.448,0.210064
1.010,1859.306,0.009056
1.020,965.262,0.020144
1.030,163.788,0.031627
1.040,1871.444,0.040150
1.050,1400.567,0.018136
1.060,168.482,0.030593
1.070,170.629,0.041207
1.080,1845.478,0.003086
1.090,986.262,0.001402
1.100,986.582,0.005777
1.110,1091.584,0.009945
1.120,32.448,0.012772
1.130,32.244,0.052092
1.140,1146.658,0.024585
1.150,1874.364,0.033908
1.160,164.349,0.041914
1.170,160.075,0.105100
1.180,577.917,0.179080
1.190,587.431,0.063836
1.200,32.543,0.024557
1.210,113.497,0.011765
1.220,110.971,0.042200
1.230,1034.678,0.051633
1.240,352.290,0.020781
1.250,348.899,0.023307
1.260,1025.315,0.018589
1.270,140.639,0.048690
1.280,142.410,0.041536
1.290,152.007,0.059668
1.300,152.262,0.147153
1.310,154.048,0.188867
1.320,154.828,0.108817
1.330,32.570,0.092337
1.340,163.153,0.081592
1.350,163.882,0.122528
1.360,32.315,0.054865
1.370,32.500,0.014411
1.380,938.174,0.007619
1.390,137.526,0.044910
1.400,658.476,0.054151
1.410,657.546,0.060949
1.420,1231.353,0.015371
1.430,1225.721,0.011023
1.440,205.168,0.015702
1.450,51.364,0.052183
1.460,51.254,0.056206
1.470,50.888,0.570911
1.480,51.073,0.109806
1.490,32.285,0.037331
1.500,33.752,0.019218
1.510,1111.982,0.015939
1.520,1087.838,0.009815
1.530,1786.734,0.004424
1.540,978.588,0.003661
1.550,975.992,0.007390
1.560,1889.984,0.008063
1.570,990.777,0.010595
1.580,1913.904,0.024588
1.590,984.553,0.023802
1.600,33.905,0.052087
1.610,41.398,0.334057
1.620,41.635,0.133017
1.630,32.404,0.046262
1.640,380.485,0.016794
1.650,585.670,0.170554
1.660,218.682,0.341420
1.670,197.758,0.187772
1.680,32.825,0.131929
1.690,32.697,0.396103
1.700,32.834,0.388742
1.710,131.117,0.645861
1.720,131.134,0.835885
1.730,131.144,0.875867
1.740,131.279,0.897860
1.750,131.653,0.880960
1.760,131.713,0.793378
1.770,131.251,0.801516
1.780,131.286,0.776653
1.790,131.322,0.704577
1.800,131.125,0.610525
1.810,393.072,0.487189
1.820,392.922,0.356359
1.830,262.779,0.511344
1.840,262.221,0.468587
1.850,262.939,0.374893
1.860,393.984,0.429214
1.870,392.796,0.417605
1.880,391.750,0.785244
1.890,393.342,0.815464
1.900,392.723,0.843975
1.910,393.668,0.876231
1.920,393.080,0.865520
1.930,392.481,0.817266
1.940,393.512,0.821248
1.950,393.023,0.650764
1.960,393.470,0.506242
1.970,65.472,0.809850
1.980,65.365,0.655032
1.990,393.459,0.880665
2.000,392.445,0.831902
2.010,393.272,0.873514
2.020,393.051,0.683351
2.030,393.057,0.621148
2.040,65.203,0.429011
2.050,65.291,0.600763
2.060,65.195,0.605052
2.070,65.265,0.606539
2.080,65.247,0.491363
2.090,65.441,0.349782
2.100,65.318,0.416287
2.110,65.256,0.612026
2.120,393.281,0.509884
2.130,65.299,0.637364
2.140,65.259,0.625067
2.150,130.933,0.529073
2.160,130.778,0.521012
2.170,262.050,0.501871
2.180,261.822,0.479306
2.190,261.097,0.654266
2.200,261.133,0.681903
2.210,261.230,0.696244
2.220,261.127,0.633874
2.230,261.203,0.750758
2.240,261.707,0.730269
2.250,261.077,0.722892
2.260,261.610,0.686907
2.270,263.204,0.398559
2.280,65.158,0.384673
2.290,32.829,0.153924
2.300,270.400,0.136755
2.310,33.098,0.304136
2.320,42.141,0.044120
2.330,32.998,0.094353
2.340,33.176,0.120985
2.350,37.756,0.121362
2.360,262.806,0.442595
2.370,262.382,0.859151
2.380,262.353,0.819560
2.390,261.270,0.551529
2.400,261.284,0.635870
2.410,261.288,0.639311
2.420,261.840,0.747026
2.430,262.815,0.797744
2.440,262.440,0.798688
2.450,261.987,0.831027
2.460,261.351,0.819221
2.470,260.862,0.712619
2.480,394.251,0.711451
2.490,394.013,0.591895
2.500,394.139,0.673446
2.510,395.188,0.677346
2.520,394.971,0.753778
2.530,394.086,0.409651
2.540,65.190,0.372909
2.550,328.807,0.228953
2.560,328.446,0.342452
2.570,394.594,0.356658
2.580,65.366,0.326290
2.590,65.151,0.593405
2.600,322.155,0.375477
2.610,320.322,0.425516
2.620,319.060,0.252258
2.630,36.509,0.083872
2.640,268.177,0.196572
2.650,265.925,0.057172
2.660,331.978,0.243629
2.670,330.883,0.177232
2.680,330.363,0.336602
2.690,331.735,0.198112
2.700,331.685,0.319234
2.710,64.929,0.245982
2.720,329.440,0.340789
2.730,328.494,0.422076
2.740,329.868,0.609939
2.750,329.818,0.620629
2.760,328.527,0.280435
2.770,330.896,0.545505
2.780,220.024,0.314849
2.790,331.551,0.318215
2.800,329.784,0.359549
2.810,329.704,0.465083
2.820,222.842,0.395057
2.830,267.345,0.287867
2.840,266.885,0.268166
2.850,263.861,0.367624
2.860,265.930,0.349410
2.870,265.004,0.352000
2.880,261.578,0.192470
2.890,221.079,0.231155
2.900,262.475,0.323829
2.910,132.452,0.341972
2.920,220.970,0.312449
2.930,220.925,0.289314
2.940,220.079,0.437624
2.950,217.793,0.522084
2.960,219.998,0.564247
2.970,221.041,0.454495
2.980,264.117,0.391005
2.990,263.537,0.528242
3.000,262.796,0.436481
3.010,262.382,0.332514
3.020,264.729,0.225371
3.030,165.318,0.496403
3.040,263.398,0.310858
3.050,264.279,0.473021
3.060,263.587,0.594977
3.070,264.933,0.640582
3.080,266.388,0.723470
3.090,264.160,0.555625
3.100,260.958,0.383854
3.110,261.431,0.400209
3.120,262.715,0.460251
3.130,264.611,0.660193
3.140,265.866,0.680256
3.150,264.785,0.507647
3.160,260.232,0.251751
3.170,32.636,0.325986
3.180,32.770,0.472928
3.190,32.921,0.055657
3.200,43.949,0.054676
3.210,266.720,0.791080
3.220,265.876,0.828095
3.230,265.438,0.805369
3.240,264.803,0.771030
3.250,264.860,0.687989
3.260,264.929,0.284058
3.270,166.452,0.369835
3.280,262.247,0.552804
3.290,262.032,0.631048
3.300,262.804,0.407602
3.310,260.522,0.372935
3.320,259.235,0.145802
3.330,262.668,0.124482
3.340,32.796,0.074068
3.350,32.621,0.048314
3.360,55.154,0.397844
3.370,54.675,0.324715
3.380,54.529,0.762263
3.390,54.760,0.221637
3.400,54.664,0.306202
3.410,54.631,0.279457
3.420,54.988,0.656572
3.430,54.406,0.482272
3.440,54.608,0.428901
3.450,64.613,0.375050
3.460,33.006,0.230421
3.470,33.193,0.434602
3.480,333.790,0.328135
3.490,333.496,0.386877
3.500,331.412,0.223282
3.510,330.501,0.311181
3.520,265.631,0.253785
3.530,327.421,0.249525
3.540,262.357,0.309963
3.550,276.263,0.159825
3.560,1163.176,0.054869
3.570,1217.297,0.018743
3.580,1963.892,0.005879
3.590,1843.499,0.006906
3.600,32.221,0.002595
3.610,177.640,0.005778
3.620,86.070,0.017959
3.630,85.710,0.042703
3.640,429.095,0.053818
3.650,264.182,0.469805
3.660,264.207,0.713497
3.670,262.199,0.595427
3.680,261.189,0.349285
3.690,261.788,0.487203
3.700,32.745,0.219069
3.710,131.427,0.090241
3.720,51.997,0.209138
3.730,264.113,0.651941
3.740,261.421,0.714681
3.750,263.466,0.598746
3.760,265.433,0.639758
3.770,265.366,0.602603
3.780,265.366,0.474512
3.790,265.000,0.273867
3.800,264.683,0.238546
3.810,54.280,0.125128
3.820,53.865,0.125648
3.830,262.824,0.325424
3.840,222.411,0.365051
3.850,221.409,0.467895
3.860,43.818,0.250518
3.870,286.240,0.305365
3.880,282.872,0.424089
3.890,279.860,0.579800
3.900,278.619,0.759526
3.910,279.072,0.885188
3.920,280.772,0.916454
3.930,281.873,0.894717
3.940,281.686,0.889292
3.950,281.417,0.888650
3.960,280.736,0.874115
3.970,280.487,0.805322
3.980,281.171,0.821551
3.990,282.384,0.771133
4.000,281.250,0.665669
4.010,278.642,0.491206
4.020,275.006,0.197387
4.030,138.704,0.152152
4.040,138.559,0.145051
4.050,284.937,0.262703
4.060,56.134,0.138587
4.070,55.781,0.440565
4.080,223.584,0.129830
4.090,224.082,0.181398
4.100,32.374,0.104917
4.110,32.385,0.070657
