time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,672.905,0.070552
0.040,1034.827,0.014378
0.050,32.466,0.023398
0.060,32.297,0.060109
0.070,32.421,0.034703
0.080,32.518,0.027079
0.090,32.211,0.013897
0.100,1244.877,0.020001
0.110,1245.681,0.040576
0.120,1251.336,0.111106
0.130,61.889,0.251602
0.140,61.897,0.804967
0.150,61.958,0.851359
0.160,61.818,0.589833
0.170,61.883,0.522219
0.180,250.021,0.318247
0.190,183.444,0.181688
0.200,248.773,0.310525
0.210,247.487,0.527609
0.220,247.126,0.562406
0.230,248.585,0.559910
0.240,183.091,0.432639
0.250,184.247,0.572682
0.260,184.365,0.572295
0.270,185.043,0.455292
0.280,61.680,0.478490
0.290,61.794,0.469775
0.300,61.761,0.621466
0.310,184.566,0.493514
0.320,61.744,0.579438
0.330,61.747,0.644909
0.340,61.778,0.577098
0.350,61.712,0.816189
0.360,61.621,0.559569
0.370,61.709,0.595023
0.380,61.633,0.460436
0.390,61.762,0.547484
0.400,183.681,0.355271
0.410,61.703,0.631426
0.420,61.702,0.393463
0.430,61.688,0.824490
0.440,61.604,0.645636
0.450,61.646,0.691433
0.460,61.733,0.907048
0.470,61.831,0.885981
0.480,61.772,0.832104
0.490,184.225,0.576703
0.500,61.570,0.567232
0.510,61.538,0.396002
0.520,184.794,0.300233
0.530,121.327,0.159621
0.540,243.965,0.092332
0.550,120.946,0.086752
0.560,312.231,0.101595
0.570,311.330,0.284644
0.580,313.972,0.229064
0.590,315.197,0.129137
0.600,32.297,0.155705
0.610,32.116,0.050727
0.620,32.154,0.013519
0.630,32.184,0.018051
0.640,62.225,0.211426
0.650,61.807,0.592621
0.660,61.879,0.769395
0.670,61.727,0.932969
0.680,61.846,0.951792
0.690,61.691,0.954353
0.700,61.668,0.888684
0.710,61.720,0.890670
0.720,61.711,0.859537
0.730,61.784,0.890510
0.740,61.858,0.899503
0.750,61.915,0.942554
0.760,61.824,0.917404
0.770,61.840,0.954318
0.780,61.734,0.957498
0.790,61.670,0.949920
0.800,61.572,0.925894
0.810,61.589,0.811561
0.820,61.557,0.896236
0.830,61.801,0.890535
0.840,61.781,0.893816
0.850,61.675,0.938985
0.860,61.667,0.942924
0.870,61.659,0.950863
0.880,61.667,0.955056
0.890,61.748,0.954524
0.900,61.770,0.954455
0.910,61.658,0.768104
0.920,123.604,0.426204
0.930,123.114,0.574054
0.940,247.919,0.746379
0.950,248.324,0.846151
0.960,248.890,0.779250
0.970,249.296,0.657506
0.980,243.372,0.183887
0.990,323.880,0.117412
1.000,32.588,0.187123
1.010,41.007,0.214276
1.020,41.404,0.782603
1.030,41.407,0.892606
1.040,41.538,0.915828
1.050,41.647,0.838328
1.060,41.441,0.674898
1.070,32.834,0.095899
1.080,54.917,0.115287
1.090,666.361,0.031246
1.100,41.140,0.788110
1.110,41.138,0.823253
1.120,41.117,0.800885
1.130,41.025,0.771279
1.140,41.054,0.668585
1.150,41.264,0.737787
1.160,41.291,0.865009
1.170,41.353,0.821419
1.180,330.326,0.360913
1.190,331.249,0.481831
1.200,331.184,0.452608
1.210,330.285,0.230239
1.220,41.267,0.571211
1.230,41.333,0.609426
1.240,330.638,0.146085
1.250,41.478,0.100117
1.260,41.289,0.459649
1.270,41.120,0.781545
1.280,41.263,0.825940
1.290,41.123,0.843385
1.300,41.199,0.394569
1.310,41.047,0.353619
1.320,40.736,0.105784
1.330,41.132,0.619061
1.340,41.407,0.804374
1.350,41.263,0.783861
1.360,41.261,0.351949
1.370,41.313,0.480294
1.380,328.119,0.338369
1.390,36.422,0.187173
1.400,36.698,0.385464
1.410,54.697,0.107143
1.420,33.009,0.053751
1.430,33.430,0.209333
1.440,41.203,0.722037
1.450,41.363,0.823739
1.460,41.243,0.828391
1.470,41.243,0.796431
1.480,41.325,0.797774
1.490,41.309,0.717943
1.500,41.394,0.366263
1.510,41.342,0.426157
1.520,331.252,0.313229
1.530,47.734,0.089549
1.540,41.006,0.200224
1.550,41.476,0.699971
1.560,41.339,0.703386
1.570,41.162,0.784248
1.580,41.406,0.785343
1.590,41.279,0.886989
1.600,41.270,0.883288
1.610,41.217,0.772639
1.620,34.302,0.042449
1.630,54.781,0.020458
1.640,54.883,0.012899
1.650,1959.952,0.003326
1.660,32.262,0.431208
1.670,32.308,0.588856
1.680,32.295,0.421399
1.690,32.532,0.016683
1.700,43.754,0.011296
1.710,41.699,0.025669
1.720,84.776,0.054119
1.730,330.088,0.508437
1.740,330.168,0.575064
1.750,329.883,0.714638
1.760,331.463,0.757246
1.770,331.716,0.557526
1.780,329.824,0.329457
1.790,166.873,0.085699
1.800,34.181,0.026968
1.810,32.312,0.023555
1.820,38.329,0.005943
1.830,52.613,0.010718
1.840,1226.570,0.037233
1.850,36.252,0.058292
1.860,250.402,0.025619
1.870,41.223,0.175240
1.880,330.028,0.269267
1.890,82.443,0.138238
1.900,330.384,0.327872
1.910,329.651,0.168048
1.920,41.506,0.141190
1.930,41.418,0.187511
1.940,41.415,0.285204
1.950,41.377,0.247047
1.960,41.215,0.033982
1.970,250.939,0.018953
1.980,579.049,0.136104
1.990,590.080,0.101855
2.000,530.601,0.052480
2.010,244.149,0.058294
2.020,660.631,0.085774
2.030,986.446,0.129185
2.040,245.855,0.744820
2.050,247.213,0.695978
2.060,245.622,0.198768
2.070,244.760,0.125574
2.080,243.941,0.132370
2.090,241.354,0.374245
2.100,270.598,0.048831
2.110,33.319,0.016305
2.120,52.076,0.326518
2.130,51.897,0.273883
2.140,52.510,0.048852
2.150,81.976,0.210252
2.160,83.022,0.077621
2.170,1154.184,0.046450
2.180,1005.115,0.035396
2.190,163.503,0.335051
2.200,164.812,0.501859
2.210,164.978,0.446820
2.220,166.053,0.517231
2.230,83.882,0.264262
2.240,249.508,0.492203
2.250,249.167,0.505176
2.260,248.489,0.238300
2.270,246.608,0.080150
2.280,37.506,0.150981
2.290,35.417,0.027528
2.300,32.184,0.015395
2.310,122.983,0.027390
2.320,125.999,0.219995
2.330,125.175,0.618792
2.340,124.385,0.787338
2.350,124.179,0.780559
2.360,125.299,0.438967
2.370,127.897,0.258253
2.380,652.165,0.092354
2.390,656.765,0.110466
2.400,375.106,0.085201
2.410,123.261,0.080722
2.420,123.648,0.026209
2.430,32.368,0.005504
2.440,32.213,0.034128
2.450,55.455,0.021467
2.460,121.562,0.307619
2.470,122.536,0.717123
2.480,122.586,0.463995
2.490,253.563,0.149558
2.500,125.186,0.382775
2.510,124.023,0.460410
2.520,248.438,0.440792
2.530,248.260,0.204392
2.540,122.813,0.117414
2.550,122.323,0.408554
2.560,347.219,0.248512
2.570,32.182,0.103547
2.580,32.422,0.073409
2.590,37.174,0.303078
2.600,37.109,0.308613
2.610,41.095,0.590815
2.620,41.197,0.682155
2.630,40.967,0.399791
2.640,33.058,0.583825
2.650,32.894,0.381531
2.660,327.169,0.539780
2.670,328.899,0.889403
2.680,329.670,0.908789
2.690,331.019,0.828872
2.700,330.410,0.760998
2.710,329.934,0.686830
2.720,330.160,0.755430
2.730,329.892,0.712660
2.740,330.071,0.705713
2.750,329.741,0.808810
2.760,329.957,0.792237
2.770,82.486,0.595433
2.780,329.836,0.687482
2.790,329.965,0.796741
2.800,329.858,0.623596
2.810,330.558,0.786919
2.820,329.984,0.710176
2.830,330.114,0.805308
2.840,329.793,0.851559
2.850,329.327,0.872169
2.860,330.389,0.926673
2.870,330.650,0.887881
2.880,330.591,0.868643
2.890,330.124,0.894335
2.900,330.541,0.914364
2.910,330.053,0.861456
2.920,329.714,0.881860
2.930,329.358,0.875811
2.940,329.421,0.863686
2.950,329.781,0.917698
2.960,329.687,0.893018
2.970,329.320,0.908373
2.980,329.650,0.908560
2.990,329.693,0.879252
3.000,330.055,0.885572
3.010,329.755,0.889001
3.020,329.609,0.812275
3.030,326.120,0.631554
3.040,323.500,0.723093
3.050,322.863,0.501593
3.060,161.386,0.022342
3.070,33.002,0.059168
3.080,33.146,0.238744
3.090,32.755,0.085732
3.100,54.087,0.128142
3.110,109.007,0.145742
3.120,33.175,0.056083
3.130,331.601,0.102098
3.140,41.332,0.578535
3.150,41.332,0.776835
3.160,41.361,0.826595
3.170,41.340,0.126145
3.180,41.298,0.516305
3.190,41.304,0.443167
3.200,41.315,0.874811
3.210,41.259,0.552963
3.220,41.270,0.538608
3.230,327.427,0.059350
3.240,41.305,0.084922
3.250,41.377,0.210869
3.260,330.329,0.196409
3.270,41.474,0.503097
3.280,41.364,0.588935
3.290,41.325,0.793985
3.300,41.132,0.356903
3.310,41.314,0.453108
3.320,330.720,0.595416
3.330,331.051,0.881412
3.340,330.758,0.736032
3.350,82.540,0.683955
3.360,82.414,0.826622
3.370,82.378,0.660923
3.380,82.348,0.710332
3.390,329.252,0.569640
3.400,330.386,0.728491
3.410,331.926,0.900893
3.420,332.473,0.911500
3.430,332.051,0.871040
3.440,329.386,0.766822
3.450,327.116,0.673962
3.460,327.936,0.640005
3.470,330.266,0.501027
3.480,330.811,0.161390
3.490,331.689,0.139240
3.500,345.871,0.375841
3.510,368.926,0.254109
3.520,125.385,0.050379
3.530,40.332,0.117287
3.540,40.797,0.286377
3.550,41.009,0.154602
3.560,41.130,0.326157
3.570,40.680,0.515418
3.580,33.022,0.125199
3.590,33.450,0.301901
3.600,45.992,0.156045
3.610,371.876,0.495042
3.620,371.292,0.290924
3.630,372.062,0.536913
3.640,371.572,0.846868
3.650,371.339,0.870818
3.660,371.143,0.866917
3.670,371.456,0.910958
3.680,371.639,0.874663
3.690,371.251,0.834486
3.700,370.673,0.611935
3.710,371.162,0.711542
3.720,370.804,0.727225
3.730,371.125,0.423080
3.740,46.205,0.647671
3.750,46.078,0.663379
3.760,370.884,0.629493
3.770,370.362,0.765360
3.780,370.143,0.738598
3.790,369.360,0.315276
3.800,46.392,0.240967
3.810,32.969,0.295559
3.820,33.220,0.159743
3.830,34.115,0.071608
3.840,54.655,0.050548
3.850,54.555,0.053808
3.860,52.267,0.104297
3.870,54.655,0.173268
3.880,183.299,0.164644
3.890,32.228,0.112061
3.900,32.901,0.076830
3.910,33.437,0.063903
3.920,37.398,0.307403
3.930,37.792,0.165159
3.940,46.069,0.597314
3.950,182.898,0.321649
3.960,180.198,0.269642
3.970,129.623,0.044854
3.980,367.131,0.049773
3.990,123.890,0.165166
4.000,373.582,0.185643
4.010,374.125,0.427551
4.020,32.118,0.145504
4.030,46.618,0.069460
4.040,46.413,0.815864
4.050,46.324,0.901779
4.060,46.257,0.923959
4.070,46.177,0.933187
4.080,46.228,0.914859
4.090,46.030,0.814678
4.100,45.908,0.702520
4.110,290.023,0.143661
4.120,576.113,0.310881
4.130,92.951,0.137109
4.140,47.070,0.096672
4.150,581.210,0.452418
4.160,582.703,0.560867
4.170,1182.378,0.105511
