time,frequency,confidence
0.000,646.845,0.069161
0.010,647.738,0.097074
0.020,659.414,0.038269
0.030,662.225,0.057421
0.040,656.631,0.110692
0.050,645.339,0.127609
0.060,645.996,0.122493
0.070,650.287,0.109403
0.080,544.951,0.162222
0.090,32.643,0.130693
0.100,32.463,0.029547
0.110,32.355,0.208446
0.120,61.537,0.057997
0.130,55.129,0.033860
0.140,47.911,0.097527
0.150,47.899,0.157425
0.160,1975.980,0.025550
0.170,34.692,0.006029
0.180,202.141,0.051518
0.190,201.950,0.304123
0.200,200.715,0.403063
0.210,198.523,0.374434
0.220,197.402,0.553332
0.230,196.754,0.611808
0.240,194.437,0.416186
0.250,185.546,0.321221
0.260,662.468,0.114780
0.270,32.283,0.083231
0.280,32.633,0.090037
0.290,33.816,0.051943
0.300,54.754,0.022626
0.310,665.635,0.025719
0.320,1343.692,0.009609
0.330,104.853,0.177920
0.340,102.222,0.347550
0.350,100.402,0.421858
0.360,97.726,0.191143
0.370,95.697,0.295872
0.380,96.266,0.235239
0.390,579.106,0.185459
0.400,32.462,0.080153
0.410,32.606,0.181237
0.420,32.672,0.034540
0.430,43.989,0.031747
0.440,701.015,0.014317
0.450,100.142,0.103123
0.460,96.732,0.090318
0.470,47.212,0.070913
0.480,32.491,0.201489
0.490,32.643,0.345496
0.500,32.384,0.464222
0.510,32.293,0.559922
0.520,94.694,0.162431
0.530,46.516,0.204694
0.540,46.570,0.208270
0.550,189.493,0.032874
0.560,32.525,0.192191
0.570,32.617,0.122862
0.580,32.675,0.208673
0.590,990.980,0.030403
0.600,991.145,0.037069
0.610,987.356,0.070206
0.620,1970.367,0.237984
0.630,1965.761,0.043094
0.640,47.398,0.152240
0.650,32.731,0.140811
0.660,32.689,0.707795
0.670,269.496,0.150528
0.680,32.575,0.277959
0.690,32.683,0.051195
0.700,33.090,0.231451
0.710,44.645,0.005549
0.720,48.649,0.008317
0.730,494.311,0.049617
0.740,99.336,0.198451
0.750,99.519,0.178561
0.760,33.127,0.257061
0.770,49.102,0.070557
0.780,50.177,0.031596
0.790,45.552,0.073231
0.800,97.747,0.117679
0.810,99.284,0.118977
0.820,402.898,0.098183
0.830,52.969,0.102473
0.840,275.395,0.142218
0.850,224.018,0.106421
0.860,33.265,0.234812
0.870,33.231,0.103202
0.880,32.974,0.010634
0.890,1217.743,0.037636
0.900,1234.344,0.271597
0.910,1232.860,0.074180
0.920,1974.465,0.023919
0.930,32.949,0.331274
0.940,32.949,0.262442
0.950,33.084,0.245760
0.960,265.675,0.334614
0.970,65.601,0.310932
0.980,65.559,0.482169
0.990,264.857,0.491080
1.000,263.483,0.183661
1.010,264.860,0.149566
1.020,1233.545,0.024398
1.030,260.787,0.066391
1.040,262.529,0.083627
1.050,263.964,0.378805
1.060,265.747,0.683898
1.070,265.707,0.748958
1.080,262.956,0.690364
1.090,262.221,0.720184
1.100,263.483,0.878453
1.110,263.135,0.906674
1.120,266.099,0.798976
1.130,265.248,0.685792
1.140,33.199,0.158262
1.150,34.055,0.244292
1.160,33.336,0.029362
1.170,169.426,0.035715
1.180,1977.616,0.079238
1.190,294.315,0.269103
1.200,292.787,0.174979
1.210,293.021,0.580991
1.220,292.837,0.643822
1.230,291.127,0.672428
1.240,291.388,0.662419
1.250,292.163,0.540781
1.260,291.595,0.350665
1.270,32.646,0.216813
1.280,32.629,0.450751
1.290,33.460,0.045680
1.300,234.114,0.073446
1.310,117.697,0.186270
1.320,45.901,0.132677
1.330,46.588,0.455819
1.340,47.885,0.196807
1.350,34.736,0.158079
1.360,34.431,0.601240
1.370,34.085,0.066880
1.380,131.739,0.262206
1.390,133.056,0.277459
1.400,595.684,0.098193
1.410,32.985,0.084910
1.420,300.994,0.146756
1.430,329.763,0.156842
1.440,328.497,0.267805
1.450,329.882,0.207059
1.460,333.394,0.355182
1.470,330.431,0.285498
1.480,332.016,0.370654
1.490,331.450,0.634692
1.500,329.426,0.668212
1.510,328.737,0.548803
1.520,329.611,0.770952
1.530,330.454,0.628826
1.540,331.107,0.493463
1.550,268.503,0.144457
1.560,32.940,0.420894
1.570,33.048,0.206369
1.580,34.095,0.223603
1.590,35.207,0.037492
1.600,35.550,0.018487
1.610,395.530,0.016295
1.620,330.139,0.698441
1.630,332.127,0.744570
1.640,332.913,0.750228
1.650,331.673,0.665549
1.660,329.616,0.425594
1.670,65.413,0.492321
1.680,65.311,0.868490
1.690,65.278,0.869134
1.700,65.394,0.874052
1.710,65.414,0.719533
1.720,330.887,0.255417
1.730,331.095,0.321683
1.740,33.018,0.226327
1.750,33.124,0.264346
1.760,33.306,0.299497
1.770,33.199,0.078132
1.780,66.296,0.025486
1.790,133.878,0.045202
1.800,65.420,0.126882
1.810,130.822,0.247937
1.820,127.912,0.007307
1.830,111.446,0.153817
1.840,110.589,0.192026
1.850,331.372,0.343976
1.860,331.247,0.697300
1.870,328.301,0.659566
1.880,326.455,0.628632
1.890,296.350,0.376599
1.900,294.745,0.652481
1.910,296.074,0.700908
1.920,296.168,0.737954
1.930,295.272,0.734411
1.940,295.131,0.730171
1.950,294.928,0.740062
1.960,295.904,0.856174
1.970,295.668,0.865942
1.980,294.219,0.871234
1.990,295.031,0.742476
2.000,294.589,0.435789
2.010,294.067,0.444089
2.020,294.720,0.411322
2.030,298.818,0.370967
2.040,32.310,0.024724
2.050,32.216,0.026237
2.060,32.244,0.030392
2.070,32.194,0.020568
2.080,32.391,0.011786
2.090,1174.868,0.026262
2.100,894.125,0.090683
2.110,293.355,0.451644
2.120,293.964,0.732587
2.130,293.837,0.802818
2.140,294.642,0.851659
2.150,295.043,0.540222
2.160,32.596,0.088452
2.170,32.986,0.214241
2.180,32.700,0.194647
2.190,32.886,0.127874
2.200,33.075,0.009391
2.210,33.123,0.014987
2.220,402.773,0.023290
2.230,131.626,0.036193
2.240,130.817,0.083396
2.250,32.972,0.019696
2.260,32.978,0.036001
2.270,37.598,0.059012
2.280,37.194,0.128517
2.290,32.947,0.363185
2.300,32.782,0.377807
2.310,292.642,0.391192
2.320,293.770,0.479864
2.330,291.482,0.201304
2.340,290.032,0.067348
2.350,115.597,0.069837
2.360,115.331,0.029315
2.370,629.247,0.156924
2.380,617.068,0.237476
2.390,33.276,0.206011
2.400,32.849,0.135961
2.410,263.686,0.147602
2.420,37.500,0.107969
2.430,36.875,0.097574
2.440,35.788,0.091690
2.450,264.563,0.169554
2.460,32.970,0.436993
2.470,32.852,0.434271
2.480,661.877,0.129411
2.490,32.635,0.092494
2.500,32.599,0.026147
2.510,37.554,0.069206
2.520,41.940,0.008107
2.530,1974.772,0.007306
2.540,1978.677,0.018069
2.550,32.667,0.016576
2.560,32.835,0.015107
2.570,45.823,0.017754
2.580,408.869,0.081622
2.590,407.421,0.021706
2.600,33.022,0.046338
2.610,39.830,0.018029
2.620,255.286,0.042205
2.630,36.165,0.100154
2.640,35.542,0.065261
2.650,241.757,0.315925
2.660,218.771,0.124320
2.670,32.102,0.037235
2.680,35.050,0.125474
2.690,32.403,0.004510
2.700,994.398,0.001268
2.710,986.462,0.004682
2.720,1297.854,0.015896
2.730,1318.787,0.042660
2.740,50.710,0.188197
2.750,49.835,0.356707
2.760,48.844,0.048737
2.770,47.625,0.110804
2.780,46.648,0.146928
2.790,32.411,0.177961
2.800,44.466,0.099085
2.810,43.976,0.022593
2.820,534.684,0.023150
2.830,1969.957,0.031578
2.840,96.885,0.118562
2.850,49.267,0.382331
2.860,49.374,0.563253
2.870,49.304,0.431117
2.880,95.986,0.147347
2.890,94.590,0.112233
2.900,91.088,0.077700
2.910,32.111,0.065371
2.920,49.571,0.409730
2.930,49.462,0.890919
2.940,578.620,0.258959
2.950,269.195,0.251307
2.960,32.900,0.087156
2.970,33.358,0.295498
2.980,1977.980,0.037021
2.990,1977.892,0.052230
3.000,1970.197,0.095945
3.010,1973.921,0.041630
3.020,49.219,0.555443
3.030,49.222,0.477019
3.040,49.329,0.616585
3.050,49.102,0.793084
3.060,653.519,0.167448
3.070,676.669,0.310718
3.080,32.374,0.041637
3.090,32.553,0.128388
3.100,43.658,0.041030
