time,frequency,confidence
0.000,603.531,0.058639
0.010,656.835,0.087263
0.020,663.362,0.055221
0.030,587.405,0.138562
0.040,588.897,0.123290
0.050,596.712,0.110252
0.060,649.200,0.078958
0.070,598.887,0.084485
0.080,633.411,0.075255
0.090,646.480,0.086829
0.100,653.319,0.104927
0.110,660.040,0.039258
0.120,558.189,0.153666
0.130,577.668,0.129848
0.140,579.846,0.037853
0.150,32.300,0.010995
0.160,32.181,0.020096
0.170,1253.527,0.018123
0.180,1258.016,0.015802
0.190,1242.096,0.027230
0.200,994.370,0.058313
0.210,1030.171,0.033003
0.220,55.411,0.009954
0.230,1059.965,0.012742
0.240,156.318,0.276495
0.250,154.945,0.071006
0.260,1747.780,0.039926
0.270,878.652,0.031933
0.280,427.519,0.027590
0.290,423.119,0.056214
0.300,97.679,0.037453
0.310,82.020,0.034589
0.320,81.745,0.110101
0.330,194.877,0.030205
0.340,129.376,0.033321
0.350,50.258,0.414615
0.360,49.761,0.265578
0.370,32.409,0.039845
0.380,580.418,0.108794
0.390,579.528,0.082070
0.400,1150.885,0.034506
0.410,1153.972,0.015617
0.420,1970.357,0.015019
0.430,1020.465,0.014215
0.440,998.031,0.027461
0.450,32.153,0.055923
0.460,1962.109,0.008394
0.470,950.420,0.022885
0.480,638.691,0.026968
0.490,128.551,0.018513
0.500,251.352,0.083613
0.510,123.371,0.201778
0.520,241.730,0.116285
0.530,234.768,0.045682
0.540,32.125,0.088518
0.550,32.389,0.315103
0.560,32.184,0.042376
0.570,32.192,0.002719
0.580,964.541,0.005536
0.590,1024.475,0.022508
0.600,64.366,0.009333
0.610,62.173,0.084739
0.620,61.950,0.513715
0.630,32.620,0.038916
0.640,1164.797,0.059268
0.650,1188.791,0.021355
0.660,32.143,0.035586
0.670,33.295,0.016730
0.680,33.610,0.162979
0.690,33.293,0.117977
0.700,1970.545,0.014963
0.710,1043.118,0.006484
0.720,1048.058,0.021770
0.730,721.124,0.023663
0.740,714.808,0.107467
0.750,717.187,0.130394
0.760,736.555,0.222715
0.770,737.202,0.361349
0.780,739.880,0.541068
0.790,742.492,0.396777
0.800,742.893,0.121882
0.810,31.991,0.087205
0.820,31.978,0.084620
0.830,61.462,0.015514
0.840,303.894,0.063989
0.850,370.873,0.102282
0.860,745.955,0.274576
0.870,747.306,0.739466
0.880,731.052,0.171220
0.890,775.398,0.052770
0.900,124.335,0.029216
0.910,250.681,0.032730
0.920,32.364,0.008206
0.930,49.264,0.041294
0.940,48.767,0.253587
0.950,48.683,0.054262
0.960,1233.147,0.009104
0.970,982.502,0.011273
0.980,1973.287,0.037604
0.990,1971.949,0.026404
1.000,47.423,0.074624
1.010,91.028,0.028650
1.020,91.610,0.222026
1.030,240.894,0.055048
1.040,455.098,0.028922
1.050,37.888,0.044223
1.060,33.019,0.035183
1.070,33.071,0.007611
1.080,1313.071,0.005513
1.090,84.175,0.047569
1.100,93.898,0.139422
1.110,93.597,0.294992
1.120,93.641,0.639124
1.130,92.882,0.723102
1.140,91.200,0.164864
1.150,575.159,0.143849
1.160,114.638,0.087397
1.170,84.295,0.059199
1.180,83.853,0.194125
1.190,83.908,0.301993
1.200,83.598,0.121557
1.210,81.208,0.082791
1.220,700.493,0.068352
1.230,1242.288,0.011092
1.240,711.540,0.033238
1.250,1069.103,0.010566
1.260,229.942,0.047770
