time,frequency,confidence
0.000,603.530,0.058641
0.010,656.835,0.087265
0.020,663.363,0.055217
0.030,591.239,0.088630
0.040,1959.297,0.019387
0.050,1959.295,0.019301
0.060,1959.291,0.019289
0.070,1959.291,0.019289
0.080,1959.286,0.019291
0.090,1959.274,0.019320
0.100,1959.262,0.019367
0.110,1959.263,0.019423
0.120,1959.265,0.019460
0.130,1959.265,0.019554
0.140,1959.276,0.019559
0.150,555.423,0.250397
0.160,579.213,0.201769
0.170,46.840,0.075594
0.180,46.727,0.244795
0.190,45.734,0.164546
0.200,46.711,0.027891
0.210,47.140,0.013069
0.220,45.842,0.011064
0.230,42.416,0.012228
0.240,33.788,0.075234
0.250,32.827,0.039802
0.260,587.461,0.098572
0.270,597.157,0.069306
0.280,606.330,0.081180
0.290,624.461,0.079974
0.300,643.668,0.078894
0.310,644.933,0.135167
0.320,645.935,0.158589
0.330,591.110,0.078613
0.340,532.714,0.105500
0.350,1042.543,0.070600
0.360,443.183,0.112514
0.370,250.812,0.454935
0.380,249.213,0.548532
0.390,252.887,0.566993
0.400,256.428,0.669150
0.410,258.709,0.762651
0.420,260.140,0.762392
0.430,260.665,0.834153
0.440,260.647,0.871594
0.450,261.192,0.869268
0.460,261.210,0.857517
0.470,261.501,0.806008
0.480,261.279,0.834528
0.490,261.109,0.900098
0.500,261.095,0.910835
0.510,261.156,0.930438
0.520,261.442,0.946536
0.530,261.364,0.951213
0.540,261.364,0.943509
0.550,261.702,0.933367
0.560,261.695,0.916149
0.570,261.318,0.902913
0.580,261.132,0.934726
0.590,261.139,0.929895
0.600,260.312,0.855175
0.610,257.807,0.678306
0.620,256.681,0.546650
0.630,131.400,0.289632
0.640,130.855,0.770512
0.650,130.338,0.821019
0.660,130.249,0.865814
0.670,130.439,0.891287
0.680,130.612,0.912122
0.690,130.900,0.927813
0.700,130.885,0.928338
0.710,130.810,0.903626
0.720,130.500,0.853822
0.730,130.316,0.811311
0.740,130.181,0.711123
0.750,130.556,0.592960
0.760,261.313,0.767055
0.770,261.092,0.837834
0.780,260.485,0.850254
0.790,260.438,0.652052
0.800,260.504,0.699431
0.810,130.358,0.667764
0.820,260.330,0.810810
0.830,260.331,0.919808
0.840,260.607,0.927618
0.850,261.214,0.917221
0.860,261.273,0.891352
0.870,261.563,0.750997
0.880,130.888,0.652217
0.890,131.189,0.742340
0.900,131.109,0.839381
0.910,130.975,0.854024
0.920,130.979,0.889354
0.930,130.972,0.899839
0.940,130.930,0.905299
0.950,130.846,0.887416
0.960,130.800,0.853787
0.970,131.184,0.807517
0.980,263.000,0.605086
0.990,262.988,0.804653
1.000,261.228,0.850838
1.010,260.520,0.874887
1.020,260.526,0.773910
1.030,260.781,0.780502
1.040,261.123,0.839721
1.050,261.394,0.894429
1.060,261.556,0.917803
1.070,261.087,0.905040
1.080,260.700,0.902965
1.090,260.111,0.889586
1.100,260.569,0.709743
1.110,260.532,0.347745
1.120,260.841,0.541927
1.130,259.609,0.831335
1.140,260.057,0.911952
1.150,259.743,0.902547
1.160,260.175,0.832856
1.170,522.315,0.685353
1.180,523.521,0.802741
1.190,523.706,0.742282
1.200,261.398,0.712033
1.210,261.066,0.828898
1.220,261.304,0.888751
1.230,261.153,0.887882
1.240,261.358,0.919530
1.250,261.807,0.926768
1.260,261.152,0.900358
1.270,260.386,0.910244
1.280,260.239,0.931908
1.290,260.576,0.920644
1.300,260.786,0.891536
1.310,260.794,0.859254
1.320,261.212,0.825431
1.330,261.275,0.718732
1.340,261.316,0.487975
1.350,263.715,0.168255
1.360,262.219,0.282983
1.370,261.162,0.586618
1.380,260.705,0.794915
1.390,261.367,0.839516
1.400,261.275,0.894027
1.410,261.411,0.833942
1.420,261.528,0.781491
1.430,131.124,0.644202
1.440,130.829,0.744345
1.450,130.755,0.794642
1.460,130.849,0.833483
1.470,130.948,0.770898
1.480,261.436,0.729687
1.490,261.684,0.833997
1.500,261.443,0.659274
1.510,260.350,0.328301
1.520,85.466,0.159756
1.530,32.765,0.080050
1.540,1964.215,0.068633
1.550,660.839,0.173552
1.560,658.313,0.194295
1.570,262.472,0.355339
1.580,131.189,0.593356
1.590,264.328,0.225063
1.600,32.882,0.411087
1.610,34.243,0.164482
1.620,40.335,0.335588
1.630,40.667,0.074429
1.640,1974.068,0.019051
1.650,652.765,0.055681
1.660,661.641,0.017794
1.670,686.037,0.006442
1.680,1171.935,0.043715
1.690,1174.776,0.044634
1.700,1174.218,0.080944
1.710,1176.242,0.092124
1.720,1178.809,0.084143
1.730,1180.608,0.065205
1.740,1181.225,0.030980
1.750,1180.952,0.023949
1.760,665.221,0.011837
1.770,1846.063,0.018377
1.780,264.086,0.054344
1.790,262.474,0.256532
1.800,261.770,0.199101
1.810,262.497,0.299396
1.820,265.259,0.149333
1.830,264.918,0.121054
1.840,1939.213,0.034882
1.850,1290.163,0.017360
1.860,292.455,0.223521
1.870,131.308,0.365543
1.880,131.210,0.597158
1.890,131.774,0.530256
1.900,132.145,0.575667
1.910,263.586,0.439441
1.920,264.428,0.537054
1.930,264.898,0.452138
1.940,263.205,0.509308
1.950,131.132,0.784213
1.960,131.481,0.463000
1.970,132.580,0.082972
1.980,33.936,0.119311
1.990,45.767,0.114646
2.000,45.052,0.039377
2.010,1189.471,0.058367
2.020,497.678,0.209322
2.030,495.164,0.219335
2.040,664.884,0.045273
2.050,259.424,0.193170
2.060,260.556,0.407208
2.070,266.011,0.349366
2.080,161.353,0.089216
2.090,33.469,0.238025
2.100,32.924,0.179232
2.110,164.971,0.091426
2.120,919.072,0.189986
2.130,131.268,0.614182
2.140,131.227,0.937442
2.150,130.893,0.909181
2.160,261.404,0.725131
2.170,261.746,0.854621
2.180,262.632,0.898461
2.190,263.043,0.798669
2.200,264.360,0.673320
2.210,264.169,0.382750
2.220,132.454,0.102959
2.230,32.834,0.230467
2.240,32.532,0.090544
2.250,395.122,0.172973
2.260,394.444,0.561931
2.270,130.848,0.597415
2.280,130.434,0.673903
2.290,130.804,0.743521
2.300,130.453,0.682712
2.310,392.297,0.849700
2.320,390.303,0.788922
2.330,390.440,0.522164
2.340,198.929,0.223330
2.350,200.967,0.189533
2.360,256.564,0.472121
2.370,258.991,0.682132
2.380,259.401,0.689685
2.390,260.431,0.818876
2.400,260.740,0.894155
2.410,260.722,0.896385
2.420,259.939,0.902180
2.430,260.096,0.870645
2.440,260.198,0.897293
2.450,260.687,0.889215
2.460,261.547,0.913607
2.470,260.988,0.919063
2.480,260.955,0.916253
2.490,260.709,0.901739
2.500,260.503,0.901047
2.510,260.374,0.901078
2.520,260.442,0.859291
2.530,260.921,0.794262
2.540,261.100,0.713928
2.550,260.029,0.633836
2.560,260.380,0.410652
2.570,266.709,0.155209
2.580,134.616,0.092168
2.590,223.658,0.131486
2.600,262.793,0.139158
2.610,261.697,0.539892
2.620,261.318,0.858583
2.630,260.897,0.859887
2.640,260.570,0.898662
2.650,260.986,0.902899
2.660,260.692,0.899643
2.670,260.507,0.889153
2.680,261.465,0.860731
2.690,261.474,0.734150
2.700,261.579,0.119794
2.710,43.361,0.119323
2.720,51.661,0.238509
2.730,261.108,0.591557
2.740,259.647,0.813471
2.750,259.349,0.813579
2.760,259.592,0.882921
2.770,260.275,0.902468
2.780,260.761,0.903640
2.790,260.956,0.897076
2.800,260.719,0.893832
2.810,260.083,0.880337
2.820,259.936,0.742202
2.830,261.968,0.210389
2.840,697.654,0.524716
2.850,694.710,0.698082
2.860,694.636,0.747219
2.870,695.089,0.765245
2.880,695.966,0.807749
2.890,696.776,0.812117
2.900,696.385,0.831445
2.910,694.741,0.760845
2.920,695.749,0.726143
2.930,696.375,0.512833
2.940,258.427,0.446878
2.950,258.201,0.508775
2.960,259.229,0.473881
2.970,259.972,0.666428
2.980,260.681,0.846053
2.990,261.625,0.909423
3.000,262.082,0.942310
3.010,261.847,0.946737
3.020,261.773,0.930540
3.030,261.694,0.921950
3.040,261.387,0.876723
3.050,261.805,0.805771
3.060,262.200,0.668874
3.070,257.025,0.392732
3.080,256.643,0.637703
3.090,258.335,0.823511
3.100,259.602,0.874148
3.110,260.746,0.879423
3.120,261.324,0.901183
3.130,261.658,0.936562
3.140,261.652,0.944520
3.150,261.119,0.923935
3.160,260.566,0.911154
3.170,260.608,0.900344
3.180,260.954,0.901412
3.190,261.267,0.922739
3.200,261.703,0.942758
3.210,261.397,0.941115
3.220,261.313,0.940412
3.230,261.791,0.917800
3.240,262.791,0.846220
3.250,263.672,0.775418
3.260,263.389,0.704695
3.270,260.514,0.497530
3.280,258.967,0.554013
3.290,265.051,0.466151
3.300,263.734,0.296200
3.310,84.782,0.369695
3.320,33.213,0.092647
3.330,44.539,0.148203
3.340,54.475,0.068445
3.350,198.765,0.206232
3.360,202.149,0.202728
3.370,624.502,0.227313
3.380,649.539,0.363155
3.390,326.425,0.460768
3.400,327.710,0.763195
3.410,328.182,0.849991
3.420,329.540,0.910307
3.430,329.914,0.936257
3.440,329.319,0.874761
3.450,328.169,0.726458
3.460,329.619,0.483197
3.470,33.503,0.118030
3.480,33.681,0.082384
3.490,407.358,0.016652
3.500,139.033,0.021579
3.510,983.815,0.060325
3.520,660.725,0.356366
3.530,661.740,0.559071
3.540,35.542,0.259660
3.550,35.321,0.749647
3.560,34.579,0.158908
3.570,931.825,0.025418
3.580,898.427,0.037924
3.590,984.001,0.040750
3.600,655.213,0.056903
3.610,658.698,0.079266
3.620,789.276,0.028425
3.630,32.938,0.128612
3.640,196.907,0.093820
3.650,196.387,0.302998
3.660,195.643,0.676649
3.670,196.640,0.231312
3.680,676.500,0.109755
3.690,674.712,0.051650
3.700,32.376,0.055890
3.710,32.435,0.019826
3.720,197.508,0.018765
3.730,195.974,0.781206
3.740,196.209,0.896082
3.750,196.065,0.922487
3.760,195.944,0.886119
3.770,196.377,0.575287
3.780,184.198,0.089229
3.790,35.275,0.017822
3.800,32.273,0.006620
3.810,396.975,0.030347
3.820,393.040,0.209022
3.830,393.338,0.361006
3.840,391.854,0.426824
3.850,393.003,0.301722
3.860,392.146,0.452961
3.870,194.268,0.257212
3.880,175.529,0.298192
3.890,194.375,0.373418
3.900,193.006,0.217304
