time,frequency,confidence
0.000,603.548,0.059097
0.010,657.836,0.091154
0.020,664.464,0.040829
0.030,678.187,0.218399
0.040,43.220,0.823690
0.050,43.237,0.816542
0.060,43.088,0.816451
0.070,43.112,0.794315
0.080,43.253,0.835673
0.090,43.220,0.837225
0.100,43.096,0.820934
0.110,43.141,0.809757
0.120,43.198,0.801633
0.130,43.021,0.797898
0.140,43.133,0.782379
0.150,43.235,0.790850
0.160,43.052,0.760194
0.170,43.701,0.650015
0.180,43.843,0.483682
0.190,42.878,0.155516
0.200,1182.579,0.050937
0.210,32.214,0.027511
0.220,32.095,0.042135
0.230,32.114,0.075128
0.240,1036.560,0.008567
0.250,660.540,0.060702
0.260,657.821,0.129734
0.270,662.276,0.055355
0.280,270.205,0.361817
0.290,237.195,0.466539
0.300,234.161,0.571086
0.310,233.917,0.759317
0.320,233.457,0.868829
0.330,233.108,0.916079
0.340,232.914,0.927270
0.350,232.784,0.929671
0.360,232.891,0.930802
0.370,233.138,0.935900
0.380,233.265,0.939823
0.390,233.571,0.937481
0.400,233.572,0.945842
0.410,233.375,0.947442
0.420,233.165,0.945361
0.430,233.149,0.942739
0.440,233.074,0.936369
0.450,232.973,0.936795
0.460,234.391,0.922770
0.470,238.621,0.399962
0.480,259.524,0.710637
0.490,259.829,0.896184
0.500,260.090,0.935352
0.510,260.499,0.935124
0.520,259.877,0.940754
0.530,260.234,0.921882
0.540,261.026,0.899328
0.550,261.378,0.900804
0.560,261.555,0.901201
0.570,261.266,0.914155
0.580,260.401,0.928972
0.590,260.391,0.925577
0.600,261.344,0.892615
0.610,262.361,0.642273
0.620,308.505,0.444825
0.630,308.762,0.774165
0.640,309.855,0.920187
0.650,309.907,0.948034
0.660,310.143,0.942647
0.670,310.166,0.951974
0.680,310.441,0.949033
0.690,310.425,0.948556
0.700,310.039,0.957150
0.710,310.142,0.953040
0.720,310.006,0.959452
0.730,310.200,0.953301
0.740,310.062,0.951861
0.750,311.706,0.944246
0.760,311.350,0.868026
0.770,311.070,0.717780
0.780,344.880,0.610426
0.790,347.152,0.788234
0.800,347.250,0.939417
0.810,346.649,0.930714
0.820,347.682,0.937531
0.830,347.529,0.946350
0.840,346.514,0.921770
0.850,345.740,0.919247
0.860,344.068,0.886014
0.870,345.083,0.886920
