time,frequency,confidence
0.000,646.917,0.068562
0.010,647.779,0.094720
0.020,659.773,0.031414
0.030,662.826,0.058627
0.040,657.794,0.080667
0.050,558.044,0.019508
0.060,358.224,0.151551
0.070,440.995,0.414470
0.080,436.999,0.729494
0.090,438.988,0.799828
0.100,439.043,0.816199
0.110,437.190,0.881864
0.120,437.083,0.890859
0.130,437.654,0.859670
0.140,438.183,0.784736
0.150,438.229,0.708824
0.160,439.085,0.719149
0.170,440.357,0.729160
0.180,440.889,0.756735
0.190,440.343,0.779988
0.200,440.162,0.780745
0.210,439.402,0.768830
0.220,438.998,0.746885
0.230,440.486,0.754180
0.240,438.688,0.834732
0.250,439.318,0.847021
0.260,440.630,0.881428
0.270,440.701,0.915503
0.280,441.459,0.907437
0.290,440.436,0.870130
0.300,440.060,0.753558
0.310,440.256,0.826165
0.320,581.053,0.286116
0.330,874.633,0.267081
0.340,875.919,0.637350
0.350,873.199,0.681913
0.360,873.434,0.803202
0.370,874.604,0.892217
0.380,874.843,0.827915
0.390,875.093,0.741312
0.400,874.212,0.706824
0.410,875.998,0.744788
0.420,878.262,0.816123
0.430,880.412,0.666430
0.440,441.757,0.647283
0.450,441.614,0.776150
0.460,441.218,0.777163
0.470,440.966,0.626944
0.480,876.868,0.772417
0.490,876.826,0.885443
0.500,876.437,0.923079
0.510,876.798,0.937181
0.520,877.135,0.935660
0.530,878.302,0.930945
0.540,878.420,0.900488
0.550,880.041,0.938652
0.560,881.004,0.925779
0.570,881.179,0.909412
0.580,879.652,0.800575
0.590,881.900,0.726906
0.600,881.486,0.386721
0.610,881.134,0.366417
0.620,1771.246,0.136945
0.630,32.637,0.120949
0.640,32.726,0.070347
0.650,1777.604,0.040113
0.660,1779.416,0.018917
0.670,525.202,0.026444
0.680,528.139,0.027430
0.690,533.824,0.012575
0.700,438.900,0.244567
0.710,439.224,0.466434
0.720,440.015,0.220036
0.730,338.094,0.175670
0.740,341.640,0.318983
0.750,334.466,0.389475
0.760,332.929,0.473659
0.770,659.132,0.612046
0.780,659.932,0.768316
0.790,660.254,0.930051
0.800,659.745,0.945005
0.810,659.261,0.948157
0.820,659.545,0.918997
0.830,659.521,0.871642
0.840,659.181,0.861506
0.850,660.304,0.139450
0.860,1309.130,0.355598
0.870,1310.659,0.535218
0.880,1315.390,0.683396
0.890,1316.834,0.690835
0.900,1314.837,0.597190
0.910,1311.114,0.667707
0.920,1317.660,0.635573
0.930,657.826,0.672859
0.940,660.060,0.851994
0.950,661.983,0.869966
0.960,660.573,0.891107
0.970,660.181,0.891961
0.980,660.850,0.907891
0.990,661.271,0.912520
1.000,659.526,0.904215
1.010,658.217,0.857569
1.020,662.051,0.844508
1.030,655.856,0.369987
1.040,657.501,0.475951
1.050,440.083,0.355539
1.060,659.947,0.556189
1.070,660.743,0.868416
1.080,660.053,0.927262
1.090,661.279,0.931009
1.100,660.601,0.457968
1.110,552.455,0.204823
1.120,551.225,0.290655
1.130,549.700,0.574026
1.140,550.561,0.644983
1.150,552.090,0.810367
1.160,553.576,0.867001
1.170,554.344,0.907929
1.180,554.351,0.912780
1.190,554.401,0.909642
1.200,554.530,0.906133
1.210,554.031,0.872260
1.220,552.907,0.864820
1.230,552.725,0.828850
1.240,553.021,0.802133
1.250,552.162,0.803890
1.260,551.267,0.679256
1.270,558.318,0.493582
1.280,578.955,0.083064
1.290,1122.310,0.213920
1.300,1116.588,0.245806
1.310,1113.276,0.282373
1.320,1112.045,0.163252
1.330,1121.180,0.085982
1.340,588.006,0.024465
1.350,656.849,0.035811
1.360,555.125,0.305851
1.370,556.197,0.268445
1.380,553.775,0.385368
1.390,548.322,0.610123
1.400,546.396,0.780288
1.410,547.440,0.840580
1.420,548.565,0.893430
1.430,549.865,0.922200
1.440,551.520,0.921836
1.450,552.336,0.924763
1.460,552.953,0.913235
1.470,553.486,0.916638
1.480,553.502,0.921270
1.490,553.856,0.907159
1.500,554.351,0.859495
1.510,555.954,0.815215
1.520,556.811,0.641244
1.530,555.093,0.772485
1.540,553.361,0.830446
1.550,552.896,0.843128
1.560,553.274,0.858468
1.570,555.173,0.904976
1.580,555.967,0.928373
1.590,556.003,0.931791
1.600,555.587,0.922821
1.610,554.663,0.880024
1.620,554.159,0.809883
1.630,555.945,0.487046
1.640,1118.121,0.080042
1.650,101.005,0.049554
1.660,34.024,0.234912
1.670,33.952,0.296173
1.680,324.830,0.077032
1.690,326.856,0.136396
1.700,659.053,0.136139
1.710,1969.308,0.203538
1.720,1966.030,0.203147
1.730,1936.371,0.045499
1.740,1031.366,0.026133
1.750,585.277,0.278332
1.760,581.164,0.275033
1.770,873.865,0.558694
1.780,868.978,0.663879
1.790,433.543,0.732432
1.800,434.255,0.844894
1.810,435.880,0.858378
1.820,436.704,0.815718
1.830,436.877,0.825511
1.840,437.811,0.840348
1.850,438.457,0.861304
1.860,439.265,0.893471
1.870,439.170,0.895757
1.880,439.289,0.866791
1.890,440.496,0.863223
1.900,441.160,0.827859
1.910,440.655,0.633882
1.920,872.856,0.715760
1.930,870.942,0.832820
1.940,875.815,0.781178
1.950,877.148,0.713686
1.960,877.416,0.527143
1.970,1757.232,0.671319
1.980,1758.788,0.655728
1.990,1757.024,0.497446
2.000,1757.522,0.407840
2.010,440.967,0.359448
2.020,440.020,0.306579
2.030,878.092,0.646728
2.040,439.929,0.365999
2.050,438.344,0.135865
2.060,870.622,0.107952
2.070,435.096,0.535726
2.080,437.481,0.422730
2.090,875.152,0.022286
2.100,440.135,0.153759
2.110,440.234,0.466455
2.120,442.083,0.646413
2.130,443.741,0.410038
2.140,547.221,0.157268
2.150,586.239,0.305540
2.160,877.859,0.301571
2.170,874.585,0.450142
2.180,874.490,0.668679
2.190,877.033,0.829164
2.200,878.397,0.802171
2.210,878.522,0.702594
2.220,881.016,0.820850
2.230,882.280,0.806599
2.240,881.437,0.801061
2.250,880.344,0.829716
2.260,880.120,0.833857
2.270,879.994,0.725297
2.280,1760.903,0.544429
2.290,440.668,0.219523
2.300,438.000,0.112144
2.310,536.954,0.020930
2.320,881.541,0.315936
2.330,882.829,0.275334
2.340,885.855,0.461371
2.350,441.348,0.266426
2.360,441.530,0.404923
2.370,442.064,0.401011
2.380,441.102,0.399256
2.390,547.411,0.173506
2.400,875.834,0.372926
2.410,879.494,0.560237
2.420,872.122,0.694310
2.430,871.995,0.878679
2.440,873.205,0.909953
2.450,876.118,0.914258
2.460,878.511,0.927363
2.470,879.281,0.928923
2.480,879.162,0.916949
2.490,879.682,0.867114
2.500,881.161,0.894218
2.510,880.960,0.803301
2.520,880.802,0.851856
2.530,879.567,0.907458
2.540,879.140,0.732196
2.550,876.043,0.705167
2.560,875.755,0.882664
2.570,873.356,0.905700
2.580,873.368,0.874224
2.590,875.342,0.901493
2.600,878.370,0.873327
2.610,877.906,0.831177
2.620,879.359,0.937047
2.630,882.093,0.949445
2.640,883.065,0.926088
2.650,880.992,0.885511
2.660,880.005,0.646269
2.670,886.944,0.192591
2.680,593.310,0.245473
2.690,591.155,0.191889
2.700,75.168,0.051197
2.710,72.281,0.069284
2.720,1774.731,0.034686
2.730,1975.290,0.090683
2.740,1955.048,0.041413
2.750,494.344,0.067482
2.760,1181.091,0.033618
2.770,590.400,0.084966
2.780,655.208,0.154681
2.790,697.161,0.302179
2.800,653.697,0.373396
2.810,660.076,0.866217
2.820,660.702,0.913532
2.830,659.305,0.928896
2.840,657.884,0.920214
2.850,657.290,0.922639
2.860,658.265,0.923225
2.870,659.533,0.793466
2.880,658.371,0.702380
2.890,656.645,0.520145
2.900,665.736,0.289110
2.910,663.701,0.119356
2.920,560.408,0.146926
2.930,1145.577,0.056989
2.940,1316.016,0.025225
2.950,1316.655,0.032959
2.960,1314.800,0.030530
2.970,1305.754,0.063618
2.980,1308.486,0.127928
2.990,660.392,0.236265
3.000,1313.312,0.327437
3.010,656.427,0.352697
3.020,655.884,0.549551
3.030,656.126,0.646451
3.040,657.270,0.777765
3.050,658.911,0.879892
3.060,659.522,0.892085
3.070,660.063,0.875198
3.080,662.852,0.731968
3.090,663.706,0.455021
3.100,1312.456,0.069072
3.110,1317.850,0.245946
3.120,1316.184,0.236935
3.130,1313.018,0.329470
3.140,658.883,0.663427
3.150,659.175,0.557319
3.160,660.224,0.386890
3.170,441.117,0.152597
3.180,145.138,0.319457
3.190,441.613,0.549055
3.200,545.501,0.247741
3.210,548.143,0.434636
3.220,548.485,0.775397
3.230,550.774,0.884130
3.240,552.114,0.833735
3.250,553.628,0.745885
3.260,554.709,0.707017
3.270,555.511,0.693445
3.280,556.226,0.785464
3.290,556.732,0.802816
3.300,555.955,0.700979
3.310,555.725,0.564476
3.320,553.678,0.472368
3.330,554.052,0.192950
3.340,587.427,0.074539
3.350,597.841,0.074137
3.360,592.920,0.034439
3.370,1968.669,0.009648
3.380,1228.145,0.016386
3.390,1894.449,0.028452
3.400,1197.628,0.021437
3.410,1179.210,0.040224
3.420,1159.720,0.031994
3.430,559.959,0.302211
3.440,555.575,0.278051
3.450,551.555,0.215640
3.460,545.508,0.398057
3.470,545.890,0.613771
3.480,547.795,0.729094
3.490,550.002,0.830415
3.500,551.484,0.839364
3.510,553.807,0.790081
3.520,552.066,0.537337
3.530,1109.460,0.339534
3.540,1109.127,0.440488
3.550,552.178,0.392288
3.560,553.164,0.276983
3.570,553.144,0.447088
3.580,549.913,0.627213
3.590,545.508,0.656236
3.600,544.404,0.826305
3.610,548.656,0.808281
3.620,552.367,0.825731
3.630,553.805,0.855497
3.640,554.106,0.877067
3.650,555.958,0.927528
3.660,555.949,0.947532
3.670,553.995,0.928925
3.680,552.845,0.890661
3.690,552.788,0.833566
3.700,554.417,0.585037
3.710,575.223,0.126832
3.720,110.295,0.107454
3.730,34.698,0.199684
3.740,107.693,0.155547
