time,frequency,confidence
0.000,603.383,0.062744
0.010,656.347,0.085057
0.020,661.791,0.084171
0.030,673.829,0.095216
0.040,358.324,0.410775
0.050,365.264,0.614804
0.060,369.055,0.671587
0.070,370.886,0.686972
0.080,371.254,0.841744
0.090,371.520,0.832220
0.100,370.861,0.839794
0.110,370.124,0.859421
0.120,370.078,0.837181
0.130,369.262,0.855936
0.140,369.166,0.821361
0.150,370.118,0.847731
0.160,370.418,0.717992
0.170,370.041,0.779067
0.180,370.268,0.848221
0.190,370.841,0.894638
0.200,370.872,0.897414
0.210,370.969,0.881684
0.220,370.912,0.905402
0.230,370.825,0.905479
0.240,370.774,0.904820
0.250,370.955,0.915735
0.260,371.224,0.920574
0.270,371.428,0.922692
0.280,371.199,0.926824
0.290,370.858,0.913095
0.300,371.479,0.912357
0.310,371.586,0.912846
0.320,371.391,0.928095
0.330,371.056,0.932671
0.340,371.498,0.930664
0.350,371.497,0.925283
0.360,370.792,0.920872
0.370,369.894,0.906909
0.380,369.555,0.879960
0.390,368.155,0.840674
0.400,367.067,0.730828
0.410,369.422,0.751635
0.420,372.450,0.776485
0.430,373.699,0.537004
0.440,376.753,0.316178
0.450,364.890,0.288955
0.460,361.626,0.135195
0.470,35.119,0.035906
0.480,242.603,0.045479
0.490,40.291,0.037524
0.500,488.680,0.129270
0.510,489.694,0.177990
0.520,491.561,0.299817
0.530,491.792,0.627482
0.540,491.723,0.671891
0.550,492.328,0.785398
0.560,492.335,0.683432
0.570,493.245,0.736834
0.580,493.997,0.797811
0.590,494.083,0.831903
0.600,493.162,0.837727
0.610,493.547,0.857174
0.620,493.816,0.888087
0.630,493.919,0.875935
0.640,494.279,0.870020
0.650,494.218,0.892101
0.660,494.075,0.912016
0.670,493.766,0.908362
0.680,494.570,0.917721
0.690,494.201,0.917637
0.700,494.157,0.918387
0.710,494.007,0.915761
0.720,494.037,0.913423
0.730,494.405,0.919173
0.740,494.674,0.902396
0.750,494.489,0.704652
0.760,492.787,0.247135
0.770,122.937,0.382843
0.780,123.279,0.502639
0.790,123.487,0.837493
0.800,123.484,0.879462
0.810,123.388,0.867329
0.820,123.237,0.877436
0.830,123.362,0.875994
0.840,123.224,0.877579
0.850,123.138,0.854400
0.860,123.152,0.887192
0.870,123.134,0.846725
0.880,123.058,0.708696
0.890,368.480,0.251224
0.900,366.018,0.104672
0.910,32.883,0.086971
0.920,321.549,0.074133
0.930,156.890,0.540108
0.940,157.134,0.314036
0.950,156.689,0.411691
0.960,156.143,0.344557
0.970,312.609,0.360486
0.980,310.605,0.232762
0.990,76.180,0.163457
1.000,373.515,0.086374
1.010,371.733,0.342734
1.020,371.422,0.194125
1.030,61.912,0.123935
1.040,61.718,0.582646
1.050,61.582,0.761404
1.060,61.575,0.892832
1.070,61.644,0.722071
1.080,61.309,0.603322
1.090,61.147,0.124970
1.100,61.939,0.070341
1.110,365.497,0.070646
1.120,62.106,0.224731
1.130,61.771,0.378701
1.140,61.735,0.055972
1.150,241.254,0.051002
1.160,322.365,0.022892
1.170,324.895,0.153345
1.180,325.330,0.186349
1.190,163.077,0.163877
1.200,164.641,0.373256
1.210,165.081,0.514369
1.220,165.821,0.752746
1.230,166.073,0.712123
1.240,165.494,0.595181
1.250,82.510,0.487216
1.260,164.444,0.485292
1.270,164.124,0.507436
1.280,163.887,0.593603
1.290,163.821,0.511633
1.300,164.471,0.372328
1.310,164.934,0.626835
1.320,165.295,0.696639
1.330,164.056,0.677845
1.340,162.549,0.797322
1.350,162.878,0.838803
1.360,163.600,0.850689
1.370,164.898,0.832729
1.380,165.798,0.787142
1.390,165.530,0.838514
1.400,164.853,0.855702
1.410,164.861,0.853279
1.420,163.375,0.734221
1.430,161.300,0.169265
1.440,164.340,0.013250
1.450,32.391,0.007000
1.460,44.708,0.015151
1.470,44.941,0.005076
1.480,83.528,0.032117
1.490,413.628,0.157218
1.500,413.769,0.159687
1.510,411.612,0.420229
1.520,411.235,0.435579
1.530,83.084,0.245176
1.540,82.945,0.242055
