time,frequency,confidence
0.000,656.951,0.069230
0.010,658.021,0.110941
0.020,659.586,0.069233
0.030,672.190,0.083194
0.040,664.588,0.077444
0.050,584.447,0.076640
0.060,596.069,0.058562
0.070,657.122,0.087780
0.080,658.938,0.098748
0.090,659.985,0.047828
0.100,32.603,0.039512
0.110,277.850,0.213870
0.120,271.001,0.549737
0.130,263.322,0.597784
0.140,263.276,0.768837
0.150,263.352,0.878849
0.160,262.739,0.924935
0.170,262.231,0.919104
0.180,261.995,0.901653
0.190,261.784,0.879077
0.200,262.062,0.887264
0.210,261.712,0.905619
0.220,261.346,0.901152
0.230,262.298,0.882869
0.240,262.707,0.714280
0.250,262.282,0.530992
0.260,263.988,0.492211
0.270,266.591,0.495526
0.280,265.482,0.516481
0.290,264.613,0.371947
0.300,65.070,0.693573
0.310,65.189,0.445539
0.320,329.436,0.169134
0.330,329.912,0.309925
0.340,330.505,0.243762
0.350,331.874,0.214909
0.360,331.622,0.239133
0.370,65.204,0.446486
0.380,65.384,0.363271
0.390,65.345,0.890934
0.400,65.540,0.885578
0.410,65.540,0.839594
0.420,65.358,0.742948
0.430,130.944,0.526555
0.440,130.845,0.621961
0.450,65.334,0.450172
0.460,65.403,0.801201
0.470,65.458,0.790915
0.480,65.158,0.772544
0.490,65.022,0.380610
0.500,325.047,0.165433
0.510,291.306,0.121818
0.520,330.917,0.104296
0.530,283.494,0.174108
0.540,263.171,0.091799
0.550,32.857,0.027957
0.560,33.226,0.174418
0.570,32.871,0.148441
0.580,54.249,0.133706
0.590,54.522,0.082566
0.600,479.560,0.070702
0.610,32.484,0.499541
0.620,195.705,0.111237
0.630,32.966,0.127400
0.640,33.079,0.180953
0.650,32.752,0.148787
0.660,54.534,0.032216
0.670,196.855,0.224631
0.680,197.596,0.394186
0.690,197.295,0.526366
0.700,196.482,0.386810
0.710,196.025,0.316192
0.720,195.478,0.367667
0.730,261.853,0.360764
0.740,261.849,0.639052
0.750,262.155,0.792107
0.760,262.936,0.849214
0.770,263.388,0.800955
0.780,262.652,0.883650
0.790,262.070,0.496453
0.800,262.116,0.715078
0.810,262.451,0.482018
0.820,262.340,0.487437
0.830,258.994,0.620901
0.840,260.844,0.782416
0.850,261.775,0.906647
0.860,262.571,0.940751
0.870,262.555,0.898264
0.880,262.988,0.665541
0.890,262.069,0.382373
0.900,43.554,0.604498
0.910,131.036,0.663965
0.920,262.115,0.834021
0.930,262.224,0.813234
0.940,262.365,0.839854
0.950,262.491,0.793550
0.960,261.614,0.795716
0.970,261.802,0.822673
0.980,130.987,0.109303
0.990,565.984,0.164767
1.000,563.325,0.209225
1.010,261.034,0.504653
1.020,262.163,0.668699
1.030,262.264,0.842522
1.040,262.519,0.934902
1.050,263.136,0.929773
1.060,263.390,0.838168
1.070,264.001,0.727220
1.080,260.991,0.438861
1.090,131.612,0.585022
1.100,130.857,0.750359
1.110,130.362,0.738023
1.120,130.599,0.813049
1.130,130.503,0.842428
1.140,130.600,0.854910
1.150,131.031,0.872019
1.160,131.365,0.795260
1.170,131.809,0.729202
1.180,132.027,0.635451
1.190,132.252,0.230787
1.200,393.819,0.777726
1.210,393.497,0.869257
1.220,393.676,0.855942
1.230,393.164,0.861129
1.240,392.970,0.883795
1.250,393.354,0.856374
1.260,393.908,0.767835
1.270,394.176,0.775447
1.280,393.647,0.843834
1.290,392.610,0.806185
1.300,392.328,0.730217
1.310,392.617,0.625456
1.320,392.088,0.423368
1.330,391.752,0.294981
1.340,130.557,0.166673
1.350,130.839,0.295339
1.360,131.365,0.383442
1.370,131.518,0.498714
1.380,392.817,0.148312
1.390,392.303,0.360188
1.400,392.409,0.439888
1.410,392.199,0.730458
1.420,391.829,0.840888
1.430,391.402,0.858509
1.440,391.779,0.876729
1.450,392.339,0.898498
1.460,392.699,0.897805
1.470,392.858,0.854812
