time,frequency,confidence
0.000,603.530,0.058640
0.010,656.835,0.087265
0.020,663.362,0.055223
0.030,591.239,0.088628
0.040,1959.499,0.019862
0.050,1959.500,0.019838
0.060,1959.500,0.019831
0.070,1959.500,0.019831
0.080,1959.497,0.019829
0.090,1959.494,0.019838
0.100,1959.490,0.019853
0.110,1959.493,0.019869
0.120,1959.493,0.019876
0.130,556.920,0.095960
0.140,588.302,0.071776
0.150,598.393,0.074896
0.160,625.291,0.104990
0.170,627.357,0.127125
0.180,645.929,0.104260
0.190,658.753,0.054589
0.200,176.136,0.030717
0.210,551.272,0.176675
0.220,443.774,0.192785
0.230,441.053,0.063642
0.240,32.234,0.023079
0.250,32.366,0.062227
0.260,32.615,0.011458
0.270,142.310,0.028154
0.280,989.649,0.016155
0.290,239.636,0.121080
0.300,240.237,0.165039
0.310,666.169,0.038379
0.320,706.252,0.048602
0.330,971.265,0.081086
0.340,950.919,0.110647
0.350,233.479,0.764231
0.360,232.847,0.805041
0.370,232.124,0.745820
0.380,233.407,0.836034
0.390,233.438,0.847898
0.400,234.824,0.781139
0.410,233.726,0.587445
0.420,236.271,0.154590
0.430,224.821,0.088945
0.440,1973.911,0.059394
0.450,1980.810,0.060879
0.460,234.570,0.354827
0.470,232.837,0.471753
0.480,233.454,0.556307
0.490,234.879,0.676825
0.500,235.543,0.661460
0.510,232.784,0.530267
0.520,232.175,0.107954
0.530,32.855,0.126241
0.540,328.959,0.039811
0.550,349.241,0.049125
0.560,33.159,0.019466
0.570,33.462,0.068233
0.580,87.694,0.034193
0.590,87.360,0.080613
0.600,87.053,0.186812
0.610,86.887,0.594072
0.620,87.169,0.695623
0.630,87.360,0.582146
0.640,263.104,0.793302
0.650,266.808,0.429921
0.660,269.387,0.202975
0.670,223.963,0.041102
0.680,32.295,0.018110
0.690,32.343,0.029539
0.700,457.220,0.082282
0.710,514.412,0.145986
0.720,486.272,0.212122
0.730,488.382,0.158093
0.740,977.801,0.040329
0.750,87.146,0.020406
0.760,1035.017,0.018654
0.770,260.860,0.410766
0.780,261.563,0.645386
0.790,267.080,0.233761
0.800,32.137,0.052930
0.810,32.138,0.033682
0.820,37.449,0.032200
0.830,37.686,0.524400
0.840,37.756,0.038601
0.850,32.929,0.546781
0.860,32.892,0.813502
0.870,32.644,0.656881
0.880,32.445,0.032234
0.890,1178.765,0.017076
0.900,976.744,0.073028
0.910,87.424,0.577180
0.920,87.343,0.392873
0.930,87.626,0.385704
0.940,88.019,0.336450
0.950,88.780,0.190990
0.960,88.603,0.105767
0.970,86.639,0.091383
0.980,85.756,0.318409
0.990,218.113,0.162834
1.000,220.440,0.044032
1.010,44.250,0.170274
1.020,43.877,0.016095
1.030,86.796,0.058905
1.040,86.397,0.247397
1.050,87.133,0.685386
1.060,87.245,0.771923
1.070,86.950,0.834535
1.080,555.688,0.190363
1.090,276.114,0.027555
1.100,32.197,0.017317
1.110,32.313,0.037781
1.120,32.417,0.041651
1.130,32.876,0.030257
1.140,262.495,0.314356
1.150,263.834,0.149697
1.160,263.352,0.323197
1.170,531.612,0.038936
1.180,882.712,0.019367
1.190,1177.706,0.017188
1.200,33.143,0.032402
1.210,354.101,0.034816
1.220,365.200,0.041034
1.230,177.489,0.022153
1.240,369.241,0.045266
1.250,1119.468,0.023429
1.260,33.880,0.072267
1.270,33.923,0.267549
1.280,34.152,0.261520
1.290,33.046,0.015873
1.300,32.285,0.015238
1.310,257.777,0.025020
1.320,87.263,0.286248
1.330,87.305,0.599130
1.340,264.734,0.575641
1.350,266.026,0.461754
1.360,264.675,0.521139
1.370,547.405,0.094056
1.380,32.586,0.026038
1.390,33.390,0.126129
1.400,32.470,0.133454
1.410,32.896,0.013666
1.420,1184.502,0.018851
1.430,1971.623,0.019284
1.440,1185.203,0.014605
1.450,85.581,0.026799
1.460,85.770,0.088370
1.470,86.595,0.152096
1.480,87.242,0.717714
1.490,87.195,0.811421
1.500,87.320,0.803757
1.510,87.457,0.782451
1.520,87.734,0.558996
1.530,266.436,0.367238
1.540,88.216,0.340791
1.550,87.397,0.237786
1.560,87.034,0.160085
1.570,258.885,0.168654
1.580,86.380,0.458828
1.590,86.420,0.753690
1.600,86.565,0.729833
1.610,86.944,0.734752
1.620,87.131,0.767837
1.630,87.293,0.784517
1.640,87.268,0.667706
1.650,553.452,0.158450
1.660,44.402,0.032437
1.670,32.237,0.009225
1.680,32.189,0.021870
1.690,32.090,0.034234
1.700,32.188,0.015065
1.710,1972.520,0.022173
1.720,1973.150,0.027102
1.730,528.042,0.057729
1.740,526.920,0.320185
1.750,524.750,0.087546
1.760,33.017,0.037121
1.770,43.892,0.012464
1.780,54.117,0.009753
1.790,33.545,0.008487
1.800,33.254,0.058016
1.810,33.093,0.312151
1.820,33.018,0.258440
1.830,33.025,0.096222
1.840,43.181,0.201970
1.850,32.409,0.138730
1.860,32.773,0.098401
1.870,33.088,0.268680
1.880,266.098,0.733948
1.890,264.423,0.746853
1.900,262.553,0.733249
1.910,262.897,0.777946
1.920,263.484,0.756064
