time,frequency,confidence
0.000,605.182,0.061881
0.010,657.469,0.091594
0.020,322.077,0.111041
0.030,652.130,0.134043
0.040,584.424,0.137607
0.050,590.423,0.062524
0.060,596.285,0.074443
0.070,596.491,0.098642
0.080,594.609,0.113821
0.090,590.655,0.138183
0.100,881.307,0.123297
0.110,882.129,0.060229
0.120,48.601,0.090425
0.130,146.175,0.159651
0.140,146.591,0.296742
0.150,147.452,0.491798
0.160,148.407,0.455883
0.170,148.357,0.666631
0.180,147.928,0.746565
0.190,147.330,0.818374
0.200,147.107,0.746025
0.210,147.176,0.670814
0.220,146.991,0.364531
0.230,146.874,0.231641
0.240,217.855,0.200400
0.250,219.204,0.343514
0.260,220.726,0.328477
0.270,147.495,0.512461
0.280,147.737,0.594845
0.290,147.184,0.594212
0.300,73.293,0.736199
0.310,73.148,0.697184
0.320,73.304,0.711294
0.330,73.462,0.533989
0.340,593.065,0.172958
0.350,293.896,0.069065
0.360,290.298,0.054392
0.370,290.728,0.053268
0.380,981.224,0.033479
0.390,98.038,0.112749
0.400,184.431,0.435109
0.410,184.369,0.485222
0.420,184.949,0.357734
0.430,184.120,0.336334
0.440,182.435,0.476847
0.450,182.493,0.392871
0.460,183.351,0.315856
0.470,186.211,0.185097
0.480,188.184,0.146572
0.490,186.788,0.090964
0.500,183.851,0.160210
0.510,36.228,0.443451
0.520,36.372,0.105988
0.530,61.193,0.339718
0.540,184.626,0.386699
0.550,184.798,0.700120
0.560,184.263,0.772742
0.570,185.252,0.822989
0.580,184.959,0.837136
0.590,185.315,0.786633
0.600,184.544,0.727775
0.610,184.081,0.707464
0.620,184.442,0.567599
0.630,370.232,0.469646
0.640,369.123,0.474359
0.650,370.065,0.460328
0.660,183.441,0.604324
0.670,369.518,0.643257
0.680,183.893,0.615378
0.690,184.606,0.558896
0.700,184.135,0.481706
0.710,371.344,0.585125
0.720,370.468,0.625373
0.730,369.792,0.505317
0.740,368.381,0.605801
0.750,368.215,0.237059
0.760,73.726,0.454206
0.770,73.966,0.353677
0.780,73.921,0.227259
0.790,366.227,0.091091
0.800,331.894,0.204116
0.810,36.634,0.032946
0.820,36.745,0.231693
0.830,36.768,0.237335
0.840,36.896,0.161201
0.850,46.672,0.148568
0.860,41.829,0.031366
0.870,42.115,0.019408
0.880,36.558,0.029418
0.890,36.771,0.492062
0.900,36.582,0.106190
0.910,32.435,0.020525
0.920,1180.637,0.076297
0.930,1185.265,0.087974
0.940,882.618,0.013111
0.950,32.154,0.013713
0.960,32.631,0.038706
0.970,32.962,0.358035
0.980,32.977,0.534791
0.990,32.725,0.118174
1.000,294.723,0.066524
1.010,880.246,0.095540
1.020,884.150,0.079444
1.030,885.774,0.114599
1.040,886.827,0.069876
1.050,292.709,0.161856
1.060,291.983,0.291112
1.070,293.367,0.214432
1.080,59.101,0.066347
1.090,110.666,0.108546
1.100,147.927,0.122739
1.110,148.051,0.232235
1.120,147.545,0.167926
1.130,148.011,0.154433
1.140,147.623,0.199632
1.150,147.379,0.180717
1.160,293.726,0.561766
1.170,296.344,0.537135
1.180,297.740,0.178041
1.190,269.790,0.130500
1.200,89.331,0.163598
1.210,32.948,0.087557
1.220,33.516,0.070847
1.230,32.590,0.138336
1.240,32.264,0.028709
1.250,55.304,0.426542
1.260,325.700,0.303667
1.270,55.067,0.448106
1.280,54.818,0.203509
1.290,327.969,0.243364
1.300,328.037,0.568695
1.310,330.338,0.588542
1.320,277.521,0.527679
1.330,277.406,0.369629
1.340,326.823,0.363673
1.350,275.471,0.222817
1.360,300.996,0.165879
1.370,1121.407,0.056349
1.380,1118.040,0.032736
1.390,1127.376,0.023043
1.400,185.992,0.327216
1.410,193.185,0.519506
1.420,196.486,0.646167
1.430,198.250,0.596147
1.440,200.816,0.684523
1.450,204.174,0.841192
1.460,206.043,0.746439
1.470,206.983,0.532439
1.480,205.905,0.230790
1.490,276.089,0.130352
1.500,209.566,0.137651
1.510,54.746,0.382260
1.520,213.642,0.563554
1.530,213.906,0.692501
1.540,214.274,0.763528
1.550,213.303,0.619130
1.560,206.969,0.483778
1.570,201.650,0.267418
1.580,147.782,0.368183
1.590,147.065,0.645767
1.600,146.801,0.591564
1.610,55.031,0.264867
1.620,433.920,0.142941
1.630,55.131,0.343005
1.640,55.383,0.452796
1.650,55.403,0.355405
1.660,193.975,0.166038
1.670,142.101,0.190420
1.680,141.909,0.214793
1.690,144.388,0.161303
1.700,219.746,0.369012
1.710,220.067,0.362195
1.720,275.070,0.350196
1.730,220.197,0.480516
1.740,219.187,0.434915
1.750,219.632,0.557423
1.760,220.675,0.321844
1.770,441.223,0.339957
1.780,443.002,0.303385
1.790,177.327,0.209713
1.800,177.031,0.436210
1.810,177.887,0.630270
1.820,179.745,0.666265
1.830,182.985,0.583710
1.840,367.406,0.618089
1.850,363.474,0.673769
1.860,356.338,0.570465
1.870,175.685,0.852442
1.880,173.310,0.894701
1.890,171.824,0.836845
1.900,171.314,0.802311
1.910,171.926,0.455335
1.920,173.614,0.411858
1.930,173.585,0.289066
1.940,174.916,0.224761
1.950,175.206,0.330273
1.960,173.168,0.516869
1.970,171.005,0.796507
1.980,169.327,0.862031
1.990,167.619,0.841875
2.000,165.547,0.749020
2.010,162.700,0.582564
2.020,159.126,0.573623
2.030,155.785,0.545715
2.040,155.368,0.506606
2.050,462.792,0.546537
2.060,155.191,0.705520
2.070,156.159,0.609783
2.080,159.191,0.213794
2.090,498.109,0.326825
2.100,173.479,0.582926
2.110,174.802,0.721628
2.120,529.485,0.769998
2.130,531.462,0.773056
2.140,532.916,0.687463
2.150,177.303,0.602799
2.160,176.326,0.685460
2.170,175.040,0.650060
2.180,173.254,0.343596
2.190,262.841,0.281357
2.200,272.512,0.370924
2.210,273.704,0.490917
2.220,275.919,0.252647
2.230,158.590,0.361730
2.240,155.815,0.403481
2.250,152.596,0.624607
2.260,152.374,0.551462
2.270,152.052,0.581782
2.280,151.927,0.657179
2.290,150.377,0.615641
2.300,148.819,0.723643
2.310,147.823,0.709776
2.320,145.548,0.439803
2.330,140.219,0.697467
2.340,137.969,0.794350
2.350,136.476,0.742812
2.360,135.773,0.604142
2.370,133.417,0.414462
2.380,225.942,0.250842
2.390,197.116,0.277939
2.400,275.066,0.287597
2.410,276.608,0.433810
2.420,275.042,0.638476
2.430,275.434,0.477138
2.440,272.562,0.460674
2.450,276.131,0.166736
2.460,222.073,0.206892
2.470,220.330,0.217591
2.480,221.770,0.382556
2.490,272.320,0.331897
2.500,221.120,0.185260
2.510,220.385,0.063559
2.520,197.548,0.240155
2.530,197.812,0.451197
2.540,198.226,0.493138
2.550,198.576,0.262577
2.560,218.871,0.252925
2.570,221.390,0.374846
2.580,395.226,0.404650
2.590,220.005,0.239146
2.600,394.416,0.405706
2.610,393.973,0.282262
2.620,394.138,0.130077
2.630,435.424,0.251118
2.640,433.065,0.263590
2.650,395.361,0.367812
2.660,395.468,0.577190
2.670,397.688,0.283030
2.680,394.986,0.456128
2.690,395.651,0.475185
2.700,396.821,0.224322
2.710,399.175,0.159356
2.720,220.035,0.467504
2.730,219.950,0.403579
2.740,220.965,0.512900
2.750,221.443,0.456026
2.760,223.242,0.240779
2.770,274.991,0.162441
2.780,138.837,0.195935
2.790,36.161,0.227353
2.800,35.673,0.205253
2.810,143.359,0.194179
2.820,145.685,0.308649
2.830,147.038,0.465676
2.840,147.162,0.569766
2.850,147.470,0.746379
2.860,147.093,0.845183
2.870,147.375,0.866821
2.880,147.400,0.903241
2.890,147.261,0.739996
2.900,146.995,0.517693
2.910,439.887,0.670259
2.920,441.626,0.599997
2.930,441.473,0.593438
2.940,440.309,0.454249
2.950,438.930,0.476194
2.960,145.942,0.405238
2.970,145.717,0.518029
2.980,293.428,0.558278
2.990,293.510,0.412480
3.000,147.472,0.385459
3.010,146.950,0.711508
3.020,146.123,0.763976
3.030,146.392,0.419009
3.040,147.592,0.233034
3.050,147.922,0.189585
3.060,248.841,0.449271
3.070,240.808,0.484446
3.080,245.055,0.699543
