time,frequency,confidence
0.000,647.095,0.068005
0.010,652.026,0.087823
0.020,660.218,0.066778
0.030,584.229,0.162042
0.040,187.039,0.045237
0.050,367.378,0.028480
0.060,35.558,0.110827
0.070,358.492,0.144119
0.080,32.389,0.047890
0.090,32.562,0.101391
0.100,33.822,0.039023
0.110,1968.261,0.009959
0.120,345.582,0.018289
0.130,58.370,0.306245
0.140,57.988,0.451024
0.150,57.741,0.324500
0.160,57.487,0.022367
0.170,55.540,0.003553
0.180,51.224,0.080696
0.190,116.322,0.135279
0.200,116.271,0.479243
0.210,115.969,0.609199
0.220,116.685,0.831287
0.230,117.330,0.833735
0.240,117.586,0.831869
0.250,117.315,0.867934
0.260,116.766,0.794748
0.270,116.426,0.701116
0.280,117.231,0.714456
0.290,232.292,0.150075
0.300,290.170,0.298891
0.310,284.914,0.585418
0.320,289.096,0.686108
0.330,289.056,0.618396
0.340,295.067,0.671382
0.350,291.782,0.746738
0.360,292.705,0.824631
0.370,292.974,0.854379
0.380,293.691,0.903092
0.390,293.939,0.914121
0.400,293.855,0.925849
0.410,293.815,0.925891
0.420,292.592,0.842927
0.430,293.397,0.753422
0.440,293.025,0.556942
0.450,294.569,0.387722
0.460,289.759,0.360252
0.470,290.278,0.333122
0.480,275.471,0.366973
0.490,270.139,0.501270
0.500,262.987,0.339208
0.510,292.778,0.543725
0.520,292.404,0.800859
0.530,291.255,0.743030
0.540,292.094,0.610006
0.550,292.777,0.429370
0.560,296.430,0.257734
0.570,314.701,0.230494
0.580,318.645,0.382987
0.590,1182.524,0.044716
0.600,33.092,0.008078
0.610,330.622,0.015727
0.620,981.117,0.018886
0.630,991.229,0.012005
0.640,32.175,0.012587
0.650,52.463,0.011051
0.660,1843.096,0.024090
0.670,33.982,0.007395
0.680,50.766,0.021621
0.690,517.443,0.103514
0.700,175.185,0.293823
0.710,349.309,0.142007
0.720,286.295,0.110765
0.730,262.833,0.234501
0.740,348.963,0.239138
0.750,263.083,0.364984
0.760,265.015,0.251208
0.770,262.738,0.358311
0.780,261.690,0.340158
0.790,258.989,0.238649
0.800,32.625,0.067475
0.810,393.030,0.128172
0.820,531.045,0.082427
0.830,450.669,0.301531
0.840,235.081,0.424855
0.850,465.566,0.739850
0.860,466.447,0.752039
0.870,467.015,0.832536
0.880,466.740,0.860377
0.890,467.622,0.871005
0.900,468.738,0.877755
0.910,467.934,0.678208
0.920,466.937,0.459057
0.930,234.188,0.712292
0.940,235.358,0.822541
0.950,235.195,0.834904
0.960,117.151,0.727840
0.970,117.057,0.844308
0.980,116.758,0.905089
0.990,116.746,0.826856
1.000,117.000,0.802016
1.010,117.001,0.696728
1.020,234.131,0.665379
1.030,234.175,0.681876
1.040,233.549,0.591596
1.050,233.933,0.878526
1.060,233.415,0.841868
1.070,233.370,0.603598
1.080,283.354,0.091198
1.090,32.444,0.039765
1.100,91.378,0.032768
1.110,90.984,0.181482
1.120,475.075,0.046692
1.130,476.815,0.056362
1.140,467.846,0.401736
1.150,467.732,0.082985
1.160,57.301,0.025241
1.170,57.555,0.128433
1.180,56.784,0.014523
1.190,153.922,0.044338
1.200,152.929,0.394334
1.210,155.751,0.315256
1.220,155.769,0.180472
1.230,151.970,0.157201
1.240,152.857,0.438542
1.250,155.407,0.190586
1.260,151.242,0.430874
1.270,149.862,0.243105
1.280,151.169,0.074902
1.290,57.491,0.330197
1.300,148.700,0.378319
1.310,149.076,0.571133
1.320,148.045,0.519341
1.330,290.555,0.521059
1.340,292.077,0.661214
1.350,293.839,0.657224
1.360,293.538,0.714495
1.370,293.547,0.810314
1.380,293.686,0.912616
1.390,293.644,0.955064
1.400,293.669,0.964109
1.410,293.817,0.967724
1.420,294.099,0.971193
1.430,294.307,0.973685
1.440,294.211,0.973653
1.450,293.730,0.958476
1.460,294.020,0.916627
1.470,294.487,0.771035
1.480,294.571,0.633270
1.490,292.921,0.718838
1.500,293.358,0.831329
1.510,293.667,0.851029
1.520,294.259,0.856713
1.530,293.971,0.782796
1.540,292.046,0.710718
1.550,293.067,0.640117
1.560,295.406,0.609595
1.570,292.501,0.512140
1.580,294.959,0.408637
1.590,297.498,0.313287
1.600,295.974,0.298766
1.610,299.025,0.322265
1.620,1089.103,0.067455
1.630,32.962,0.025085
1.640,33.144,0.037910
1.650,88.726,0.019489
1.660,88.681,0.014529
1.670,988.385,0.048422
1.680,33.324,0.018289
1.690,49.476,0.299470
1.700,49.113,0.712323
1.710,48.806,0.457290
1.720,41.862,0.063126
1.730,523.285,0.578073
1.740,523.652,0.856463
1.750,523.925,0.757429
1.760,263.025,0.740288
1.770,262.266,0.788390
1.780,261.921,0.903183
1.790,261.752,0.918888
1.800,261.735,0.930568
1.810,261.065,0.901921
1.820,260.766,0.904063
1.830,261.414,0.874599
1.840,263.712,0.720920
1.850,267.649,0.119308
1.860,458.741,0.135550
1.870,234.232,0.695487
1.880,467.710,0.542011
1.890,467.433,0.841533
