time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055952
0.040,554.568,0.179886
0.050,285.370,0.059006
0.060,870.041,0.084992
0.070,836.244,0.271339
0.080,825.630,0.249845
0.090,815.918,0.085869
0.100,36.125,0.285878
0.110,36.036,0.456774
0.120,32.689,0.097216
0.130,1163.950,0.025971
0.140,1183.666,0.029676
0.150,825.324,0.398014
0.160,825.578,0.700818
0.170,827.728,0.812378
0.180,829.821,0.884621
0.190,828.389,0.901229
0.200,827.667,0.925703
0.210,829.614,0.918716
0.220,829.694,0.926036
0.230,830.120,0.939307
0.240,832.442,0.955528
0.250,833.122,0.953087
0.260,831.673,0.949877
0.270,832.329,0.949891
0.280,832.662,0.948872
0.290,831.520,0.945931
0.300,829.968,0.924304
0.310,829.535,0.870794
0.320,828.910,0.550597
0.330,276.228,0.071222
0.340,32.328,0.079145
0.350,32.291,0.033663
0.360,1113.702,0.020583
0.370,1129.138,0.023319
0.380,34.159,0.091868
0.390,34.402,0.036186
0.400,32.369,0.052117
0.410,1116.821,0.274659
0.420,1112.782,0.588091
0.430,1113.011,0.597052
0.440,1114.137,0.661480
0.450,1113.679,0.735932
0.460,1111.698,0.698309
0.470,1111.358,0.787303
0.480,1119.706,0.449145
0.490,226.104,0.053888
0.500,138.675,0.137788
0.510,138.364,0.656483
0.520,139.389,0.827608
0.530,139.514,0.880751
0.540,139.156,0.914005
0.550,138.590,0.911688
0.560,138.329,0.890540
0.570,138.352,0.903661
0.580,138.683,0.903155
0.590,138.493,0.868173
0.600,137.978,0.836732
0.610,137.953,0.857734
0.620,137.669,0.888495
0.630,137.491,0.896375
0.640,137.819,0.857691
0.650,138.206,0.865008
0.660,138.535,0.906394
0.670,138.603,0.916441
0.680,138.742,0.929507
0.690,138.432,0.922259
0.700,138.484,0.910028
0.710,138.529,0.860371
0.720,138.703,0.473826
0.730,139.034,0.012532
0.740,40.100,0.048194
0.750,40.449,0.062779
0.760,42.295,0.250229
0.770,43.274,0.207257
0.780,43.103,0.210096
0.790,43.122,0.103868
0.800,42.972,0.070212
0.810,32.658,0.008638
0.820,32.279,0.016253
0.830,49.293,0.044167
0.840,33.527,0.030401
0.850,34.265,0.323012
0.860,33.933,0.014914
0.870,49.421,0.011609
0.880,175.085,0.360900
0.890,174.766,0.761326
0.900,174.535,0.867154
0.910,175.082,0.861375
0.920,175.215,0.856837
0.930,174.719,0.862312
0.940,174.777,0.869450
0.950,175.326,0.908895
0.960,175.392,0.914424
0.970,174.996,0.904830
0.980,175.303,0.868677
0.990,175.048,0.825430
1.000,173.590,0.728395
1.010,172.591,0.728060
1.020,172.959,0.657138
1.030,174.504,0.408078
1.040,65.115,0.053641
1.050,34.618,0.364984
1.060,35.116,0.829406
1.070,34.811,0.876274
1.080,34.721,0.947851
1.090,34.783,0.949291
1.100,34.155,0.379430
1.110,33.828,0.654975
1.120,68.812,0.353305
1.130,69.303,0.874927
1.140,69.093,0.732532
1.150,34.725,0.569953
1.160,69.955,0.287443
1.170,69.638,0.397238
1.180,69.429,0.202255
1.190,34.368,0.339759
1.200,34.193,0.852569
1.210,34.305,0.854991
1.220,34.537,0.679854
1.230,34.716,0.422256
1.240,69.373,0.268289
1.250,69.423,0.502392
1.260,68.951,0.422739
1.270,34.294,0.641388
1.280,34.605,0.610831
1.290,70.332,0.656060
1.300,69.597,0.837107
1.310,69.244,0.852387
1.320,69.206,0.917916
1.330,69.324,0.935212
1.340,69.364,0.941873
1.350,69.371,0.955855
1.360,69.239,0.384976
1.370,32.925,0.152328
1.380,32.521,0.044807
1.390,44.464,0.027959
1.400,1126.134,0.004946
1.410,34.114,0.004792
1.420,34.586,0.210149
1.430,34.664,0.079890
1.440,1158.819,0.009487
1.450,1131.303,0.022497
1.460,1130.627,0.056760
1.470,1109.814,0.368230
1.480,1101.133,0.134046
1.490,1104.542,0.328439
1.500,1105.265,0.404041
1.510,1107.423,0.585343
1.520,1112.002,0.691682
1.530,1109.283,0.441381
1.540,1101.656,0.580203
1.550,1107.803,0.441423
1.560,1107.944,0.245108
1.570,1098.505,0.107026
1.580,1110.977,0.222152
1.590,1110.049,0.155267
1.600,1104.355,0.172536
1.610,1108.890,0.122682
1.620,1112.386,0.256936
1.630,1108.088,0.117544
1.640,1090.831,0.078901
1.650,1037.433,0.128304
1.660,1043.092,0.187703
1.670,1041.347,0.196725
1.680,1048.611,0.130910
1.690,1050.353,0.063770
1.700,1044.602,0.423555
1.710,1046.057,0.738159
1.720,1047.010,0.843082
1.730,1051.864,0.753762
1.740,1048.700,0.605290
1.750,1045.242,0.266248
1.760,48.461,0.039827
1.770,1021.430,0.019684
1.780,931.241,0.135622
1.790,933.534,0.224529
1.800,935.379,0.464952
1.810,934.341,0.658575
1.820,935.983,0.448195
1.830,934.101,0.105304
1.840,928.620,0.082935
1.850,926.423,0.184272
1.860,932.275,0.205822
1.870,931.906,0.242694
1.880,932.619,0.501969
1.890,932.554,0.348668
1.900,932.726,0.360089
1.910,33.420,0.164770
1.920,33.025,0.468471
1.930,34.011,0.289464
1.940,32.232,0.137771
1.950,32.171,0.075187
1.960,48.329,0.017409
1.970,835.554,0.085107
1.980,830.642,0.248058
1.990,829.793,0.431702
2.000,827.710,0.561703
2.010,826.600,0.657961
2.020,825.704,0.804296
2.030,827.367,0.873882
2.040,828.083,0.771059
2.050,827.438,0.719244
2.060,830.035,0.796882
2.070,832.685,0.852131
2.080,834.630,0.778445
2.090,832.861,0.791702
2.100,830.396,0.820985
2.110,830.744,0.826503
2.120,830.971,0.805032
2.130,830.803,0.589859
2.140,830.047,0.453873
2.150,836.514,0.136489
2.160,842.134,0.019887
2.170,565.951,0.207179
2.180,283.854,0.267749
2.190,299.743,0.134255
2.200,310.295,0.547309
2.210,310.357,0.550043
2.220,620.202,0.483993
2.230,625.306,0.736391
2.240,629.001,0.500271
2.250,52.141,0.241063
2.260,52.378,0.430515
2.270,52.025,0.271453
2.280,103.592,0.439747
2.290,103.018,0.203568
2.300,626.823,0.124687
2.310,204.352,0.120794
2.320,634.511,0.106641
2.330,1238.467,0.316708
2.340,627.854,0.290296
2.350,625.482,0.177490
2.360,1242.324,0.079096
2.370,36.340,0.129105
2.380,33.704,0.108173
2.390,51.609,0.058915
2.400,1789.475,0.048827
2.410,209.788,0.026632
2.420,138.588,0.013035
2.430,45.209,0.084706
2.440,45.039,0.534029
2.450,44.794,0.164217
2.460,45.364,0.131034
2.470,49.180,0.009397
2.480,837.910,0.007345
2.490,827.974,0.192229
2.500,828.615,0.662208
2.510,827.726,0.759664
2.520,828.864,0.775603
2.530,831.160,0.690807
2.540,829.326,0.650370
2.550,830.484,0.711614
2.560,828.665,0.724450
2.570,828.746,0.743593
2.580,833.133,0.690617
2.590,104.706,0.336086
2.600,104.915,0.574098
2.610,103.879,0.516352
2.620,103.038,0.594983
2.630,51.277,0.440881
2.640,102.683,0.536616
2.650,103.248,0.600285
2.660,103.779,0.787797
2.670,103.820,0.779402
2.680,103.619,0.784022
2.690,103.226,0.830961
2.700,103.007,0.850340
2.710,102.699,0.859802
2.720,102.739,0.843367
2.730,103.153,0.810772
2.740,103.540,0.748664
2.750,103.545,0.812291
2.760,103.660,0.843987
2.770,103.778,0.820500
2.780,103.814,0.826190
2.790,312.198,0.359834
2.800,311.818,0.511557
2.810,36.294,0.084024
2.820,35.991,0.088050
2.830,33.215,0.332129
2.840,33.265,0.209319
2.850,33.115,0.291630
2.860,53.120,0.160337
2.870,52.498,0.042156
2.880,102.776,0.065858
2.890,33.295,0.042272
2.900,46.138,0.037257
2.910,35.666,0.047225
2.920,35.451,0.085084
2.930,34.484,0.242948
2.940,33.941,0.118609
2.950,155.588,0.048786
2.960,155.631,0.804647
2.970,155.308,0.835925
2.980,154.592,0.856745
2.990,154.489,0.820479
3.000,154.882,0.746716
3.010,155.097,0.667073
3.020,155.461,0.746809
3.030,155.445,0.823933
3.040,155.950,0.933014
3.050,155.944,0.919477
3.060,156.049,0.946155
3.070,155.867,0.945469
3.080,155.897,0.951222
3.090,155.717,0.928736
3.100,155.555,0.926658
3.110,155.471,0.910200
3.120,155.447,0.834200
3.130,155.818,0.929344
3.140,155.929,0.911151
3.150,156.152,0.917477
3.160,156.529,0.820221
3.170,156.633,0.678369
3.180,32.021,0.158423
3.190,51.850,0.553987
3.200,51.829,0.661279
3.210,51.823,0.286431
3.220,32.134,0.120721
3.230,768.647,0.412068
3.240,767.895,0.542082
3.250,767.564,0.422768
3.260,777.084,0.491747
3.270,782.396,0.253509
3.280,51.386,0.109327
3.290,51.142,0.322541
3.300,51.504,0.386929
3.310,51.372,0.780895
3.320,51.292,0.740729
3.330,51.498,0.233643
3.340,816.081,0.064533
3.350,815.373,0.190487
3.360,820.805,0.177539
3.370,50.894,0.345848
3.380,51.398,0.484450
3.390,51.461,0.453791
3.400,51.302,0.328694
3.410,51.433,0.668222
3.420,51.681,0.868246
3.430,51.879,0.914989
3.440,52.273,0.485263
3.450,214.699,0.109679
3.460,32.203,0.012690
3.470,34.263,0.082283
3.480,34.165,0.083973
3.490,34.424,0.004974
3.500,1115.425,0.015947
3.510,1119.606,0.023798
3.520,1118.362,0.070385
3.530,1125.602,0.151626
3.540,1120.753,0.057733
3.550,1111.132,0.100686
3.560,1110.873,0.193896
3.570,1113.631,0.070893
3.580,1115.336,0.073781
3.590,1109.573,0.050906
3.600,1107.513,0.062219
3.610,1114.784,0.112102
3.620,1112.630,0.183573
3.630,1106.357,0.047920
3.640,32.306,0.017686
3.650,45.308,0.023092
3.660,44.308,0.051111
3.670,32.328,0.037093
3.680,32.112,0.100280
3.690,1115.755,0.389726
3.700,1112.641,0.635745
3.710,1113.482,0.446220
3.720,1111.696,0.252861
3.730,1101.800,0.099416
3.740,1096.873,0.090336
3.750,1032.922,0.110495
3.760,1031.329,0.062854
3.770,1025.202,0.022110
3.780,47.757,0.038331
3.790,1055.166,0.017777
3.800,1053.383,0.047289
3.810,1040.853,0.018310
3.820,32.182,0.014415
3.830,32.178,0.053991
3.840,32.224,0.029163
3.850,51.361,0.023290
3.860,1182.330,0.005857
3.870,937.097,0.199340
3.880,932.690,0.448994
3.890,934.434,0.717703
3.900,934.582,0.820662
3.910,936.991,0.733472
3.920,943.379,0.291917
3.930,947.341,0.068757
3.940,943.618,0.401539
3.950,939.521,0.330309
3.960,937.967,0.643575
3.970,938.176,0.574788
3.980,936.983,0.077532
3.990,32.987,0.031611
4.000,862.903,0.025792
4.010,1230.124,0.025798
4.020,1711.452,0.020795
4.030,33.469,0.029530
4.040,849.829,0.039933
4.050,836.251,0.049157
4.060,833.350,0.030024
4.070,34.032,0.259713
4.080,822.019,0.343437
4.090,824.876,0.626315
4.100,827.302,0.738051
4.110,828.851,0.794787
4.120,832.108,0.791285
