time,frequency,confidence
0.000,603.028,0.061887
0.010,651.767,0.078944
0.020,658.787,0.083615
0.030,659.060,0.085453
0.040,594.803,0.091658
0.050,49.063,0.016955
0.060,660.477,0.045245
0.070,644.387,0.075913
0.080,592.316,0.064918
0.090,592.611,0.041904
0.100,140.519,0.008241
0.110,1854.410,0.018369
0.120,1854.138,0.022183
0.130,268.143,0.112649
0.140,268.339,0.125413
0.150,157.802,0.155378
0.160,162.930,0.459048
0.170,54.214,0.553087
0.180,54.150,0.747255
0.190,54.307,0.609425
0.200,163.293,0.603466
0.210,162.825,0.720355
0.220,161.550,0.304256
0.230,163.966,0.113712
0.240,1863.587,0.025869
0.250,1862.249,0.018174
0.260,94.065,0.029656
0.270,590.512,0.068933
0.280,595.220,0.064872
0.290,289.667,0.050624
0.300,290.173,0.063015
0.310,468.171,0.065073
0.320,596.614,0.048359
0.330,592.175,0.122078
0.340,48.203,0.037168
0.350,48.733,0.051091
0.360,54.699,0.051306
0.370,1034.744,0.074480
0.380,1035.069,0.059110
0.390,700.392,0.118700
0.400,653.527,0.103540
0.410,646.700,0.114298
0.420,596.942,0.104127
0.430,632.102,0.024586
0.440,564.040,0.175176
0.450,32.623,0.038745
0.460,32.877,0.027159
0.470,32.391,0.008780
0.480,32.093,0.006191
0.490,1151.365,0.004353
0.500,662.810,0.019978
0.510,659.355,0.056906
0.520,659.331,0.078666
0.530,583.924,0.091974
0.540,596.515,0.117521
0.550,404.350,0.053240
0.560,408.508,0.046338
0.570,408.187,0.034661
0.580,1225.304,0.031596
0.590,833.998,0.039174
0.600,835.173,0.051697
0.610,836.581,0.054806
0.620,849.318,0.015689
0.630,162.229,0.262271
0.640,65.691,0.028396
0.650,33.647,0.115416
0.660,34.435,0.085921
0.670,54.622,0.054330
0.680,106.657,0.040453
0.690,203.218,0.012796
0.700,33.067,0.037302
0.710,167.967,0.024009
0.720,166.190,0.096273
0.730,176.810,0.155028
0.740,175.423,0.396231
0.750,217.209,0.127499
0.760,939.738,0.032242
0.770,83.737,0.069173
0.780,649.323,0.114795
0.790,649.261,0.126089
0.800,657.848,0.093856
0.810,596.472,0.108808
0.820,596.470,0.058774
0.830,431.334,0.068786
0.840,588.566,0.090617
0.850,32.353,0.009378
0.860,32.217,0.193422
0.870,445.992,0.075480
0.880,32.225,0.093441
0.890,441.635,0.184909
0.900,446.486,0.212385
0.910,452.277,0.218954
0.920,456.361,0.152096
0.930,602.239,0.103325
0.940,596.401,0.092165
0.950,441.237,0.119642
0.960,447.488,0.265875
0.970,445.955,0.295769
0.980,439.302,0.225943
0.990,435.945,0.074988
1.000,436.920,0.117385
1.010,440.321,0.075674
1.020,54.388,0.012321
1.030,32.645,0.117890
1.040,322.513,0.086292
1.050,326.217,0.103646
1.060,322.735,0.103793
1.070,322.851,0.076644
1.080,323.357,0.065265
1.090,647.040,0.093339
1.100,193.550,0.056562
1.110,660.147,0.048546
1.120,701.662,0.039116
1.130,657.713,0.112638
1.140,657.448,0.109958
1.150,658.040,0.103990
1.160,589.343,0.069796
1.170,596.205,0.081634
1.180,596.376,0.079230
1.190,240.792,0.019978
1.200,398.106,0.040074
1.210,429.264,0.061523
1.220,642.725,0.082055
1.230,88.841,0.034035
1.240,88.315,0.005189
1.250,1850.631,0.007289
1.260,32.580,0.027622
1.270,1867.351,0.022247
1.280,132.396,0.038078
1.290,157.909,0.116049
1.300,162.637,0.441569
1.310,54.140,0.493082
1.320,54.090,0.837277
1.330,54.316,0.835717
1.340,54.181,0.512367
1.350,54.338,0.427888
1.360,54.152,0.281858
1.370,54.384,0.778530
1.380,54.780,0.780324
1.390,55.351,0.056168
1.400,56.150,0.035080
1.410,32.808,0.027996
1.420,33.033,0.037130
1.430,80.689,0.056256
1.440,135.701,0.017554
1.450,135.482,0.022252
1.460,156.632,0.082742
1.470,160.365,0.225164
1.480,53.580,0.295302
1.490,53.866,0.858022
1.500,53.966,0.824282
1.510,53.910,0.830997
1.520,54.022,0.727368
1.530,53.968,0.864919
1.540,54.171,0.833041
1.550,54.002,0.368930
1.560,54.371,0.699619
1.570,54.662,0.711255
1.580,54.271,0.148906
1.590,113.991,0.015707
1.600,587.440,0.060347
1.610,116.490,0.017812
1.620,1767.779,0.023370
1.630,1795.057,0.007040
1.640,349.550,0.038008
1.650,324.397,0.077823
1.660,594.381,0.094313
1.670,594.934,0.110972
1.680,595.687,0.088245
1.690,651.284,0.069452
1.700,657.246,0.075713
1.710,396.294,0.087802
1.720,673.095,0.057733
1.730,662.377,0.069656
1.740,697.401,0.127756
1.750,661.870,0.073658
1.760,32.328,0.017475
1.770,119.106,0.046186
1.780,32.299,0.050027
1.790,32.364,0.099837
1.800,32.254,0.033992
1.810,118.054,0.007124
1.820,32.175,0.006272
1.830,32.314,0.020414
1.840,581.130,0.068503
1.850,594.783,0.099176
1.860,645.571,0.149599
1.870,652.453,0.125301
1.880,658.826,0.095317
1.890,673.105,0.045192
1.900,701.556,0.051171
1.910,660.270,0.073357
1.920,584.617,0.103593
1.930,595.981,0.084749
1.940,595.297,0.084283
1.950,539.717,0.024024
1.960,557.954,0.116197
1.970,95.940,0.019817
1.980,35.081,0.148338
1.990,32.661,0.047492
2.000,100.710,0.079573
2.010,651.322,0.095341
2.020,655.951,0.129979
2.030,653.099,0.224063
2.040,653.444,0.160464
2.050,658.747,0.097648
2.060,658.929,0.043793
2.070,405.875,0.004521
2.080,1191.726,0.012222
2.090,1208.991,0.015745
2.100,1230.530,0.027704
2.110,203.554,0.007692
2.120,202.469,0.008859
2.130,1239.226,0.013158
2.140,1236.969,0.039715
2.150,1113.257,0.044414
2.160,173.079,0.040574
2.170,394.922,0.056618
2.180,164.961,0.076523
2.190,344.821,0.057044
2.200,660.261,0.053636
2.210,655.441,0.074441
2.220,645.189,0.118516
2.230,643.322,0.172455
2.240,656.503,0.095703
2.250,594.084,0.070057
2.260,869.621,0.150777
2.270,208.915,0.053509
2.280,850.760,0.046517
2.290,854.387,0.025370
2.300,267.771,0.023530
2.310,244.256,0.080821
2.320,83.877,0.033441
2.330,132.205,0.019521
2.340,32.779,0.058439
2.350,34.185,0.426198
2.360,34.409,0.276445
2.370,301.626,0.181381
2.380,358.127,0.160667
2.390,32.674,0.133371
2.400,306.284,0.305164
2.410,304.152,0.341192
2.420,149.314,0.585416
2.430,147.221,0.329470
2.440,643.344,0.105038
2.450,623.165,0.059811
2.460,595.692,0.075626
2.470,440.367,0.072160
2.480,445.768,0.126842
2.490,443.072,0.246395
2.500,442.483,0.348929
2.510,441.520,0.241159
2.520,433.163,0.127533
2.530,429.702,0.126320
2.540,590.140,0.132754
2.550,595.549,0.086715
2.560,588.863,0.072900
2.570,398.814,0.045789
2.580,634.605,0.058669
2.590,635.040,0.083645
2.600,633.812,0.067361
2.610,644.007,0.102441
2.620,650.977,0.108712
2.630,653.739,0.091063
2.640,589.136,0.076521
2.650,596.729,0.083063
2.660,596.683,0.078620
2.670,596.211,0.081952
2.680,546.057,0.134965
2.690,560.314,0.568551
2.700,556.154,0.734043
2.710,556.025,0.823829
2.720,555.044,0.906131
2.730,554.940,0.919481
2.740,555.056,0.914007
2.750,555.773,0.924249
2.760,558.245,0.891517
2.770,566.493,0.677024
2.780,583.208,0.729027
2.790,602.909,0.636287
2.800,618.352,0.813832
2.810,622.362,0.921017
2.820,623.115,0.929331
2.830,623.204,0.949599
2.840,622.988,0.953692
2.850,623.153,0.952573
2.860,623.183,0.954503
2.870,623.154,0.953429
2.880,623.251,0.959442
2.890,623.156,0.954636
2.900,623.175,0.954315
2.910,622.762,0.915230
2.920,623.124,0.880459
2.930,622.981,0.815285
2.940,623.012,0.880065
2.950,622.617,0.932912
2.960,622.961,0.959814
2.970,623.253,0.965159
2.980,622.972,0.958160
2.990,623.383,0.959597
3.000,623.233,0.960768
3.010,622.663,0.956796
3.020,618.935,0.925372
3.030,610.847,0.680077
3.040,580.754,0.792369
3.050,569.435,0.788006
3.060,559.819,0.857774
3.070,556.023,0.911178
3.080,554.694,0.917297
3.090,554.384,0.923172
3.100,554.373,0.888582
3.110,550.894,0.819232
3.120,542.509,0.720920
3.130,519.386,0.535368
3.140,504.721,0.452889
3.150,491.789,0.495435
3.160,241.978,0.236977
3.170,223.856,0.211669
3.180,214.338,0.416654
3.190,209.995,0.294952
3.200,379.272,0.327760
3.210,370.707,0.677843
3.220,370.626,0.419237
3.230,369.313,0.650900
3.240,370.583,0.602542
3.250,369.691,0.629720
3.260,370.865,0.632988
3.270,370.460,0.651311
3.280,370.746,0.566942
3.290,370.493,0.780898
3.300,370.281,0.685912
3.310,370.207,0.526855
3.320,370.772,0.660629
3.330,370.337,0.710783
3.340,370.936,0.704256
3.350,371.119,0.678466
3.360,370.740,0.863035
3.370,370.488,0.866650
3.380,370.002,0.823356
3.390,370.035,0.809337
3.400,369.542,0.672135
3.410,369.719,0.526015
3.420,369.718,0.594615
3.430,369.307,0.660076
3.440,369.547,0.698177
3.450,370.504,0.863807
3.460,370.934,0.899067
3.470,369.542,0.841174
3.480,369.197,0.832095
3.490,369.387,0.825224
3.500,370.826,0.682791
3.510,371.251,0.820955
3.520,370.700,0.872739
3.530,370.719,0.776002
3.540,370.292,0.614545
3.550,740.946,0.646846
3.560,740.338,0.687200
3.570,740.276,0.698762
3.580,740.640,0.718394
3.590,740.426,0.746529
3.600,740.570,0.751342
3.610,740.973,0.762921
3.620,741.266,0.777436
3.630,741.158,0.785986
3.640,741.495,0.777905
3.650,741.984,0.779774
3.660,741.841,0.774509
3.670,742.881,0.806756
3.680,743.520,0.850744
3.690,743.258,0.868379
3.700,741.757,0.768040
3.710,367.663,0.761908
3.720,363.975,0.752428
3.730,363.060,0.460362
3.740,363.196,0.400157
3.750,707.395,0.400975
3.760,704.241,0.451633
3.770,702.156,0.524887
3.780,368.531,0.354708
3.790,670.586,0.328646
3.800,666.389,0.678505
3.810,661.493,0.718664
3.820,658.818,0.369872
3.830,368.377,0.264614
3.840,368.947,0.410996
3.850,123.389,0.419635
3.860,370.980,0.488214
3.870,372.883,0.251255
3.880,393.126,0.234972
3.890,399.993,0.080805
3.900,429.901,0.181090
3.910,62.932,0.197199
3.920,430.181,0.254363
3.930,61.925,0.309426
3.940,368.108,0.146604
3.950,368.800,0.297182
3.960,370.403,0.278510
3.970,369.122,0.377960
3.980,369.025,0.433035
3.990,369.748,0.326440
4.000,369.501,0.500316
4.010,368.928,0.350163
4.020,368.311,0.349135
4.030,368.371,0.400990
4.040,369.343,0.481542
4.050,369.717,0.560766
4.060,368.947,0.643079
4.070,370.297,0.594895
4.080,371.459,0.789009
4.090,370.977,0.840788
4.100,369.494,0.840609
4.110,369.651,0.735066
4.120,370.062,0.792286
4.130,368.948,0.867206
4.140,370.153,0.907482
4.150,370.219,0.899815
4.160,370.067,0.891969
4.170,369.778,0.912368
4.180,370.197,0.926869
4.190,369.672,0.915858
4.200,369.822,0.931511
4.210,369.794,0.927665
4.220,370.010,0.937976
4.230,369.595,0.937597
4.240,369.235,0.880912
4.250,368.515,0.821156
4.260,367.593,0.415254
4.270,372.049,0.567940
4.280,372.969,0.252729
4.290,371.125,0.282057
4.300,371.385,0.264112
4.310,370.733,0.743045
4.320,370.569,0.679431
4.330,369.837,0.497284
4.340,370.377,0.501139
4.350,369.577,0.518645
4.360,369.927,0.531936
4.370,369.716,0.620584
4.380,369.654,0.689858
4.390,369.478,0.609392
4.400,369.332,0.733623
4.410,370.074,0.538606
4.420,369.720,0.649314
4.430,369.268,0.742063
4.440,368.888,0.719284
4.450,368.236,0.322069
4.460,370.312,0.187677
4.470,53.801,0.034965
4.480,53.479,0.210686
4.490,53.219,0.359249
4.500,369.649,0.528825
4.510,369.250,0.654709
4.520,368.832,0.637393
