time,frequency,confidence
0.000,651.292,0.068939
0.010,651.617,0.101162
0.020,287.818,0.051748
0.030,659.696,0.050697
0.040,1051.082,0.037893
0.050,578.609,0.280619
0.060,445.230,0.117746
0.070,577.766,0.394993
0.080,577.676,0.267609
0.090,429.159,0.037086
0.100,33.043,0.108306
0.110,1041.244,0.138354
0.120,526.580,0.430538
0.130,539.758,0.471231
0.140,556.458,0.779463
0.150,561.803,0.770964
0.160,570.604,0.798702
0.170,580.183,0.850739
0.180,584.556,0.900555
0.190,585.603,0.909454
0.200,587.345,0.910121
0.210,589.030,0.774925
0.220,589.752,0.030515
0.230,32.813,0.221004
0.240,115.658,0.226025
0.250,116.579,0.297722
0.260,587.844,0.633428
0.270,588.159,0.933419
0.280,587.255,0.944930
0.290,587.249,0.939089
0.300,587.525,0.944188
0.310,587.878,0.951384
0.320,588.389,0.962109
0.330,586.928,0.916913
0.340,584.969,0.885239
0.350,581.507,0.713670
0.360,581.746,0.598464
0.370,145.516,0.214562
0.380,190.437,0.274495
0.390,191.862,0.203057
0.400,586.676,0.405426
0.410,587.964,0.847477
0.420,587.349,0.740993
0.430,586.575,0.816677
0.440,587.511,0.785550
0.450,588.941,0.719891
0.460,589.545,0.864733
0.470,588.600,0.847480
0.480,588.685,0.868015
0.490,589.099,0.929458
0.500,588.655,0.901199
0.510,589.863,0.868630
0.520,593.153,0.751138
0.530,592.813,0.564630
0.540,591.705,0.043499
0.550,32.215,0.219327
0.560,32.068,0.059895
0.570,588.166,0.138673
0.580,1769.122,0.054379
0.590,32.679,0.110152
0.600,51.740,0.117785
0.610,50.192,0.138734
0.620,48.963,0.314842
0.630,49.288,0.261854
0.640,43.122,0.128821
0.650,42.944,0.054316
0.660,43.415,0.130149
0.670,1179.273,0.124097
0.680,1178.331,0.144556
0.690,1172.339,0.167737
0.700,1168.249,0.070165
0.710,1051.112,0.063577
0.720,1056.228,0.029212
0.730,586.751,0.107220
0.740,588.997,0.065992
0.750,588.923,0.145558
0.760,587.124,0.314328
0.770,584.761,0.686703
0.780,585.308,0.419684
0.790,1179.491,0.092754
0.800,33.592,0.051295
0.810,42.265,0.088377
0.820,42.010,0.107206
0.830,44.207,0.033792
0.840,42.978,0.074143
0.850,32.920,0.055591
0.860,38.700,0.078222
0.870,54.884,0.031660
0.880,594.064,0.034762
0.890,38.430,0.090923
0.900,32.970,0.006165
0.910,32.930,0.069848
0.920,32.262,0.025526
0.930,389.910,0.041292
0.940,592.938,0.154994
0.950,593.246,0.229814
0.960,586.219,0.077315
0.970,286.377,0.145826
0.980,269.592,0.041655
0.990,32.346,0.074528
1.000,42.366,0.083500
1.010,54.471,0.040755
1.020,53.710,0.015364
1.030,32.741,0.024180
1.040,32.364,0.030093
1.050,1069.920,0.046389
1.060,1060.274,0.164723
1.070,530.167,0.462841
1.080,532.103,0.154507
1.090,531.524,0.144207
1.100,527.736,0.129349
1.110,526.430,0.357035
1.120,526.302,0.646417
1.130,525.865,0.741576
1.140,524.022,0.726948
1.150,1046.016,0.498801
1.160,1049.389,0.119927
1.170,32.585,0.128709
1.180,42.787,0.101842
1.190,32.955,0.075044
1.200,530.764,0.320404
1.210,531.009,0.347895
1.220,528.142,0.283895
1.230,583.246,0.092533
1.240,585.884,0.071048
1.250,1574.932,0.066389
1.260,1579.857,0.056437
1.270,1586.267,0.111924
1.280,1181.228,0.088203
