time,frequency,confidence
0.000,646.813,0.070351
0.010,647.723,0.100172
0.020,288.137,0.040182
0.030,670.179,0.113546
0.040,42.441,0.289155
0.050,42.653,0.329067
0.060,42.460,0.665396
0.070,42.854,0.534899
0.080,43.311,0.082594
0.090,45.262,0.267906
0.100,44.815,0.185652
0.110,42.434,0.175860
0.120,42.834,0.133195
0.130,41.707,0.089715
0.140,43.455,0.048565
0.150,43.332,0.017607
0.160,42.687,0.262737
0.170,43.720,0.337570
0.180,44.816,0.320684
0.190,46.534,0.038241
0.200,660.405,0.105704
0.210,645.116,0.119192
0.220,644.959,0.143193
0.230,650.256,0.138213
0.240,650.691,0.097634
0.250,655.410,0.071430
0.260,658.024,0.079842
0.270,637.043,0.046346
0.280,659.308,0.101978
0.290,579.592,0.107335
0.300,657.161,0.162323
0.310,322.063,0.055200
0.320,310.936,0.052697
0.330,358.510,0.133556
0.340,124.836,0.121217
0.350,124.098,0.757062
0.360,124.698,0.617540
0.370,124.900,0.809570
0.380,124.494,0.886973
0.390,124.255,0.914567
0.400,123.670,0.933742
0.410,123.412,0.919094
0.420,123.526,0.931024
0.430,123.604,0.936758
0.440,123.905,0.894084
0.450,124.339,0.468800
0.460,408.221,0.350949
0.470,408.561,0.418432
0.480,413.521,0.611726
0.490,414.147,0.737971
0.500,414.514,0.693172
0.510,415.429,0.809571
0.520,416.325,0.861427
0.530,414.673,0.838883
0.540,415.348,0.855585
0.550,415.656,0.862791
0.560,415.742,0.838078
0.570,415.803,0.798940
0.580,415.447,0.808185
0.590,415.698,0.748274
0.600,415.557,0.822148
0.610,415.502,0.766370
0.620,415.365,0.755412
0.630,415.885,0.524732
0.640,415.957,0.732719
0.650,416.288,0.648095
0.660,415.157,0.741355
0.670,411.808,0.632014
0.680,415.202,0.758364
0.690,415.450,0.733447
0.700,411.684,0.553528
0.710,410.195,0.346280
0.720,406.774,0.206724
0.730,498.150,0.248408
0.740,367.592,0.377369
0.750,311.625,0.187803
0.760,312.136,0.257942
0.770,313.555,0.538794
0.780,311.829,0.618891
0.790,311.656,0.378637
0.800,311.411,0.334417
0.810,310.028,0.250534
0.820,307.090,0.236308
0.830,357.428,0.162767
0.840,182.654,0.145194
0.850,181.183,0.120442
0.860,180.825,0.188080
0.870,498.527,0.307987
0.880,496.911,0.207277
0.890,497.547,0.330891
