time,frequency,confidence
0.000,603.530,0.058640
0.010,656.835,0.087265
0.020,663.362,0.055223
0.030,591.279,0.087363
0.040,1034.321,0.014154
0.050,660.535,0.069985
0.060,646.698,0.119035
0.070,657.600,0.152390
0.080,865.624,0.078717
0.090,195.115,0.028793
0.100,399.345,0.044384
0.110,604.766,0.072472
0.120,657.143,0.093666
0.130,283.875,0.050796
0.140,32.717,0.076716
0.150,96.301,0.051807
0.160,82.562,0.057983
0.170,34.151,0.031552
0.180,34.266,0.842795
0.190,34.302,0.737275
0.200,34.153,0.011330
0.210,99.736,0.017414
0.220,98.541,0.030989
0.230,1034.335,0.044270
0.240,1030.275,0.041779
0.250,719.726,0.032524
0.260,48.281,0.056782
0.270,51.755,0.208528
0.280,51.794,0.341726
0.290,51.952,0.063911
0.300,48.845,0.223777
0.310,48.668,0.270030
0.320,49.038,0.454938
0.330,50.269,0.568878
0.340,50.349,0.574076
0.350,50.617,0.450861
0.360,49.333,0.216199
0.370,51.470,0.357193
0.380,51.098,0.426943
0.390,51.871,0.621324
0.400,52.081,0.248103
0.410,54.174,0.028511
0.420,44.725,0.031673
0.430,353.286,0.215313
0.440,118.942,0.154481
0.450,32.593,0.069258
0.460,32.192,0.028909
0.470,598.198,0.018751
0.480,600.287,0.072921
0.490,653.876,0.215918
0.500,663.927,0.019539
0.510,1416.506,0.034969
0.520,1260.411,0.029834
0.530,1260.016,0.048017
0.540,636.964,0.070468
0.550,643.121,0.050172
0.560,558.532,0.200367
0.570,589.173,0.163978
0.580,1077.510,0.023601
0.590,32.502,0.080464
0.600,32.375,0.258551
0.610,596.617,0.090131
0.620,592.976,0.313916
0.630,591.436,0.381943
0.640,588.305,0.138817
0.650,984.502,0.009247
0.660,1828.073,0.003759
0.670,1174.248,0.033694
0.680,882.243,0.035493
0.690,883.539,0.086405
0.700,883.781,0.048011
0.710,663.511,0.149947
0.720,1094.907,0.062767
0.730,351.428,0.089291
0.740,32.173,0.067871
0.750,392.935,0.081415
0.760,388.954,0.109702
0.770,388.376,0.140411
0.780,663.138,0.044945
0.790,969.709,0.010697
0.800,655.132,0.020531
0.810,396.184,0.035045
0.820,349.550,0.025562
0.830,328.134,0.066089
0.840,645.783,0.088602
0.850,594.865,0.119450
0.860,651.078,0.121256
0.870,594.297,0.092428
0.880,163.820,0.042875
0.890,289.916,0.061223
0.900,288.952,0.032240
0.910,329.970,0.024338
0.920,658.543,0.026361
0.930,637.957,0.053713
0.940,650.472,0.043186
0.950,1169.828,0.026259
0.960,1167.249,0.025216
0.970,698.572,0.018843
0.980,49.419,0.010941
0.990,575.099,0.224665
1.000,589.928,0.107555
1.010,600.727,0.035768
1.020,32.467,0.067764
1.030,32.194,0.131955
1.040,32.454,0.043855
1.050,592.952,0.069229
1.060,592.436,0.104345
1.070,592.906,0.035900
1.080,32.203,0.005493
1.090,32.206,0.005440
1.100,1185.797,0.018937
1.110,1966.375,0.020249
1.120,881.351,0.011964
1.130,45.829,0.081676
1.140,1973.276,0.009359
1.150,1313.534,0.003425
1.160,32.888,0.005904
1.170,33.439,0.011779
1.180,33.652,0.165100
1.190,43.880,0.044878
1.200,43.788,0.112134
1.210,991.058,0.019746
1.220,34.945,0.009933
1.230,32.307,0.010151
1.240,32.308,0.011467
1.250,33.750,0.007488
1.260,33.627,0.016406
1.270,1859.555,0.016230
1.280,657.748,0.214351
1.290,546.457,0.170576
1.300,406.122,0.076306
1.310,403.583,0.061364
1.320,32.154,0.054143
1.330,399.469,0.056634
1.340,399.216,0.063379
1.350,594.503,0.059693
1.360,719.275,0.019952
1.370,322.769,0.081854
1.380,659.514,0.060055
1.390,662.014,0.081391
1.400,661.500,0.073496
1.410,425.429,0.066026
1.420,579.893,0.097425
1.430,593.039,0.101658
1.440,593.017,0.094108
1.450,594.230,0.058949
1.460,326.993,0.091263
1.470,290.057,0.038174
1.480,1778.642,0.018815
1.490,1244.283,0.009574
1.500,1378.992,0.022995
1.510,341.018,0.046984
1.520,161.188,0.065243
1.530,160.473,0.074991
1.540,1948.879,0.083581
1.550,664.328,0.147082
1.560,277.931,0.206187
1.570,269.233,0.102429
1.580,260.659,0.096406
1.590,250.464,0.056354
1.600,34.123,0.161172
1.610,33.654,0.328561
1.620,33.749,0.170907
1.630,1301.022,0.020227
1.640,51.289,0.013441
1.650,865.345,0.036573
1.660,871.568,0.053650
1.670,869.191,0.138647
1.680,879.461,0.165121
1.690,883.556,0.124705
1.700,885.360,0.029779
1.710,32.813,0.019231
1.720,33.038,0.041876
1.730,1237.751,0.087653
1.740,1252.735,0.032965
1.750,32.158,0.018060
1.760,1164.364,0.042738
1.770,1177.764,0.079279
1.780,1186.730,0.034024
1.790,1183.477,0.050499
1.800,1178.539,0.026221
1.810,1171.919,0.026547
1.820,590.152,0.066139
1.830,587.252,0.165386
1.840,588.079,0.105955
1.850,1172.660,0.106772
1.860,294.627,0.044014
1.870,162.729,0.027081
1.880,327.258,0.025909
1.890,1166.223,0.010381
1.900,1313.187,0.011767
