time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055952
0.040,1958.013,0.015093
0.050,1958.014,0.015055
0.060,1958.013,0.015060
0.070,1958.013,0.015060
0.080,1958.013,0.015060
0.090,1958.011,0.015076
0.100,1958.012,0.015086
0.110,1958.024,0.015098
0.120,1958.037,0.015112
0.130,1958.047,0.015137
0.140,1958.052,0.015142
0.150,1958.057,0.015140
0.160,1958.061,0.015130
0.170,1958.066,0.015127
0.180,1958.067,0.015126
0.190,1958.068,0.015122
0.200,1958.068,0.015123
0.210,1958.072,0.015129
0.220,1958.078,0.015127
0.230,1958.082,0.015126
0.240,1958.080,0.015122
0.250,1958.080,0.015125
0.260,1958.080,0.015125
0.270,1958.080,0.015125
0.280,1958.080,0.015125
0.290,1958.080,0.015126
0.300,1958.083,0.015138
0.310,1958.083,0.015147
0.320,1958.085,0.015150
0.330,1958.085,0.015150
0.340,1958.091,0.015148
0.350,1958.091,0.015155
0.360,1958.089,0.015147
0.370,1958.084,0.015136
0.380,1958.073,0.015115
0.390,1958.083,0.015108
0.400,1958.084,0.015110
0.410,1958.067,0.015125
0.420,1958.058,0.015132
0.430,1958.049,0.015136
0.440,1958.030,0.015118
0.450,1958.016,0.015107
0.460,1958.014,0.015058
0.470,1958.023,0.015052
0.480,1958.032,0.015046
0.490,1958.033,0.015039
0.500,1958.037,0.015049
0.510,1958.037,0.015059
0.520,548.323,0.091993
0.530,546.733,0.127409
0.540,578.414,0.042794
0.550,32.926,0.016073
0.560,42.089,0.005477
0.570,1218.483,0.026109
0.580,1230.907,0.018094
0.590,867.812,0.039730
0.600,1253.763,0.028805
0.610,324.282,0.022580
0.620,318.471,0.437979
0.630,315.355,0.455099
0.640,320.241,0.160221
0.650,32.635,0.124834
0.660,32.937,0.115870
0.670,32.396,0.141221
0.680,54.321,0.114057
0.690,62.302,0.119536
0.700,54.128,0.055648
0.710,61.856,0.053919
0.720,311.671,0.336318
0.730,51.915,0.781328
0.740,312.859,0.668003
0.750,315.867,0.572702
0.760,39.046,0.127662
0.770,52.205,0.509688
0.780,52.148,0.854516
0.790,52.208,0.800931
0.800,52.214,0.576866
0.810,51.933,0.337787
0.820,51.971,0.495765
0.830,52.095,0.578835
0.840,52.243,0.867633
0.850,52.266,0.877467
0.860,52.081,0.231123
0.870,156.352,0.431230
0.880,314.313,0.268750
0.890,319.920,0.105105
0.900,32.195,0.083194
0.910,32.095,0.176856
0.920,32.623,0.067029
0.930,868.104,0.014980
0.940,421.079,0.024139
0.950,408.914,0.065501
0.960,412.099,0.489854
0.970,417.294,0.176676
0.980,210.915,0.404113
0.990,210.289,0.751786
1.000,211.034,0.188059
1.010,212.706,0.301765
1.020,426.419,0.157383
1.030,32.427,0.025647
1.040,33.024,0.014088
1.050,101.068,0.010591
1.060,205.500,0.021387
1.070,103.502,0.140013
1.080,207.716,0.390232
1.090,208.932,0.338435
1.100,51.999,0.413228
1.110,52.197,0.730817
1.120,579.311,0.139298
1.130,394.743,0.166527
1.140,423.012,0.135265
1.150,104.073,0.094092
1.160,41.338,0.028504
1.170,41.673,0.342440
1.180,41.621,0.366338
1.190,207.532,0.193427
1.200,208.087,0.474211
1.210,208.926,0.442409
1.220,210.234,0.760388
1.230,208.473,0.614060
1.240,69.308,0.245587
1.250,34.497,0.162294
1.260,32.315,0.007051
1.270,42.140,0.002335
1.280,51.764,0.052901
1.290,52.160,0.375850
1.300,104.020,0.443125
1.310,104.793,0.646967
1.320,104.607,0.586453
1.330,52.295,0.311786
1.340,52.251,0.589515
1.350,105.384,0.240461
1.360,103.774,0.371432
1.370,103.627,0.581661
1.380,103.783,0.786132
1.390,103.897,0.838947
1.400,104.113,0.845218
1.410,104.226,0.817830
1.420,104.318,0.758550
1.430,104.311,0.672315
1.440,104.390,0.504353
1.450,311.825,0.555721
1.460,311.442,0.523767
1.470,311.013,0.159805
1.480,261.928,0.269796
1.490,259.574,0.083180
1.500,32.485,0.021436
1.510,32.243,0.010542
1.520,125.925,0.007821
1.530,102.029,0.016908
1.540,102.250,0.072600
1.550,51.116,0.175932
1.560,101.004,0.289250
1.570,104.801,0.098339
1.580,105.380,0.365850
1.590,211.311,0.314769
1.600,104.858,0.409119
1.610,104.668,0.558194
1.620,104.650,0.761608
1.630,104.728,0.723140
1.640,104.410,0.709592
1.650,104.226,0.353545
1.660,262.084,0.292359
1.670,262.504,0.419537
1.680,263.195,0.420281
1.690,263.089,0.414103
1.700,265.045,0.554391
1.710,268.508,0.337445
1.720,285.828,0.130094
1.730,32.220,0.088542
1.740,33.490,0.153052
1.750,42.255,0.422162
1.760,42.366,0.624795
1.770,42.714,0.297301
1.780,45.611,0.079123
1.790,136.520,0.410998
1.800,137.183,0.483283
1.810,137.103,0.050773
1.820,269.696,0.338894
1.830,265.212,0.407543
1.840,263.161,0.810765
1.850,262.480,0.832707
1.860,263.510,0.769718
1.870,262.886,0.799774
1.880,263.657,0.624228
1.890,262.975,0.612521
1.900,262.898,0.609981
1.910,262.352,0.655298
1.920,261.806,0.723995
1.930,261.558,0.746844
1.940,133.028,0.184890
1.950,146.459,0.089223
1.960,143.860,0.062406
1.970,1821.168,0.024662
1.980,165.358,0.055907
1.990,33.571,0.041302
2.000,163.402,0.035645
2.010,163.004,0.047354
2.020,49.472,0.102130
2.030,238.190,0.318304
2.040,235.463,0.695706
2.050,235.213,0.735609
2.060,234.912,0.841089
2.070,235.165,0.883017
2.080,235.457,0.879762
2.090,235.537,0.881500
2.100,235.338,0.896032
2.110,235.250,0.912743
2.120,235.642,0.896925
2.130,235.640,0.903532
2.140,235.233,0.920705
2.150,234.875,0.929502
2.160,234.306,0.941306
2.170,232.487,0.858040
2.180,232.697,0.751163
2.190,234.137,0.753933
2.200,233.982,0.706854
2.210,232.710,0.213896
2.220,32.511,0.045519
2.230,1965.801,0.033784
2.240,1961.466,0.021054
2.250,1973.542,0.038839
2.260,522.097,0.055581
2.270,262.891,0.395562
2.280,263.135,0.815874
2.290,262.386,0.929834
2.300,262.131,0.956254
2.310,262.303,0.959645
2.320,262.948,0.958274
2.330,263.156,0.958555
2.340,263.070,0.959112
2.350,262.423,0.966055
2.360,262.258,0.964514
2.370,262.419,0.966015
2.380,262.905,0.963620
2.390,262.592,0.962553
2.400,262.409,0.962290
2.410,262.414,0.954106
2.420,264.837,0.399237
2.430,286.962,0.059558
2.440,32.350,0.082296
2.450,32.298,0.033729
2.460,1233.537,0.011274
2.470,1235.847,0.015780
2.480,1234.146,0.007225
2.490,1961.998,0.003610
2.500,1894.079,0.011660
2.510,52.006,0.014506
2.520,937.431,0.013998
2.530,52.708,0.072970
2.540,263.070,0.349943
2.550,263.532,0.615444
2.560,262.001,0.540819
2.570,262.786,0.486217
2.580,262.457,0.471520
2.590,262.893,0.515598
2.600,263.085,0.426136
2.610,262.830,0.372856
2.620,52.213,0.403463
2.630,52.254,0.699464
2.640,52.172,0.761906
2.650,52.084,0.656308
2.660,51.980,0.750844
2.670,52.107,0.398595
2.680,313.081,0.451712
2.690,313.828,0.403131
2.700,311.174,0.288725
2.710,155.939,0.431195
2.720,312.931,0.273277
2.730,52.191,0.313428
2.740,312.045,0.462768
2.750,311.752,0.502572
2.760,51.926,0.624459
2.770,308.022,0.228067
2.780,307.579,0.089924
2.790,32.365,0.016942
2.800,32.230,0.159674
2.810,32.511,0.038618
2.820,32.820,0.008472
2.830,885.885,0.043435
2.840,1976.207,0.035279
2.850,60.770,0.024026
2.860,52.129,0.129976
2.870,52.323,0.570203
2.880,52.283,0.761676
2.890,315.657,0.344008
2.900,315.873,0.451659
2.910,313.107,0.414150
2.920,32.494,0.259250
2.930,34.034,0.122913
2.940,104.036,0.068795
2.950,52.214,0.127206
2.960,52.355,0.248512
2.970,52.209,0.225703
2.980,52.191,0.328820
2.990,314.814,0.463932
3.000,313.191,0.601073
3.010,51.925,0.715936
3.020,311.964,0.608745
3.030,311.764,0.760000
3.040,312.026,0.638043
3.050,51.958,0.641444
3.060,52.019,0.635862
3.070,52.024,0.781006
3.080,52.162,0.743064
3.090,52.168,0.574658
3.100,52.055,0.590134
3.110,51.899,0.699479
3.120,313.548,0.269741
3.130,318.488,0.265088
3.140,323.248,0.334486
3.150,54.078,0.109438
3.160,53.883,0.065615
3.170,32.682,0.047679
3.180,32.672,0.013433
3.190,1257.628,0.023915
3.200,1281.463,0.029706
3.210,1404.703,0.017321
3.220,103.890,0.133820
3.230,103.728,0.272964
3.240,103.930,0.335947
3.250,52.171,0.708469
3.260,52.212,0.856821
3.270,52.107,0.871358
3.280,51.930,0.890986
3.290,51.921,0.931337
3.300,52.006,0.793340
3.310,52.017,0.588845
3.320,51.869,0.442263
3.330,210.148,0.380815
3.340,208.762,0.352420
3.350,206.721,0.524960
3.360,204.295,0.215382
3.370,203.324,0.133691
3.380,595.398,0.071397
3.390,1798.369,0.024315
3.400,1791.164,0.068395
3.410,1791.872,0.016414
3.420,1792.503,0.017477
3.430,1246.938,0.023344
3.440,313.932,0.489958
3.450,314.236,0.670965
3.460,314.334,0.733272
3.470,313.134,0.898684
3.480,313.720,0.906691
3.490,313.922,0.918977
3.500,314.376,0.911236
3.510,314.774,0.912528
3.520,314.050,0.898493
3.530,313.842,0.919922
3.540,313.465,0.925941
3.550,313.306,0.930594
3.560,313.512,0.926224
3.570,313.108,0.942010
3.580,312.293,0.945722
3.590,310.369,0.868487
3.600,307.472,0.466560
3.610,302.096,0.150295
3.620,32.459,0.025163
3.630,32.078,0.123209
3.640,33.057,0.025452
3.650,33.236,0.037977
3.660,1213.629,0.011182
3.670,135.446,0.012597
3.680,274.851,0.055656
3.690,275.444,0.470316
3.700,277.025,0.624867
3.710,278.038,0.817183
3.720,277.717,0.863253
3.730,278.028,0.887393
3.740,277.085,0.836618
3.750,274.872,0.700664
3.760,268.541,0.448571
3.770,265.977,0.182696
3.780,262.677,0.299474
3.790,262.107,0.670186
3.800,262.355,0.754792
3.810,262.789,0.902150
3.820,262.809,0.913423
3.830,262.383,0.537601
3.840,263.308,0.557134
3.850,262.511,0.118506
3.860,131.947,0.048777
3.870,32.786,0.075546
3.880,37.064,0.105909
3.890,34.398,0.002662
3.900,1868.633,0.006153
3.910,470.070,0.205213
3.920,471.314,0.574276
3.930,235.297,0.679454
3.940,235.377,0.833647
3.950,237.075,0.755492
3.960,236.413,0.253391
3.970,589.780,0.115460
3.980,354.766,0.111571
3.990,235.231,0.096283
4.000,235.501,0.617851
4.010,234.679,0.757340
4.020,235.185,0.800782
4.030,236.446,0.846862
4.040,235.533,0.875129
4.050,235.445,0.875269
4.060,234.724,0.851499
4.070,33.875,0.388823
4.080,34.160,0.577961
4.090,32.732,0.142433
4.100,45.314,0.103242
4.110,120.212,0.036480
4.120,35.917,0.051968
