time,frequency,confidence
0.000,651.001,0.068650
0.010,647.804,0.098295
0.020,288.114,0.036121
0.030,661.013,0.176719
0.040,446.782,0.463072
0.050,443.573,0.568171
0.060,440.790,0.722202
0.070,439.498,0.849392
0.080,439.090,0.910035
0.090,439.546,0.940234
0.100,440.325,0.963348
0.110,440.193,0.961633
0.120,440.388,0.954001
0.130,439.803,0.916700
0.140,438.321,0.853575
0.150,439.134,0.872618
0.160,439.471,0.922384
0.170,438.753,0.901761
0.180,438.297,0.880153
0.190,437.707,0.852166
0.200,437.919,0.809824
0.210,438.647,0.420061
0.220,289.930,0.364926
0.230,274.548,0.466885
0.240,265.708,0.664918
0.250,267.222,0.619292
0.260,266.777,0.634667
0.270,261.816,0.528789
0.280,253.899,0.487014
0.290,253.937,0.462438
0.300,492.960,0.397006
0.310,491.230,0.673378
0.320,491.660,0.793321
0.330,492.172,0.757404
0.340,491.072,0.601354
0.350,490.621,0.386748
0.360,218.652,0.172098
0.370,243.701,0.096019
0.380,109.623,0.283582
0.390,110.302,0.353490
0.400,110.619,0.411141
0.410,331.204,0.262646
0.420,110.340,0.251962
0.430,553.951,0.632851
0.440,277.253,0.529944
0.450,555.297,0.402778
0.460,276.894,0.502354
0.470,109.990,0.236715
0.480,110.222,0.322355
0.490,110.472,0.281575
0.500,278.534,0.334227
0.510,278.524,0.538646
0.520,278.327,0.733802
0.530,276.865,0.852893
0.540,277.228,0.866576
0.550,277.026,0.847133
0.560,277.265,0.799501
0.570,276.836,0.800344
0.580,276.677,0.805972
0.590,275.681,0.845151
0.600,274.931,0.861289
0.610,273.739,0.859399
0.620,275.544,0.786451
0.630,274.553,0.693026
0.640,275.437,0.513859
0.650,276.225,0.545004
0.660,277.963,0.410106
0.670,275.508,0.319283
0.680,279.616,0.349134
0.690,54.761,0.155744
0.700,109.748,0.209127
0.710,54.912,0.579543
0.720,54.955,0.694403
0.730,54.881,0.684913
0.740,54.928,0.300995
0.750,163.654,0.279053
0.760,330.376,0.258404
0.770,330.534,0.277838
0.780,277.386,0.316138
0.790,277.889,0.570895
0.800,275.860,0.690344
0.810,276.410,0.606788
0.820,276.174,0.765281
0.830,278.611,0.667466
0.840,275.378,0.838966
0.850,275.178,0.759760
0.860,274.435,0.891401
0.870,275.053,0.855292
0.880,274.562,0.889831
0.890,274.589,0.881683
0.900,273.976,0.897944
0.910,273.938,0.873037
0.920,273.967,0.860085
0.930,273.995,0.824638
0.940,273.983,0.625630
0.950,271.756,0.297530
0.960,274.950,0.246971
0.970,273.563,0.357604
0.980,322.294,0.279476
0.990,302.197,0.228495
1.000,279.468,0.287279
1.010,1674.413,0.288894
1.020,276.958,0.253140
