time,frequency,confidence
0.000,646.664,0.072010
0.010,657.511,0.084095
0.020,648.107,0.050564
0.030,659.249,0.094080
0.040,275.763,0.221551
0.050,260.336,0.258465
0.060,241.158,0.451460
0.070,237.583,0.376718
0.080,234.605,0.283895
0.090,208.502,0.272543
0.100,208.924,0.673988
0.110,208.586,0.686918
0.120,208.750,0.653179
0.130,209.888,0.257933
0.140,220.362,0.035774
0.150,181.439,0.172420
0.160,177.608,0.372298
0.170,177.377,0.519128
0.180,178.142,0.242567
0.190,176.482,0.027907
0.200,167.437,0.099610
0.210,163.185,0.027458
0.220,49.201,0.121935
0.230,32.585,0.031840
0.240,32.603,0.123989
0.250,147.935,0.570125
0.260,148.433,0.777964
0.270,148.839,0.681251
0.280,145.934,0.198184
0.290,142.767,0.254426
0.300,141.839,0.221214
0.310,135.071,0.230837
0.320,134.692,0.275547
0.330,121.968,0.103423
0.340,120.258,0.077989
0.350,58.813,0.068712
0.360,58.897,0.152314
0.370,176.924,0.098122
0.380,58.190,0.061818
0.390,1846.136,0.035304
0.400,1844.368,0.027193
0.410,120.006,0.020713
0.420,58.485,0.005103
0.430,118.157,0.106089
0.440,119.807,0.221877
0.450,314.417,0.277986
0.460,322.703,0.234689
0.470,153.245,0.142675
0.480,347.357,0.314366
0.490,293.231,0.282095
0.500,58.427,0.372668
0.510,58.284,0.476870
0.520,58.233,0.435583
0.530,58.263,0.680407
0.540,58.241,0.710357
0.550,58.142,0.416796
0.560,58.159,0.580199
0.570,58.091,0.282966
0.580,58.132,0.221716
0.590,347.153,0.299939
0.600,462.231,0.296737
0.610,348.715,0.393043
0.620,346.688,0.419586
0.630,291.104,0.339007
0.640,347.802,0.365536
0.650,293.065,0.489850
0.660,293.837,0.554877
0.670,293.453,0.505954
0.680,292.941,0.455156
0.690,293.285,0.487707
0.700,294.010,0.398318
0.710,293.059,0.430396
0.720,291.799,0.485846
0.730,290.677,0.337306
0.740,288.870,0.337569
0.750,1452.851,0.086346
0.760,348.753,0.198886
0.770,347.470,0.178671
0.780,349.990,0.129907
0.790,349.498,0.024534
0.800,348.691,0.024415
0.810,348.090,0.028179
0.820,348.641,0.012307
0.830,1148.239,0.008566
0.840,350.613,0.099461
0.850,289.934,0.102717
0.860,349.897,0.155604
0.870,296.577,0.237123
0.880,294.909,0.450003
0.890,293.730,0.432214
0.900,292.138,0.631189
0.910,293.874,0.568484
0.920,293.747,0.511779
0.930,295.018,0.304567
0.940,293.097,0.180755
0.950,295.240,0.207797
0.960,293.016,0.165986
0.970,331.111,0.171499
0.980,291.505,0.212472
0.990,291.769,0.161926
1.000,289.894,0.532512
1.010,292.095,0.500955
1.020,293.972,0.792715
1.030,294.406,0.840214
1.040,295.172,0.888104
1.050,294.237,0.869474
1.060,294.699,0.894117
1.070,294.326,0.850594
1.080,294.016,0.852305
1.090,293.751,0.844327
1.100,293.472,0.851172
1.110,293.164,0.857137
1.120,293.513,0.848689
1.130,292.947,0.811297
1.140,293.016,0.707950
1.150,293.592,0.598915
1.160,294.690,0.443925
1.170,295.426,0.369144
1.180,348.264,0.583077
1.190,349.512,0.333854
1.200,348.784,0.312484
1.210,346.819,0.327250
1.220,293.413,0.327297
1.230,294.969,0.553038
1.240,294.242,0.568734
1.250,294.163,0.766049
1.260,293.155,0.724086
1.270,293.628,0.760312
1.280,293.009,0.783575
1.290,293.304,0.762710
1.300,293.762,0.673759
1.310,295.375,0.620639
1.320,295.013,0.585737
1.330,298.806,0.371854
1.340,299.274,0.265242
1.350,230.497,0.093294
1.360,231.989,0.272754
1.370,227.561,0.042003
1.380,356.473,0.112835
1.390,348.994,0.530291
1.400,349.320,0.694738
1.410,350.709,0.838082
1.420,348.612,0.845274
1.430,349.243,0.827651
1.440,348.893,0.816706
1.450,348.930,0.563654
1.460,348.548,0.752542
1.470,58.156,0.596561
1.480,350.004,0.789144
1.490,350.859,0.637505
1.500,350.352,0.701036
1.510,349.528,0.719819
1.520,347.195,0.689409
1.530,346.053,0.619110
1.540,348.111,0.641670
1.550,350.750,0.631899
1.560,349.338,0.711819
1.570,348.905,0.440310
1.580,58.117,0.366789
1.590,466.769,0.343219
1.600,467.432,0.471559
1.610,58.418,0.574243
1.620,58.384,0.468263
1.630,58.314,0.461169
1.640,349.112,0.546706
1.650,348.882,0.541632
1.660,348.451,0.349968
1.670,294.739,0.527260
1.680,293.791,0.657860
1.690,295.118,0.729777
1.700,294.888,0.818295
1.710,293.891,0.811869
1.720,293.959,0.817521
1.730,294.213,0.827468
1.740,295.296,0.788564
1.750,294.900,0.826649
1.760,294.908,0.800712
1.770,294.501,0.732796
1.780,300.037,0.657733
1.790,297.888,0.458915
1.800,294.398,0.417107
1.810,291.727,0.087825
1.820,297.648,0.386395
1.830,297.383,0.568338
1.840,294.934,0.588137
1.850,295.256,0.753291
1.860,293.912,0.796933
1.870,295.477,0.734150
1.880,295.199,0.699193
1.890,296.733,0.676014
1.900,294.448,0.649404
1.910,296.080,0.593331
1.920,299.944,0.514157
1.930,341.200,0.339437
1.940,342.945,0.412870
1.950,341.486,0.480200
1.960,341.241,0.538041
1.970,344.171,0.704516
1.980,346.709,0.613035
1.990,348.367,0.372314
2.000,348.863,0.688174
2.010,348.294,0.631919
2.020,347.039,0.627364
2.030,347.511,0.634659
2.040,347.863,0.655653
2.050,350.022,0.496243
2.060,349.130,0.351729
2.070,582.820,0.210219
2.080,291.997,0.341400
2.090,293.417,0.371786
2.100,293.876,0.485833
2.110,294.170,0.437038
2.120,292.542,0.536011
2.130,291.657,0.644193
2.140,294.325,0.669793
2.150,293.674,0.603105
2.160,294.636,0.686512
2.170,294.723,0.495661
2.180,296.590,0.435425
2.190,346.209,0.145788
2.200,347.504,0.664321
2.210,350.343,0.818891
2.220,349.050,0.874062
2.230,349.158,0.858728
2.240,348.447,0.872114
2.250,348.933,0.810103
2.260,348.299,0.701283
2.270,347.244,0.666199
2.280,346.393,0.659785
2.290,347.477,0.780349
2.300,348.224,0.670338
2.310,349.803,0.673725
2.320,350.878,0.554220
2.330,291.188,0.378333
2.340,291.680,0.267184
2.350,445.700,0.333140
2.360,442.896,0.780323
2.370,442.472,0.845613
2.380,442.688,0.849740
2.390,442.938,0.807769
2.400,443.095,0.734339
2.410,442.725,0.558960
2.420,442.008,0.655652
2.430,440.682,0.674966
2.440,439.544,0.772246
2.450,439.464,0.842677
2.460,440.556,0.811067
2.470,440.585,0.803644
2.480,439.943,0.846227
2.490,439.973,0.870091
2.500,440.705,0.822880
2.510,439.953,0.839853
2.520,440.160,0.874658
2.530,441.886,0.904043
2.540,442.808,0.884741
2.550,442.920,0.872612
2.560,440.433,0.743625
2.570,443.361,0.232720
2.580,225.085,0.271068
2.590,223.622,0.255467
2.600,222.583,0.369507
2.610,223.203,0.360481
2.620,224.100,0.357071
2.630,223.909,0.314493
2.640,284.718,0.170285
2.650,445.691,0.330543
2.660,442.504,0.459597
2.670,87.605,0.468260
2.680,87.452,0.505398
2.690,258.379,0.276398
2.700,258.204,0.236758
2.710,349.735,0.208727
2.720,441.564,0.257257
2.730,347.947,0.323171
2.740,346.675,0.417735
2.750,348.569,0.243273
2.760,259.800,0.438692
2.770,261.787,0.520225
2.780,263.215,0.511797
2.790,263.314,0.581409
2.800,263.235,0.602774
2.810,262.633,0.459729
2.820,87.284,0.321819
2.830,261.813,0.434756
2.840,86.875,0.411982
2.850,261.733,0.441285
2.860,87.357,0.429928
2.870,262.600,0.439209
2.880,262.659,0.619963
2.890,262.981,0.600188
2.900,261.972,0.631774
2.910,261.346,0.577694
