time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055955
0.040,1958.438,0.015034
0.050,1958.435,0.015016
0.060,1958.435,0.015015
0.070,1958.435,0.015015
0.080,1958.436,0.015015
0.090,1958.434,0.015021
0.100,1958.434,0.015032
0.110,1956.135,0.008017
0.120,1576.598,0.047989
0.130,589.026,0.074931
0.140,649.991,0.069539
0.150,623.936,0.077203
0.160,624.303,0.113581
0.170,633.416,0.121345
0.180,651.226,0.147173
0.190,659.601,0.089020
0.200,662.188,0.106209
0.210,1038.197,0.016503
0.220,558.889,0.109931
0.230,395.411,0.086234
0.240,877.319,0.015465
0.250,877.321,0.014777
0.260,879.484,0.032345
0.270,880.820,0.016145
0.280,430.106,0.014432
0.290,638.042,0.010645
0.300,648.217,0.008708
0.310,991.398,0.017857
0.320,40.841,0.057724
0.330,1158.431,0.026310
0.340,1114.322,0.031788
0.350,32.721,0.043482
0.360,555.598,0.263041
0.370,564.022,0.500818
0.380,563.249,0.711086
0.390,563.882,0.656883
0.400,559.046,0.512270
0.410,557.616,0.382002
0.420,112.344,0.419243
0.430,114.540,0.404068
0.440,116.871,0.494253
0.450,117.536,0.654687
0.460,117.509,0.706612
0.470,117.667,0.800289
0.480,117.757,0.854107
0.490,118.048,0.870193
0.500,118.095,0.893436
0.510,117.849,0.896197
0.520,117.778,0.857201
0.530,117.665,0.832760
0.540,117.595,0.706551
0.550,118.009,0.775614
0.560,117.960,0.818471
0.570,117.725,0.856913
0.580,117.680,0.858705
0.590,117.642,0.860303
0.600,117.804,0.840826
0.610,118.095,0.798981
0.620,117.779,0.631371
0.630,472.931,0.516461
0.640,478.999,0.355777
0.650,592.121,0.468526
0.660,591.339,0.657150
0.670,589.708,0.656595
0.680,589.114,0.484525
0.690,591.671,0.158505
0.700,115.759,0.233704
0.710,461.160,0.193798
0.720,458.510,0.422806
0.730,455.787,0.221354
0.740,591.427,0.304684
0.750,592.558,0.444279
0.760,1177.784,0.184353
0.770,1158.009,0.078787
0.780,1128.556,0.051289
0.790,540.660,0.116015
0.800,532.364,0.128674
0.810,535.838,0.033994
0.820,539.951,0.035877
0.830,1168.121,0.334519
0.840,1171.885,0.476574
0.850,587.506,0.558670
0.860,589.548,0.740452
0.870,589.130,0.834377
0.880,587.065,0.584461
0.890,585.139,0.270302
0.900,1174.369,0.171439
0.910,1167.251,0.014838
0.920,1166.200,0.028750
0.930,1161.486,0.032208
0.940,1159.388,0.026642
0.950,1168.139,0.093413
0.960,1168.712,0.223211
0.970,1173.323,0.417536
0.980,1170.931,0.346791
0.990,1171.570,0.305382
1.000,178.561,0.044782
1.010,431.945,0.229514
1.020,135.756,0.375847
1.030,33.177,0.611643
1.040,33.474,0.447512
1.050,133.025,0.524822
1.060,133.076,0.647536
1.070,132.834,0.333227
1.080,99.376,0.324844
1.090,99.424,0.146310
1.100,98.767,0.097004
1.110,99.698,0.577455
1.120,100.573,0.707387
1.130,101.345,0.707112
1.140,529.833,0.127050
1.150,524.786,0.650648
1.160,523.092,0.844069
1.170,521.156,0.900042
1.180,520.135,0.889602
1.190,520.141,0.832898
1.200,518.571,0.623700
1.210,517.400,0.350940
1.220,98.971,0.324365
1.230,98.378,0.531388
1.240,97.309,0.536954
1.250,97.322,0.382226
1.260,98.813,0.099133
1.270,1034.661,0.026177
1.280,1964.840,0.012272
1.290,999.721,0.023003
1.300,1018.238,0.040525
1.310,1043.840,0.045640
1.320,99.766,0.046839
1.330,1033.256,0.022237
1.340,1024.214,0.017548
1.350,99.090,0.135263
1.360,523.784,0.059904
1.370,521.113,0.403752
1.380,520.081,0.602101
1.390,519.270,0.580270
1.400,522.061,0.227073
1.410,519.370,0.052332
1.420,32.222,0.038080
1.430,554.329,0.022892
1.440,553.185,0.054835
1.450,553.401,0.033329
1.460,1104.016,0.027107
1.470,1071.821,0.018558
1.480,1036.980,0.013269
1.490,986.870,0.016293
1.500,995.853,0.027113
1.510,1158.054,0.038136
1.520,258.481,0.108673
1.530,275.099,0.289718
1.540,224.224,0.263068
1.550,232.894,0.132023
1.560,110.159,0.091685
1.570,109.994,0.166343
1.580,222.544,0.229147
1.590,222.437,0.563106
1.600,221.700,0.816262
1.610,221.475,0.895290
1.620,221.140,0.918374
1.630,220.530,0.929656
1.640,220.119,0.928030
1.650,219.978,0.877878
1.660,219.874,0.732088
1.670,224.506,0.484790
1.680,224.658,0.478156
1.690,225.060,0.632558
1.700,225.089,0.728783
1.710,223.409,0.696628
1.720,221.975,0.573027
1.730,221.115,0.561295
1.740,220.174,0.507072
1.750,221.166,0.491287
1.760,221.696,0.586616
1.770,223.594,0.658732
1.780,228.743,0.555335
1.790,230.014,0.608591
1.800,227.431,0.672248
1.810,224.894,0.860800
1.820,223.158,0.914744
1.830,220.954,0.921861
1.840,219.989,0.900733
1.850,220.306,0.919410
1.860,221.119,0.929375
1.870,220.874,0.916563
1.880,220.044,0.935331
1.890,219.948,0.936610
1.900,219.885,0.929121
1.910,219.717,0.918057
1.920,219.620,0.891843
1.930,219.612,0.848460
1.940,219.200,0.644496
1.950,217.624,0.513317
1.960,215.037,0.406184
1.970,1051.466,0.171055
1.980,1054.097,0.191831
1.990,1050.730,0.056670
2.000,1051.308,0.078909
2.010,1056.612,0.045678
2.020,265.196,0.025816
2.030,358.538,0.131115
2.040,357.015,0.361631
2.050,355.290,0.277442
2.060,94.879,0.063453
2.070,48.938,0.097999
2.080,115.842,0.200875
2.090,112.976,0.200780
2.100,111.867,0.274133
2.110,111.370,0.251820
2.120,177.820,0.013270
2.130,1398.918,0.043964
2.140,466.923,0.069930
2.150,471.275,0.090659
2.160,96.773,0.139808
2.170,95.896,0.093844
2.180,287.005,0.031534
2.190,558.762,0.353521
2.200,567.489,0.416523
2.210,587.781,0.674206
2.220,588.539,0.867077
2.230,586.470,0.845249
2.240,584.133,0.825507
2.250,582.655,0.635951
2.260,583.484,0.231793
2.270,584.927,0.178970
2.280,147.616,0.137296
2.290,112.156,0.229582
2.300,213.735,0.234745
2.310,209.952,0.564794
2.320,205.434,0.301303
2.330,34.541,0.244680
2.340,38.932,0.272895
2.350,38.419,0.237010
2.360,34.768,0.138656
2.370,77.170,0.391061
2.380,77.700,0.712340
2.390,77.858,0.810948
2.400,77.944,0.700737
2.410,77.985,0.268846
2.420,313.442,0.275389
2.430,311.385,0.278806
2.440,590.507,0.137390
2.450,590.084,0.333993
2.460,591.613,0.391476
2.470,148.139,0.407287
2.480,148.134,0.556885
2.490,298.482,0.295326
2.500,302.707,0.345100
2.510,155.210,0.474006
2.520,156.636,0.736437
2.530,157.105,0.806543
2.540,156.485,0.838500
2.550,156.492,0.642313
2.560,155.536,0.312139
2.570,234.909,0.493882
2.580,234.844,0.426173
2.590,156.053,0.387661
2.600,156.718,0.596829
2.610,313.778,0.462082
2.620,156.872,0.510960
2.630,156.694,0.705333
2.640,156.755,0.784980
2.650,156.724,0.844221
2.660,156.771,0.854669
2.670,156.479,0.848430
2.680,156.841,0.726967
2.690,232.660,0.306817
2.700,232.021,0.185453
2.710,210.784,0.211388
2.720,158.072,0.242742
2.730,155.936,0.476409
2.740,155.603,0.638070
2.750,155.560,0.596218
2.760,315.970,0.600471
2.770,316.115,0.589984
2.780,314.996,0.556857
2.790,314.465,0.695443
2.800,316.062,0.804621
2.810,313.734,0.801242
2.820,314.834,0.808704
2.830,317.679,0.389739
2.840,118.706,0.506193
2.850,118.140,0.658551
2.860,117.631,0.696291
2.870,116.877,0.763126
2.880,116.822,0.759672
2.890,116.916,0.776091
2.900,117.252,0.844735
2.910,117.050,0.871226
2.920,117.492,0.632393
2.930,157.278,0.236541
2.940,32.130,0.046355
2.950,155.761,0.186283
2.960,52.176,0.140075
2.970,156.140,0.160099
2.980,155.403,0.349647
2.990,154.239,0.227248
3.000,316.177,0.211630
3.010,159.608,0.085084
3.020,61.880,0.141634
3.030,329.508,0.065183
3.040,166.407,0.042110
3.050,174.943,0.091103
3.060,191.482,0.036992
3.070,32.272,0.041037
3.080,32.392,0.037999
3.090,34.567,0.069820
3.100,38.558,0.125836
3.110,38.946,0.032220
3.120,119.789,0.167758
3.130,473.426,0.768922
3.140,473.028,0.825994
3.150,473.350,0.896747
3.160,472.986,0.913651
3.170,472.241,0.906069
3.180,470.894,0.853289
3.190,469.073,0.896025
3.200,467.950,0.924685
3.210,467.282,0.907201
3.220,467.477,0.906093
3.230,469.040,0.828835
3.240,471.847,0.699230
3.250,473.260,0.542009
3.260,473.641,0.770040
3.270,474.165,0.755599
3.280,475.063,0.813211
3.290,478.907,0.746490
3.300,479.819,0.585209
3.310,241.092,0.579939
3.320,235.890,0.356378
3.330,217.798,0.174891
3.340,34.914,0.188450
3.350,34.861,0.268988
3.360,39.284,0.170836
3.370,38.893,0.266038
3.380,116.113,0.600505
3.390,116.596,0.633949
3.400,116.803,0.792620
3.410,117.177,0.834294
3.420,116.814,0.913492
3.430,116.371,0.906986
3.440,116.200,0.930892
3.450,116.601,0.894771
3.460,116.537,0.880876
3.470,116.635,0.861748
3.480,116.939,0.737994
3.490,116.846,0.650965
3.500,116.686,0.755646
3.510,116.322,0.817964
3.520,116.344,0.834009
3.530,116.074,0.856542
3.540,116.123,0.814800
3.550,115.652,0.770202
3.560,116.112,0.567913
3.570,1166.267,0.036868
3.580,134.588,0.165270
3.590,231.119,0.260924
3.600,115.752,0.147884
3.610,114.445,0.100407
3.620,221.219,0.283388
3.630,220.619,0.490529
3.640,218.314,0.411002
3.650,217.819,0.399098
3.660,216.450,0.443811
3.670,216.511,0.483922
3.680,222.170,0.378469
3.690,222.829,0.630768
3.700,225.644,0.568957
3.710,220.185,0.410118
3.720,218.535,0.473616
3.730,216.429,0.481154
3.740,223.448,0.438630
3.750,226.424,0.617502
3.760,222.912,0.721234
3.770,220.837,0.730924
3.780,221.084,0.719790
3.790,221.453,0.736867
3.800,219.784,0.703324
3.810,219.060,0.663614
3.820,220.388,0.526588
3.830,224.554,0.327376
3.840,231.430,0.484061
3.850,230.763,0.374775
3.860,227.614,0.118142
3.870,44.382,0.187354
3.880,56.185,0.239235
3.890,226.119,0.087768
3.900,56.640,0.042835
3.910,43.485,0.555194
3.920,43.537,0.230007
3.930,115.612,0.376207
3.940,115.922,0.614785
3.950,115.418,0.695880
3.960,115.380,0.643122
3.970,115.485,0.578349
3.980,115.661,0.324650
3.990,116.371,0.118242
4.000,355.467,0.137810
4.010,116.758,0.386389
4.020,115.609,0.556303
4.030,57.580,0.284651
4.040,35.157,0.096688
4.050,354.844,0.159710
4.060,355.361,0.556167
4.070,355.734,0.674507
4.080,360.212,0.520350
4.090,362.204,0.335942
4.100,35.202,0.106065
4.110,35.423,0.361823
4.120,64.801,0.083529
4.130,64.886,0.157500
4.140,64.524,0.140711
