time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055955
0.040,1957.913,0.015399
0.050,1957.369,0.015183
0.060,1576.305,0.041259
0.070,595.074,0.068386
0.080,82.791,0.073613
0.090,83.297,0.084061
0.100,86.347,0.081061
0.110,635.142,0.054748
0.120,589.664,0.098490
0.130,393.497,0.116345
0.140,327.084,0.068406
0.150,551.605,0.182881
0.160,349.625,0.526629
0.170,340.864,0.284136
0.180,32.356,0.523580
0.190,329.101,0.673172
0.200,330.143,0.818531
0.210,330.160,0.902089
0.220,329.882,0.958117
0.230,330.215,0.963823
0.240,330.075,0.943364
0.250,330.110,0.952049
0.260,330.047,0.962592
0.270,329.991,0.959962
0.280,330.649,0.963062
0.290,331.520,0.968140
0.300,332.067,0.965900
0.310,331.708,0.970441
0.320,331.440,0.972026
0.330,331.175,0.973757
0.340,330.691,0.977053
0.350,330.335,0.978023
0.360,330.045,0.973683
0.370,329.403,0.959723
0.380,328.166,0.930330
0.390,325.324,0.804605
0.400,326.012,0.681528
0.410,326.896,0.419981
0.420,179.819,0.076459
0.430,35.300,0.231392
0.440,34.481,0.074885
0.450,55.239,0.244260
0.460,55.039,0.124759
0.470,55.429,0.027134
0.480,371.563,0.588331
0.490,369.479,0.665566
0.500,369.197,0.867623
0.510,368.333,0.812684
0.520,366.481,0.668267
0.530,365.345,0.329195
0.540,370.652,0.171684
0.550,186.790,0.179652
0.560,377.699,0.103647
0.570,381.408,0.331335
0.580,391.943,0.699613
0.590,392.026,0.823921
0.600,391.641,0.817177
0.610,391.404,0.815036
0.620,391.152,0.779360
0.630,391.130,0.606059
0.640,392.050,0.351648
0.650,392.370,0.262873
0.660,391.807,0.149110
0.670,1168.938,0.254286
0.680,1172.262,0.117542
0.690,1176.190,0.090149
0.700,1177.132,0.123396
0.710,392.290,0.271656
0.720,1176.350,0.125549
0.730,581.366,0.249084
0.740,554.727,0.201813
0.750,367.766,0.336106
0.760,367.718,0.754952
0.770,368.007,0.918119
0.780,368.589,0.908888
0.790,369.305,0.855900
0.800,368.130,0.722236
0.810,741.750,0.289645
0.820,740.264,0.205983
0.830,369.916,0.322527
0.840,370.254,0.835835
0.850,369.802,0.840218
0.860,370.082,0.783956
0.870,369.937,0.583917
0.880,370.157,0.734217
0.890,369.305,0.811625
0.900,369.202,0.864733
0.910,369.167,0.862239
0.920,370.195,0.851466
0.930,370.526,0.833534
0.940,370.536,0.777586
0.950,369.300,0.569756
0.960,347.061,0.394085
0.970,334.410,0.706825
0.980,331.835,0.882821
0.990,331.380,0.930954
1.000,330.206,0.947762
1.010,329.995,0.960723
1.020,330.215,0.950159
1.030,330.390,0.938817
1.040,331.000,0.930841
1.050,332.182,0.915303
1.060,331.147,0.936226
1.070,331.951,0.937660
1.080,332.162,0.860019
1.090,331.036,0.355610
1.100,329.626,0.264868
1.110,47.088,0.112366
1.120,51.147,0.021259
1.130,1320.338,0.021752
1.140,1211.271,0.049760
1.150,1192.159,0.084755
1.160,1694.379,0.044726
1.170,1848.445,0.040281
1.180,1859.693,0.022211
1.190,165.536,0.037740
1.200,164.975,0.105521
1.210,165.804,0.119518
1.220,333.302,0.069786
1.230,32.315,0.026159
1.240,44.023,0.044404
1.250,243.176,0.033285
1.260,243.350,0.095449
1.270,242.699,0.174434
1.280,1189.930,0.012504
1.290,33.835,0.119732
1.300,1179.451,0.052406
1.310,881.178,0.089804
1.320,592.559,0.206868
1.330,297.111,0.495322
1.340,295.156,0.175951
1.350,33.427,0.249551
1.360,293.900,0.173379
1.370,1164.894,0.053983
1.380,1786.123,0.018422
1.390,41.762,0.012744
1.400,41.721,0.023592
1.410,291.182,0.249414
1.420,295.739,0.555736
1.430,290.568,0.451870
1.440,290.950,0.363306
1.450,297.747,0.606571
1.460,298.878,0.594846
1.470,284.717,0.494179
1.480,292.066,0.624498
1.490,291.758,0.686498
1.500,291.876,0.627249
1.510,295.473,0.485957
1.520,299.670,0.477832
1.530,303.006,0.181242
1.540,320.814,0.222698
1.550,328.623,0.157642
1.560,278.700,0.115964
1.570,275.702,0.594463
1.580,278.567,0.635842
1.590,277.089,0.830711
1.600,276.806,0.854965
1.610,276.031,0.883094
1.620,275.496,0.888753
1.630,274.724,0.910070
1.640,274.753,0.862049
1.650,275.722,0.838247
1.660,275.741,0.796991
1.670,276.571,0.808457
1.680,275.768,0.898430
1.690,275.997,0.932287
1.700,276.436,0.928635
1.710,276.151,0.919414
1.720,276.302,0.917226
1.730,276.264,0.914993
1.740,276.776,0.896024
1.750,276.792,0.867649
1.760,276.363,0.812101
1.770,276.540,0.727877
1.780,277.114,0.633345
1.790,276.380,0.626521
1.800,329.455,0.411039
1.810,329.508,0.550446
1.820,330.575,0.726133
1.830,330.605,0.884465
1.840,330.512,0.929449
1.850,330.297,0.931054
1.860,329.977,0.934210
1.870,330.194,0.938920
1.880,330.549,0.937362
1.890,330.468,0.886464
1.900,329.028,0.832037
1.910,328.482,0.846189
1.920,329.490,0.816456
1.930,330.107,0.385032
1.940,49.012,0.166661
1.950,49.346,0.214671
1.960,65.079,0.172228
1.970,54.817,0.449578
1.980,54.636,0.476736
1.990,323.866,0.241221
2.000,295.029,0.383056
2.010,294.805,0.598702
2.020,293.916,0.764792
2.030,294.493,0.836128
2.040,293.747,0.809702
2.050,292.808,0.894659
2.060,293.014,0.899316
2.070,293.737,0.916449
2.080,293.561,0.812073
2.090,293.285,0.639365
2.100,330.777,0.234355
2.110,328.590,0.780206
2.120,325.653,0.837438
2.130,325.016,0.748204
2.140,323.476,0.545542
2.150,292.584,0.535479
2.160,293.010,0.597154
2.170,293.833,0.736603
2.180,295.596,0.818433
2.190,295.831,0.839735
2.200,295.069,0.888357
2.210,294.455,0.865990
2.220,294.475,0.808095
2.230,296.114,0.665075
2.240,295.459,0.552677
2.250,325.974,0.263808
2.260,325.594,0.386463
2.270,324.518,0.371710
2.280,295.881,0.115264
2.290,294.892,0.472261
2.300,293.815,0.327842
2.310,290.711,0.325500
2.320,292.027,0.335118
2.330,296.313,0.301862
2.340,293.052,0.155340
2.350,292.393,0.138009
2.360,125.312,0.037032
2.370,32.882,0.026387
2.380,881.570,0.013528
2.390,891.546,0.009315
2.400,591.625,0.024308
2.410,58.297,0.058565
2.420,292.351,0.621057
2.430,292.998,0.745561
2.440,288.807,0.668289
2.450,296.152,0.669037
2.460,297.369,0.771212
2.470,298.371,0.767088
2.480,298.950,0.807577
2.490,297.751,0.788490
2.500,296.579,0.671163
2.510,300.522,0.459114
2.520,292.932,0.583457
2.530,293.082,0.718246
2.540,146.956,0.738358
2.550,147.633,0.805854
2.560,147.307,0.757197
2.570,147.235,0.638114
2.580,146.590,0.392910
2.590,293.827,0.559795
2.600,292.808,0.536726
2.610,293.512,0.604975
2.620,293.687,0.610857
2.630,294.549,0.682547
2.640,294.703,0.584944
2.650,294.411,0.534675
2.660,590.317,0.452412
2.670,293.740,0.470134
2.680,293.643,0.681526
2.690,294.239,0.828350
2.700,293.649,0.800884
2.710,293.557,0.720302
2.720,293.683,0.765666
2.730,293.868,0.837868
2.740,293.971,0.857917
2.750,294.005,0.849971
2.760,294.222,0.836766
2.770,294.211,0.797460
2.780,294.259,0.571248
2.790,292.156,0.112425
2.800,150.646,0.034928
2.810,38.972,0.065406
2.820,148.448,0.181697
2.830,147.761,0.345256
2.840,146.591,0.376797
2.850,146.299,0.445481
2.860,146.675,0.539217
2.870,294.437,0.443290
2.880,293.336,0.415960
2.890,293.463,0.352297
2.900,589.356,0.582545
2.910,588.880,0.610415
2.920,588.530,0.705745
2.930,588.816,0.751866
2.940,588.919,0.731185
2.950,588.958,0.692501
2.960,589.164,0.716842
2.970,590.512,0.516065
2.980,293.556,0.351283
2.990,292.556,0.362503
3.000,292.637,0.419500
3.010,293.245,0.563044
3.020,293.945,0.755587
3.030,293.753,0.836893
3.040,294.141,0.865251
3.050,294.396,0.916641
3.060,294.351,0.910153
3.070,293.380,0.821333
3.080,293.544,0.780816
3.090,293.600,0.726785
3.100,294.240,0.749337
3.110,294.078,0.821617
3.120,294.147,0.894235
3.130,293.806,0.915622
3.140,293.530,0.899435
3.150,293.581,0.890263
3.160,293.562,0.877258
3.170,293.255,0.839155
3.180,293.078,0.854526
3.190,293.128,0.862406
3.200,293.731,0.852988
3.210,293.762,0.851418
3.220,293.552,0.811099
3.230,293.102,0.775191
3.240,292.764,0.745478
3.250,293.744,0.747718
3.260,293.692,0.749812
3.270,293.505,0.739152
3.280,293.910,0.669528
3.290,392.993,0.387707
3.300,392.090,0.718245
3.310,391.826,0.864958
3.320,391.499,0.898911
3.330,391.438,0.886766
3.340,393.107,0.831382
3.350,394.302,0.258311
3.360,34.325,0.179231
3.370,34.137,0.116759
3.380,32.967,0.053930
3.390,662.888,0.467250
3.400,661.338,0.726684
3.410,661.599,0.670323
3.420,1976.336,0.334914
3.430,1971.588,0.126948
3.440,33.037,0.146580
3.450,367.571,0.578979
3.460,366.392,0.605585
3.470,365.019,0.478755
3.480,366.971,0.675613
3.490,368.650,0.555830
3.500,364.910,0.113575
3.510,327.206,0.221131
3.520,328.071,0.517967
3.530,330.063,0.750445
3.540,331.155,0.909530
3.550,330.917,0.908328
3.560,330.434,0.850915
3.570,330.719,0.870695
3.580,331.633,0.875091
3.590,332.663,0.872959
3.600,330.822,0.904385
3.610,328.992,0.816209
3.620,329.207,0.820145
3.630,329.947,0.775423
3.640,329.169,0.293209
3.650,32.949,0.031412
3.660,163.595,0.021927
3.670,323.741,0.038023
3.680,1166.122,0.107583
3.690,254.423,0.197248
3.700,249.450,0.243101
3.710,243.250,0.531972
3.720,239.953,0.326334
3.730,42.286,0.214530
3.740,42.423,0.327574
3.750,134.803,0.061020
3.760,268.281,0.160955
3.770,588.843,0.111399
3.780,1182.307,0.079685
3.790,32.727,0.029029
3.800,46.277,0.066953
3.810,889.507,0.009023
3.820,32.928,0.009973
3.830,36.961,0.050631
3.840,294.424,0.090345
3.850,293.787,0.429775
3.860,295.218,0.592524
3.870,295.056,0.694408
3.880,295.233,0.816786
3.890,295.437,0.832487
3.900,295.345,0.839915
3.910,292.059,0.668832
3.920,290.639,0.387361
3.930,327.760,0.365024
3.940,330.502,0.503697
3.950,332.145,0.755769
3.960,331.550,0.729548
3.970,332.293,0.744550
3.980,330.906,0.758144
3.990,164.851,0.618910
4.000,332.506,0.528592
4.010,165.046,0.796933
4.020,165.575,0.787078
4.030,164.950,0.764439
4.040,164.779,0.844435
4.050,329.527,0.422303
4.060,327.193,0.557399
4.070,298.520,0.550244
4.080,297.690,0.536848
4.090,295.430,0.724197
4.100,294.547,0.733773
4.110,294.505,0.687839
4.120,293.493,0.512773
4.130,292.787,0.446118
4.140,591.415,0.316886
4.150,371.548,0.519024
4.160,370.402,0.846842
