time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055952
0.040,1958.013,0.015093
0.050,1958.014,0.015055
0.060,1958.013,0.015060
0.070,1958.013,0.015060
0.080,1958.013,0.015060
0.090,1958.011,0.015076
0.100,1958.012,0.015086
0.110,1958.024,0.015098
0.120,1958.037,0.015112
0.130,1958.047,0.015137
0.140,1958.052,0.015142
0.150,1958.057,0.015140
0.160,1958.061,0.015130
0.170,1958.066,0.015127
0.180,1958.067,0.015126
0.190,1958.068,0.015122
0.200,1958.068,0.015123
0.210,1039.094,0.025987
0.220,555.837,0.218541
0.230,456.337,0.318561
0.240,32.207,0.039746
0.250,32.215,0.082062
0.260,32.423,0.072841
0.270,45.880,0.025310
0.280,34.349,0.041531
0.290,1969.040,0.017231
0.300,154.995,0.008626
0.310,106.041,0.008744
0.320,106.341,0.031554
0.330,1171.890,0.054031
0.340,1166.278,0.055840
0.350,32.577,0.479061
0.360,32.893,0.490240
0.370,32.581,0.059574
0.380,249.301,0.151078
0.390,98.490,0.116700
0.400,128.897,0.104127
0.410,49.635,0.107422
0.420,49.617,0.630678
0.430,49.752,0.505060
0.440,49.599,0.834475
0.450,49.577,0.569143
0.460,246.683,0.476284
0.470,244.568,0.576038
0.480,244.109,0.578213
0.490,243.534,0.515475
0.500,48.583,0.319008
0.510,146.051,0.257812
0.520,143.664,0.382016
0.530,141.199,0.382928
0.540,143.408,0.415347
0.550,145.372,0.228204
0.560,196.619,0.310124
0.570,49.002,0.282796
0.580,98.614,0.224142
0.590,98.411,0.320203
0.600,97.933,0.549704
0.610,97.488,0.619062
0.620,97.722,0.555305
0.630,98.083,0.480769
0.640,98.227,0.610064
0.650,1460.602,0.057632
0.660,286.778,0.027157
0.670,1713.174,0.013994
0.680,1767.304,0.009507
0.690,1797.271,0.010999
0.700,1222.060,0.009772
0.710,1966.665,0.036978
0.720,1971.090,0.055681
0.730,1962.496,0.066720
0.740,1971.455,0.041981
0.750,1974.896,0.100562
0.760,78.412,0.060491
0.770,162.125,0.109036
0.780,32.390,0.165217
0.790,32.318,0.362691
0.800,985.681,0.113098
0.810,988.378,0.249747
0.820,991.629,0.261711
0.830,995.645,0.140045
0.840,1002.727,0.161743
0.850,1000.539,0.267698
0.860,988.944,0.360193
0.870,986.850,0.256967
0.880,993.259,0.189200
0.890,73.175,0.485139
0.900,73.436,0.718073
0.910,73.034,0.731760
0.920,73.269,0.577158
0.930,73.784,0.215429
0.940,154.314,0.168915
0.950,157.247,0.095797
0.960,165.598,0.037008
0.970,167.912,0.093929
0.980,34.335,0.092498
0.990,1875.155,0.048665
1.000,81.592,0.044895
1.010,155.633,0.105524
1.020,73.710,0.084302
1.030,148.093,0.035306
1.040,364.021,0.022534
1.050,126.938,0.022670
1.060,32.329,0.039255
1.070,364.613,0.041603
1.080,32.553,0.073103
1.090,364.325,0.017295
1.100,394.202,0.102163
1.110,389.735,0.166340
1.120,387.505,0.140562
1.130,539.773,0.060422
1.140,381.894,0.035586
1.150,33.323,0.015335
1.160,131.778,0.047018
1.170,34.204,0.199145
1.180,387.048,0.153500
1.190,390.564,0.196450
1.200,393.826,0.328130
1.210,395.665,0.104713
1.220,437.193,0.050867
1.230,148.195,0.013019
1.240,32.048,0.007193
1.250,1880.686,0.020921
1.260,161.820,0.100438
1.270,657.185,0.057095
1.280,157.351,0.057206
1.290,290.854,0.121958
1.300,275.519,0.411937
1.310,271.267,0.533298
1.320,267.319,0.601061
1.330,44.055,0.230981
1.340,33.011,0.507177
1.350,32.703,0.156608
1.360,54.145,0.098163
1.370,661.548,0.093162
1.380,263.309,0.100836
1.390,1767.986,0.099294
1.400,1777.560,0.454574
1.410,1783.692,0.466521
1.420,1772.468,0.254917
1.430,879.133,0.305222
1.440,878.737,0.365117
1.450,219.633,0.357141
1.460,881.618,0.110799
1.470,873.472,0.102466
1.480,867.463,0.049947
1.490,32.642,0.014322
1.500,32.137,0.026977
1.510,32.272,0.009679
1.520,32.373,0.009280
1.530,890.898,0.014324
1.540,462.072,0.061797
1.550,579.960,0.115390
1.560,288.488,0.052677
1.570,344.448,0.035204
1.580,1733.800,0.020275
1.590,933.221,0.008362
1.600,32.306,0.011601
1.610,32.864,0.031755
1.620,32.926,0.084031
1.630,322.930,0.036630
1.640,321.905,0.128121
1.650,324.870,0.104440
1.660,334.856,0.058059
1.670,332.375,0.155398
1.680,332.199,0.263222
1.690,332.209,0.325069
1.700,330.237,0.304512
1.710,330.377,0.303819
1.720,329.999,0.420818
1.730,66.221,0.230190
1.740,65.607,0.172525
1.750,65.378,0.161484
1.760,54.829,0.172406
1.770,54.790,0.196720
1.780,64.365,0.181961
1.790,330.499,0.185764
1.800,329.117,0.290017
1.810,65.413,0.141266
1.820,270.386,0.232195
1.830,218.325,0.054370
1.840,1290.676,0.013897
1.850,32.351,0.019885
1.860,34.892,0.098309
1.870,34.416,0.035821
1.880,32.575,0.062816
1.890,1215.050,0.023102
1.900,1185.940,0.016794
1.910,1189.520,0.031020
1.920,526.985,0.098011
1.930,525.001,0.133414
1.940,524.236,0.211907
1.950,50.903,0.103816
1.960,51.626,0.258334
1.970,51.532,0.212845
1.980,1048.986,0.398760
1.990,1039.629,0.214907
2.000,524.449,0.067583
2.010,527.830,0.081271
2.020,523.641,0.104630
2.030,523.611,0.314897
2.040,520.457,0.499266
2.050,520.087,0.497687
2.060,519.716,0.394920
2.070,520.641,0.352581
2.080,580.120,0.211288
2.090,225.981,0.039391
2.100,32.019,0.022672
2.110,33.849,0.129886
2.120,33.062,0.345847
2.130,33.540,0.215542
2.140,33.991,0.253658
2.150,33.875,0.044579
2.160,38.484,0.036124
2.170,888.419,0.029410
2.180,986.102,0.023075
2.190,35.546,0.004404
2.200,35.297,0.007910
2.210,32.707,0.042651
2.220,32.569,0.066911
2.230,438.308,0.133566
2.240,879.849,0.119469
2.250,63.822,0.059959
2.260,63.423,0.211435
2.270,53.964,0.015141
2.280,49.631,0.020620
2.290,49.954,0.156289
2.300,49.916,0.284562
2.310,49.421,0.688593
2.320,49.161,0.487741
2.330,48.756,0.388622
2.340,48.576,0.392204
2.350,443.110,0.134630
2.360,583.056,0.038066
2.370,32.066,0.071402
2.380,32.120,0.191301
2.390,32.676,0.008876
2.400,34.248,0.008340
2.410,1971.818,0.012146
2.420,154.483,0.005742
2.430,51.501,0.004790
2.440,81.341,0.011122
2.450,54.406,0.014699
2.460,134.488,0.036365
2.470,994.623,0.029288
2.480,32.308,0.071580
2.490,63.084,0.533228
2.500,62.133,0.298693
2.510,452.873,0.169560
2.520,55.322,0.061335
2.530,53.393,0.577152
2.540,52.450,0.892101
2.550,52.088,0.646348
2.560,51.743,0.763591
2.570,51.022,0.663387
2.580,50.355,0.529640
2.590,49.308,0.776678
2.600,48.688,0.444621
2.610,48.175,0.242413
2.620,93.708,0.160505
2.630,93.485,0.119690
2.640,472.450,0.124974
2.650,430.579,0.076712
2.660,529.874,0.064697
2.670,321.980,0.148593
2.680,300.705,0.151202
2.690,397.900,0.235900
2.700,395.939,0.220348
2.710,393.818,0.201244
2.720,393.486,0.163867
2.730,392.233,0.036254
2.740,294.211,0.031299
2.750,32.489,0.060002
2.760,98.910,0.121136
2.770,290.511,0.105448
2.780,226.527,0.118780
2.790,361.335,0.018348
2.800,355.109,0.045398
2.810,355.198,0.039141
2.820,362.964,0.025823
2.830,394.086,0.137487
2.840,395.470,0.058183
2.850,397.048,0.045326
2.860,662.481,0.047824
2.870,1955.378,0.037996
2.880,483.576,0.108811
2.890,1176.765,0.062278
2.900,983.385,0.105467
2.910,991.333,0.060679
2.920,985.084,0.164431
2.930,985.540,0.358640
2.940,495.373,0.465999
2.950,496.279,0.411640
2.960,495.689,0.391600
2.970,988.773,0.218309
2.980,988.744,0.264671
2.990,987.726,0.267897
3.000,991.790,0.541789
3.010,495.031,0.660891
3.020,494.102,0.697026
3.030,494.113,0.734430
3.040,494.465,0.823715
3.050,492.617,0.749320
3.060,491.345,0.366965
3.070,248.670,0.107818
3.080,249.983,0.040745
3.090,1011.265,0.019150
3.100,32.139,0.016018
3.110,1964.491,0.028498
3.120,348.121,0.070180
3.130,471.145,0.038825
3.140,483.092,0.054574
3.150,445.879,0.297944
3.160,433.855,0.154604
3.170,429.199,0.061182
3.180,32.313,0.036708
3.190,32.423,0.025739
3.200,372.846,0.043264
3.210,1176.057,0.039410
3.220,391.025,0.037015
3.230,389.635,0.112198
3.240,390.730,0.089631
3.250,590.885,0.205024
3.260,589.116,0.400625
3.270,780.905,0.044797
3.280,33.005,0.136921
3.290,386.513,0.074628
3.300,373.562,0.081776
3.310,33.498,0.124211
3.320,33.260,0.441236
3.330,33.307,0.040961
3.340,32.541,0.016465
3.350,34.404,0.041872
3.360,32.215,0.013817
3.370,1774.521,0.013905
3.380,458.242,0.036981
3.390,380.125,0.075827
3.400,389.404,0.157831
3.410,392.510,0.203251
3.420,396.173,0.113365
3.430,444.379,0.433431
3.440,439.867,0.217122
3.450,32.963,0.447506
3.460,436.082,0.106368
3.470,435.551,0.284441
3.480,437.405,0.231427
3.490,447.344,0.089853
3.500,448.717,0.084902
3.510,467.014,0.070405
3.520,441.697,0.164792
3.530,441.844,0.139169
3.540,883.654,0.257144
3.550,882.915,0.413943
3.560,882.268,0.332307
3.570,882.961,0.489282
3.580,881.602,0.467308
3.590,589.579,0.209984
3.600,589.551,0.123482
3.610,588.316,0.058742
3.620,1765.979,0.015114
3.630,32.041,0.030740
3.640,32.209,0.015531
3.650,1781.714,0.009222
3.660,935.648,0.032902
3.670,594.969,0.041772
3.680,579.945,0.154063
3.690,268.192,0.028131
3.700,32.116,0.020351
3.710,32.101,0.014426
3.720,53.883,0.017072
3.730,54.316,0.054810
3.740,54.941,0.009688
3.750,1971.456,0.023526
3.760,1968.401,0.035050
3.770,128.640,0.027161
3.780,529.919,0.028762
3.790,519.010,0.023587
3.800,1326.887,0.029480
3.810,131.618,0.356495
3.820,132.228,0.538950
3.830,130.467,0.330686
3.840,32.587,0.173615
3.850,32.907,0.193862
3.860,393.816,0.040852
3.870,394.883,0.191570
3.880,394.743,0.064609
3.890,32.713,0.028413
3.900,32.695,0.037513
3.910,1328.350,0.037362
3.920,659.139,0.062702
3.930,638.381,0.068561
3.940,655.981,0.150742
3.950,446.638,0.216206
3.960,32.145,0.095453
3.970,32.264,0.151741
3.980,32.214,0.046189
3.990,56.897,0.005852
4.000,123.430,0.008763
4.010,32.203,0.063905
4.020,32.105,0.023233
4.030,99.944,0.012335
4.040,133.074,0.043914
4.050,36.973,0.024626
4.060,36.555,0.024753
4.070,33.883,0.033304
4.080,32.401,0.032034
4.090,33.172,0.022700
4.100,135.214,0.021692
4.110,32.854,0.054430
4.120,32.789,0.088299
4.130,37.092,0.101634
