time,frequency,confidence
0.000,639.612,0.665511
0.010,638.570,0.791739
0.020,637.446,0.828770
0.030,636.415,0.783702
0.040,637.903,0.734151
0.050,639.168,0.740660
0.060,639.809,0.740009
0.070,642.903,0.729422
0.080,646.384,0.781646
0.090,646.174,0.814058
0.100,644.248,0.793933
0.110,643.063,0.772502
0.120,642.598,0.730360
0.130,644.069,0.731373
0.140,645.232,0.742950
0.150,649.243,0.753399
0.160,650.348,0.766599
0.170,645.227,0.751310
0.180,638.518,0.790417
0.190,636.497,0.785524
0.200,638.640,0.813211
0.210,640.337,0.799765
0.220,642.967,0.799984
0.230,644.896,0.812129
0.240,642.307,0.720393
0.250,634.810,0.719517
0.260,633.674,0.817827
0.270,635.315,0.788413
0.280,640.157,0.761404
0.290,640.565,0.765904
0.300,640.002,0.788032
0.310,638.347,0.755500
0.320,637.317,0.731021
0.330,636.473,0.730144
0.340,638.216,0.705639
0.350,636.542,0.696912
0.360,635.669,0.735977
0.370,634.862,0.782233
0.380,635.931,0.797592
0.390,638.025,0.792401
0.400,641.017,0.783457
0.410,645.661,0.807707
0.420,649.438,0.818899
0.430,650.539,0.823387
0.440,648.219,0.720008
0.450,638.839,0.705182
0.460,639.889,0.750670
0.470,642.647,0.737219
0.480,645.975,0.769524
0.490,646.721,0.781828
0.500,645.245,0.807569
0.510,645.313,0.729409
0.520,643.027,0.792976
0.530,641.867,0.790066
0.540,644.149,0.785554
0.550,647.507,0.720345
0.560,643.046,0.356267
0.570,643.106,0.491085
0.580,644.918,0.734500
0.590,643.870,0.836011
0.600,644.464,0.862965
0.610,645.300,0.845543
0.620,647.716,0.812912
0.630,646.194,0.806891
0.640,645.597,0.811348
0.650,645.770,0.818473
0.660,645.808,0.843386
0.670,646.471,0.830676
0.680,647.229,0.796315
0.690,648.524,0.806547
0.700,647.676,0.822611
0.710,649.843,0.874981
0.720,650.280,0.885670
0.730,650.779,0.895216
0.740,650.026,0.871959
0.750,647.413,0.845615
0.760,649.259,0.845854
0.770,651.131,0.886795
0.780,651.052,0.888397
0.790,650.099,0.866931
0.800,650.876,0.880696
0.810,651.307,0.882720
0.820,653.765,0.904596
0.830,656.873,0.766353
0.840,725.340,0.344362
0.850,769.473,0.797044
0.860,774.777,0.946531
0.870,776.956,0.962911
0.880,779.781,0.956478
0.890,782.810,0.944195
0.900,779.305,0.895681
0.910,767.462,0.534637
0.920,704.464,0.754460
0.930,702.703,0.881462
0.940,699.213,0.919246
0.950,699.125,0.901526
0.960,698.670,0.908958
0.970,698.409,0.923979
0.980,698.249,0.926738
0.990,697.338,0.918605
1.000,698.966,0.926927
1.010,699.137,0.937785
1.020,697.557,0.929375
1.030,697.509,0.924495
1.040,698.155,0.937053
1.050,699.546,0.935995
1.060,698.943,0.947632
1.070,699.970,0.935944
1.080,700.960,0.930417
1.090,701.443,0.921459
1.100,699.649,0.941889
1.110,698.647,0.930912
1.120,700.930,0.856366
1.130,733.598,0.431845
1.140,744.360,0.798715
1.150,742.949,0.664034
1.160,760.964,0.380319
1.170,772.822,0.687565
1.180,780.888,0.893217
1.190,787.806,0.931753
1.200,791.131,0.912312
1.210,786.722,0.939883
1.220,781.118,0.943213
1.230,780.876,0.931239
1.240,777.534,0.899025
1.250,775.302,0.878719
1.260,775.131,0.875887
1.270,776.465,0.873961
1.280,776.345,0.929845
1.290,776.934,0.945198
1.300,777.649,0.954562
1.310,778.277,0.949837
1.320,780.027,0.945012
1.330,780.190,0.945160
1.340,780.092,0.947620
1.350,780.101,0.953736
1.360,780.498,0.950503
1.370,780.290,0.949775
1.380,778.504,0.952710
1.390,775.701,0.937579
1.400,773.404,0.907675
1.410,774.115,0.910985
1.420,774.438,0.933082
1.430,775.889,0.951650
1.440,778.656,0.961069
1.450,780.293,0.955451
1.460,780.554,0.953308
1.470,780.159,0.954215
1.480,779.348,0.949685
1.490,778.472,0.948712
1.500,778.397,0.955444
1.510,780.484,0.951452
1.520,782.928,0.955795
1.530,783.993,0.957783
1.540,782.742,0.950459
1.550,780.973,0.951431
1.560,778.439,0.945041
1.570,774.181,0.883096
1.580,770.477,0.819772
1.590,772.192,0.816636
1.600,775.104,0.929735
1.610,777.146,0.957582
1.620,779.088,0.960331
1.630,778.790,0.958274
1.640,776.207,0.929797
1.650,772.801,0.814046
1.660,763.689,0.668483
1.670,758.937,0.677431
1.680,768.116,0.748682
1.690,774.520,0.920954
1.700,777.031,0.951116
1.710,779.545,0.953058
1.720,781.710,0.944609
1.730,782.697,0.948862
1.740,781.579,0.943213
1.750,779.993,0.945024
1.760,778.354,0.951107
1.770,777.417,0.951527
1.780,776.314,0.946371
1.790,776.073,0.940240
1.800,776.770,0.952729
1.810,777.121,0.957065
1.820,776.259,0.946082
1.830,774.810,0.905618
1.840,772.747,0.856011
1.850,771.040,0.874334
1.860,771.193,0.905912
1.870,773.199,0.906673
1.880,775.987,0.951430
1.890,778.137,0.961361
1.900,779.373,0.959932
1.910,778.232,0.944177
1.920,774.420,0.873012
1.930,771.084,0.801237
1.940,770.699,0.802979
1.950,771.485,0.906866
1.960,771.441,0.922271
1.970,772.717,0.896177
1.980,776.145,0.943795
1.990,779.049,0.957623
2.000,779.763,0.958194
2.010,778.463,0.955373
2.020,775.617,0.918555
2.030,772.997,0.846719
2.040,769.769,0.833461
2.050,771.261,0.860628
2.060,775.305,0.930435
2.070,777.680,0.920284
2.080,783.826,0.755975
2.090,785.045,0.702991
2.100,777.518,0.937717
2.110,777.239,0.958501
2.120,777.565,0.929751
2.130,775.091,0.891179
2.140,772.668,0.839535
2.150,769.686,0.838563
2.160,769.525,0.872272
2.170,772.416,0.907508
2.180,775.098,0.938688
2.190,776.889,0.956771
2.200,776.847,0.958827
2.210,776.882,0.958158
2.220,775.811,0.937930
2.230,774.340,0.885416
2.240,771.970,0.809319
2.250,768.760,0.764750
2.260,769.897,0.806899
2.270,773.869,0.907328
2.280,774.924,0.946966
2.290,775.134,0.953709
2.300,776.254,0.958607
2.310,776.580,0.939932
2.320,773.782,0.861259
2.330,769.950,0.786719
2.340,767.244,0.780588
2.350,768.528,0.841885
2.360,771.099,0.916902
2.370,774.738,0.939700
2.380,778.733,0.953706
2.390,782.567,0.948333
2.400,783.511,0.949789
2.410,781.325,0.947392
2.420,779.152,0.951059
2.430,777.120,0.936921
2.440,775.135,0.913070
2.450,774.649,0.913145
2.460,775.462,0.936199
2.470,778.260,0.956724
2.480,780.726,0.951354
2.490,780.840,0.950430
2.500,778.544,0.953574
2.510,775.579,0.922793
2.520,773.076,0.867916
2.530,770.970,0.857007
2.540,769.649,0.844977
2.550,769.635,0.862281
2.560,771.226,0.880423
2.570,772.770,0.894343
2.580,773.711,0.930090
2.590,773.495,0.929776
2.600,772.401,0.895174
2.610,771.361,0.821068
2.620,768.082,0.724422
2.630,765.930,0.577561
2.640,776.272,0.709227
2.650,773.701,0.814849
2.660,774.536,0.892819
2.670,776.223,0.952400
2.680,777.892,0.961493
2.690,778.833,0.961504
2.700,778.581,0.941992
2.710,775.952,0.884526
2.720,771.234,0.732909
2.730,764.704,0.613607
2.740,767.174,0.640015
2.750,774.327,0.879909
2.760,779.495,0.918446
2.770,776.354,0.874067
2.780,772.472,0.878618
2.790,774.013,0.925473
2.800,775.490,0.952969
2.810,776.494,0.960174
2.820,776.992,0.958910
2.830,776.879,0.952179
2.840,776.674,0.941249
2.850,775.931,0.935062
2.860,776.416,0.936809
2.870,775.824,0.943594
2.880,774.788,0.938498
2.890,774.889,0.940695
2.900,775.177,0.937621
2.910,774.951,0.924521
2.920,773.129,0.885193
2.930,771.914,0.879523
2.940,773.185,0.891329
2.950,774.964,0.929702
2.960,775.714,0.948759
2.970,774.650,0.941894
2.980,774.833,0.938916
2.990,776.225,0.943976
3.000,776.265,0.933123
3.010,775.177,0.927956
3.020,774.525,0.920082
3.030,775.156,0.934765
3.040,776.201,0.951030
3.050,777.334,0.959435
3.060,777.379,0.959745
3.070,777.487,0.954992
3.080,777.836,0.956216
3.090,778.123,0.952424
3.100,777.222,0.949433
3.110,775.686,0.926199
3.120,773.929,0.904623
3.130,772.084,0.887900
3.140,771.748,0.895676
3.150,772.596,0.900218
3.160,772.969,0.909183
3.170,772.743,0.897362
3.180,770.656,0.815737
3.190,758.333,0.595926
3.200,742.976,0.738149
3.210,740.222,0.534630
3.220,739.584,0.327960
3.230,640.590,0.477797
3.240,639.060,0.656788
3.250,640.738,0.725148
3.260,642.611,0.678965
3.270,643.272,0.612014
3.280,642.926,0.515021
3.290,640.369,0.459136
3.300,636.623,0.470479
3.310,636.165,0.529040
3.320,637.430,0.546437
3.330,636.571,0.577716
3.340,636.067,0.612539
3.350,635.866,0.526374
3.360,641.499,0.499714
3.370,645.830,0.644209
3.380,647.017,0.665719
3.390,645.137,0.629481
3.400,641.389,0.558384
3.410,636.932,0.596867
3.420,631.332,0.623079
3.430,631.932,0.578605
3.440,640.999,0.501352
3.450,644.024,0.676268
3.460,646.266,0.721992
3.470,647.037,0.755176
3.480,646.027,0.773211
3.490,643.111,0.682093
3.500,637.043,0.683495
3.510,631.298,0.767546
3.520,629.951,0.821303
3.530,634.676,0.709927
3.540,643.880,0.712574
3.550,650.296,0.842487
3.560,652.155,0.908401
3.570,652.936,0.926335
3.580,652.021,0.910447
3.590,648.094,0.839783
3.600,644.029,0.732848
3.610,635.130,0.717200
3.620,628.945,0.808432
3.630,627.597,0.802469
3.640,630.100,0.710318
3.650,635.714,0.555451
3.660,642.500,0.596369
3.670,642.900,0.739568
3.680,639.916,0.764678
3.690,636.821,0.774946
3.700,634.416,0.814804
3.710,633.525,0.777018
3.720,634.751,0.732437
3.730,638.159,0.614150
3.740,635.155,0.665349
3.750,631.069,0.726932
3.760,633.304,0.787364
3.770,635.991,0.792580
3.780,637.446,0.810423
3.790,637.640,0.805659
3.800,636.162,0.779175
3.810,633.828,0.777560
3.820,631.084,0.788324
3.830,633.603,0.719487
3.840,634.580,0.700080
3.850,637.380,0.658259
3.860,643.146,0.713800
3.870,643.928,0.841298
3.880,642.603,0.812984
3.890,639.935,0.750963
3.900,631.888,0.761530
3.910,628.003,0.884898
3.920,629.714,0.845394
3.930,634.194,0.807307
3.940,634.605,0.779869
3.950,633.004,0.776379
3.960,635.791,0.778747
