time,frequency,confidence
0.000,735.028,0.766376
0.010,735.853,0.883182
0.020,736.185,0.901500
0.030,737.225,0.905449
0.040,737.659,0.911282
0.050,737.691,0.911199
0.060,737.437,0.911122
0.070,737.487,0.914757
0.080,738.280,0.918770
0.090,738.308,0.915908
0.100,738.994,0.922669
0.110,739.303,0.931605
0.120,739.201,0.928370
0.130,738.539,0.917481
0.140,738.433,0.916014
0.150,738.756,0.913056
0.160,738.987,0.912483
0.170,739.131,0.922121
0.180,739.358,0.927282
0.190,739.279,0.922493
0.200,739.127,0.916940
0.210,739.168,0.911081
0.220,739.417,0.912917
0.230,739.713,0.918489
0.240,739.751,0.918141
0.250,739.925,0.923199
0.260,739.794,0.923209
0.270,739.759,0.924758
0.280,739.501,0.920369
0.290,739.530,0.920363
0.300,739.766,0.924989
0.310,739.846,0.930492
0.320,739.983,0.932428
0.330,740.118,0.936958
0.340,740.277,0.933186
0.350,740.215,0.935872
0.360,740.408,0.939583
0.370,740.723,0.942263
0.380,740.695,0.946556
0.390,740.567,0.945852
0.400,740.703,0.949915
0.410,740.564,0.948870
0.420,740.995,0.947102
0.430,741.063,0.946606
0.440,741.210,0.943798
0.450,741.341,0.947826
0.460,741.187,0.947975
0.470,741.289,0.944884
0.480,741.413,0.944216
0.490,741.617,0.938862
0.500,742.028,0.936027
0.510,742.036,0.927671
0.520,742.007,0.920266
0.530,742.404,0.914029
0.540,742.964,0.912460
0.550,742.973,0.916727
0.560,742.711,0.919498
0.570,742.624,0.919010
0.580,742.489,0.916691
0.590,742.426,0.911272
0.600,742.482,0.914866
0.610,742.987,0.915297
0.620,743.238,0.913972
0.630,742.983,0.898934
0.640,742.871,0.885094
0.650,742.440,0.864303
0.660,741.690,0.845026
0.670,740.889,0.852868
0.680,740.182,0.864735
0.690,739.639,0.882542
0.700,739.422,0.898591
0.710,738.857,0.899823
0.720,738.620,0.901825
0.730,738.386,0.915677
0.740,738.392,0.924121
0.750,738.892,0.929527
0.760,739.777,0.936974
0.770,740.705,0.940788
0.780,741.593,0.945463
0.790,741.792,0.952580
0.800,742.032,0.955265
0.810,742.631,0.953215
0.820,742.963,0.944546
0.830,743.426,0.937756
0.840,743.373,0.940957
0.850,742.863,0.927795
0.860,741.870,0.918830
0.870,741.432,0.914675
0.880,741.558,0.919623
0.890,741.180,0.919886
0.900,741.116,0.926250
0.910,740.651,0.928782
0.920,739.925,0.925871
0.930,739.680,0.932734
0.940,740.021,0.941712
0.950,740.434,0.947880
0.960,740.294,0.946298
0.970,740.082,0.941077
